SURVEY: FOUNDATION
SNTYPE: 1
SNID: 2016afk
RA: 155.6245508
DECL: 15.0966103
MWEBV: 0.0498 +- 0.0025
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0456054
SIGMA_Z: 0.0000067
REDSHIFT_CMB: 0.0467733682072049
REDSHIFT_FINAL: 0.047581984200549834
SEARCH_PEAKMJD: 57444.37975
HOST_LOGMASS: 9.781785082662871
HOST_LOGMASS_ERR: 0.0745886131102762
HOST_LOGSFR: 0.024072123085308626
HOST_LOGSFR_ERR: 0.27771244912318216
VPEC: 38.929
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 31
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57437.39513      g_PS1    NULL     7115.052        201.323    17.870     0.031  2.09
OBS:  57444.37936      g_PS1    NULL     7610.230        224.573    17.797     0.032  2.25
OBS:  57450.33671      g_PS1    NULL     5280.121        177.985    18.193     0.036  2.70
OBS:  57457.34810      g_PS1    NULL     2438.224        120.693    19.032     0.053  1.98
OBS:  57463.35642      g_PS1    NULL     1573.042        147.844    19.508     0.102  2.17
OBS:  57472.40544      g_PS1    NULL      787.922        181.240    20.259     0.248  1.97
OBS:  57481.29111      g_PS1    NULL      470.073         90.465    20.820     0.208  1.66
OBS:  57437.39552      r_PS1    NULL     7279.114        174.924    17.845     0.026  1.78
OBS:  57444.37975      r_PS1    NULL     7861.375        192.944    17.761     0.027  1.91
OBS:  57450.33711      r_PS1    NULL     6150.869        158.158    18.028     0.028  2.15
OBS:  57457.34849      r_PS1    NULL     5046.362        140.074    18.243     0.030  1.91
OBS:  57463.35680      r_PS1    NULL     4061.857        143.222    18.478     0.038  2.09
OBS:  57472.40584      r_PS1    NULL     2515.642        139.689    18.998     0.060  1.69
OBS:  57481.29149      r_PS1    NULL     1726.856         88.872    19.407     0.056  1.44
OBS:  57444.48821      r_PS1    NULL     7440.040        150.273    17.821     0.022  2.82
OBS:  57444.50046      r_PS1    NULL     7217.786        148.635    17.854     0.022  2.79
OBS:  57444.51218      r_PS1    NULL     7848.560        155.796    17.763     0.021  2.99
OBS:  57444.52383      r_PS1    NULL     7642.477        152.738    17.792     0.022  2.50
OBS:  57437.39588      i_PS1    NULL     5293.220        155.357    18.191     0.032  1.58
OBS:  57444.38011      i_PS1    NULL     4784.555        172.294    18.300     0.039  1.96
OBS:  57450.33747      i_PS1    NULL     3263.626        139.310    18.716     0.046  1.94
OBS:  57457.34885      i_PS1    NULL     2566.550        132.382    18.977     0.056  1.99
OBS:  57463.35717      i_PS1    NULL     3107.501        143.287    18.769     0.050  1.88
OBS:  57472.40621      i_PS1    NULL     3054.015        156.166    18.788     0.055  1.84
OBS:  57481.29185      i_PS1    NULL     1691.116        103.037    19.430     0.066  1.50
OBS:  57437.39624      z_PS1    NULL     4511.848        177.885    18.364     0.043  1.62
OBS:  57450.33783      z_PS1    NULL     2984.087        173.238    18.813     0.063  1.70
OBS:  57457.34922      z_PS1    NULL     3042.560        162.515    18.792     0.058  1.69
OBS:  57463.35754      z_PS1    NULL     2955.528        189.142    18.823     0.069  2.04
OBS:  57472.40658      z_PS1    NULL     2649.833        182.930    18.942     0.075  1.69
OBS:  57481.29221      z_PS1    NULL     1347.758        133.382    19.676     0.107  1.43
END:
