SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15fa
RA: 257.4417660
DECL: 62.9743041
MWEBV: 0.0236 +- 0.0012
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.0273452
SIGMA_Z: 0.0000072
REDSHIFT_CMB: 0.02721157205808855
REDSHIFT_FINAL: 0.027347419126868094
SEARCH_PEAKMJD: 57102.63428
HOST_LOGMASS: 11.268
VPEC: 13.425
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57102.63307      g_PS1    NULL    24578.868        351.643    16.524     0.016  2.28
OBS:  57108.57631      g_PS1    NULL    20756.048        301.123    16.707     0.016  3.76
OBS:  57114.63048      g_PS1    NULL    14798.409        220.163    17.074     0.016  2.51
OBS:  57121.61850      g_PS1    NULL     8909.663        144.970    17.625     0.018  2.33
OBS:  57125.60892      g_PS1    NULL     6506.408        118.200    17.967     0.020  1.82
OBS:  57132.62034      g_PS1    NULL     2208.454         81.979    19.140     0.040  2.16
OBS:  57145.61141      g_PS1    NULL     2226.207        158.039    19.131     0.077  1.94
OBS:  57102.63428      r_PS1    NULL    25129.397        356.963    16.500     0.015  2.04
OBS:  57108.57749      r_PS1    NULL    22552.722        323.591    16.617     0.016  2.85
OBS:  57114.63164      r_PS1    NULL    15877.492        231.291    16.998     0.016  2.32
OBS:  57121.61968      r_PS1    NULL    13065.448        192.498    17.210     0.016  1.98
OBS:  57125.60964      r_PS1    NULL    12405.985        193.120    17.266     0.017  1.66
OBS:  57132.62086      r_PS1    NULL     7835.709        150.152    17.765     0.021  1.99
OBS:  57145.61188      r_PS1    NULL     5166.412        138.137    18.217     0.029  1.61
OBS:  57102.63541      i_PS1    NULL    15313.246        223.076    17.037     0.016  1.88
OBS:  57108.57861      i_PS1    NULL    12812.965        191.767    17.231     0.016  2.62
OBS:  57114.63279      i_PS1    NULL     8521.256        136.807    17.674     0.017  2.52
OBS:  57121.62079      i_PS1    NULL     8172.976        128.206    17.719     0.017  1.88
OBS:  57125.61029      i_PS1    NULL     9471.499        153.634    17.559     0.018  1.57
OBS:  57132.62129      i_PS1    NULL     8411.041        167.569    17.688     0.022  1.80
OBS:  57145.61231      i_PS1    NULL     4833.249        138.722    18.289     0.031  1.76
OBS:  57102.63656      z_PS1    NULL    15916.922        240.141    16.995     0.016  1.90
OBS:  57108.57973      z_PS1    NULL    13609.090        212.171    17.165     0.017  2.37
OBS:  57114.63392      z_PS1    NULL    10411.416        170.309    17.456     0.018  2.00
OBS:  57121.62191      z_PS1    NULL    10931.959        175.280    17.403     0.017  1.89
OBS:  57125.61095      z_PS1    NULL    11199.951        194.840    17.377     0.019  1.46
OBS:  57132.62171      z_PS1    NULL     1293.606       1374.439    19.720     1.147  1.55
OBS:  57145.61273      z_PS1    NULL     4861.327        161.454    18.283     0.036  1.72
END:
