SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15ga
RA: 208.1596153
DECL: 10.7180238
MWEBV: 0.0226 +- 0.0011
FILTERS: griz
SPEC_CLASS: SNIa-91bg-like
REDSHIFT_HELIO: 0.006605
SIGMA_Z: 0.0000090
REDSHIFT_CMB: 0.0075003046453232525
REDSHIFT_FINAL: 0.008111211390114424
SEARCH_PEAKMJD: 57121.35167
HOST_LOGMASS: 10.988226284420918
HOST_LOGMASS_ERR: 0.04864214598671416
HOST_LOGSFR: -2.0570591146683306
HOST_LOGSFR_ERR: 0.7535351203632995
VPEC: -140.719
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 39
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57112.51238      g_PS1    NULL    63579.448        910.700    15.492     0.016  2.15
OBS:  57121.35096      g_PS1    NULL    61684.455        881.967    15.525     0.016  2.52
OBS:  57128.29502      g_PS1    NULL    22437.123        392.152    16.623     0.019  2.00
OBS:  57135.48803      g_PS1    NULL    13246.800        272.891    17.195     0.022  2.13
OBS:  57148.29942      g_PS1    NULL     7710.108        219.247    17.782     0.031  1.62
OBS:  57112.51308      r_PS1    NULL    68587.511        973.857    15.409     0.015  1.97
OBS:  57121.35167      r_PS1    NULL    96585.971       1361.650    15.038     0.015  2.56
OBS:  57128.29549      r_PS1    NULL    60868.365        896.158    15.539     0.016  1.95
OBS:  57135.48850      r_PS1    NULL    30245.638        487.055    16.298     0.017  1.80
OBS:  57148.29988      r_PS1    NULL    15409.638        284.701    17.031     0.020  1.39
OBS:  57122.48866      r_PS1    NULL    83030.378       1283.711    15.202     0.017  1.61
OBS:  57122.50141      r_PS1    NULL    90182.728       1354.131    15.112     0.016  1.73
OBS:  57122.51415      r_PS1    NULL    85655.033       1267.090    15.168     0.016  1.69
OBS:  57122.52671      r_PS1    NULL    89711.908       1311.197    15.118     0.016  1.80
OBS:  57112.51374      i_PS1    NULL    56469.630        810.130    15.620     0.016  1.82
OBS:  57121.35234      i_PS1    NULL    78839.919       1121.214    15.258     0.015  2.20
OBS:  57128.29592      i_PS1    NULL    64596.941        956.300    15.474     0.016  1.73
OBS:  57135.48893      i_PS1    NULL    34720.815        562.165    16.149     0.018  1.84
OBS:  57148.30031      i_PS1    NULL    15791.348        306.413    17.004     0.021  1.33
OBS:  57147.26333      i_PS1    NULL    16940.273        295.848    16.928     0.019  1.58
OBS:  57147.27453      i_PS1    NULL    16476.662        277.681    16.958     0.018  1.35
OBS:  57147.28573      i_PS1    NULL    16846.043        286.600    16.934     0.018  1.39
OBS:  57147.29707      i_PS1    NULL    17726.590        463.632    16.878     0.028  3.57
OBS:  57148.26170      i_PS1    NULL    15987.171        269.986    16.991     0.018  1.41
OBS:  57148.28409      i_PS1    NULL    15786.059        287.376    17.004     0.020  1.85
OBS:  57148.27289      i_PS1    NULL    15409.798        258.922    17.031     0.018  1.34
OBS:  57148.29538      i_PS1    NULL    15551.719        262.266    17.021     0.018  1.27
OBS:  57178.31923      i_PS1    NULL     4589.366        302.909    18.346     0.071  1.47
OBS:  57178.33226      i_PS1    NULL     4643.439        195.021    18.333     0.045  1.36
OBS:  57178.34537      i_PS1    NULL     4822.850        239.409    18.292     0.054  1.45
OBS:  57178.35844      i_PS1    NULL     4706.064        254.852    18.318     0.059  1.46
OBS:  57179.37396      i_PS1    NULL    15495.352        544.380    17.024     0.038  4.50
OBS:  57179.38692      i_PS1    NULL     7248.904        309.537    17.849     0.046  2.82
OBS:  57179.41294      i_PS1    NULL     5463.150        257.480    18.156     0.051  1.80
OBS:  57179.39993      i_PS1    NULL     6324.447        292.343    17.997     0.050  2.26
OBS:  57121.35301      z_PS1    NULL    76140.604       1100.503    15.296     0.016  1.97
OBS:  57128.29634      z_PS1    NULL    70146.438       1065.485    15.385     0.016  1.69
OBS:  57135.48937      z_PS1    NULL    44663.904        731.799    15.875     0.018  1.75
OBS:  57148.30075      z_PS1    NULL    19693.980        396.911    16.764     0.022  1.33
END:
