SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15hg
RA: 148.4523991
DECL: 9.1938997
MWEBV: 0.0420 +- 0.0021
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0299174
SIGMA_Z: 0.0000105
REDSHIFT_CMB: 0.031067768947611984
REDSHIFT_FINAL: 0.03166163706493244
SEARCH_PEAKMJD: 57134.24798
HOST_LOGMASS: 10.507
VPEC: 25.687
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57134.24752      g_PS1    NULL    16592.607        275.156    16.950     0.018  2.65
OBS:  57133.24792      g_PS1    NULL    16433.770        320.934    16.961     0.021  5.52
OBS:  57144.35577      g_PS1    NULL     8536.542        278.184    17.672     0.035  3.11
OBS:  57150.29343      g_PS1    NULL     4471.289        129.248    18.374     0.031  2.78
OBS:  57153.25401      g_PS1    NULL     3594.666        100.953    18.611     0.030  1.82
OBS:  57164.26016      g_PS1    NULL     1476.273         65.370    19.577     0.048  1.72
OBS:  57171.26246      g_PS1    NULL     1442.339        149.335    19.602     0.112  1.82
OBS:  57133.24749      r_PS1    NULL    17154.919        349.145    16.914     0.022  5.50
OBS:  57134.24798      r_PS1    NULL    17218.406        276.186    16.910     0.017  2.50
OBS:  57144.35629      r_PS1    NULL    10050.841        255.973    17.494     0.028  2.74
OBS:  57150.29390      r_PS1    NULL     8409.962        165.230    17.688     0.021  2.34
OBS:  57153.25448      r_PS1    NULL     8392.188        155.012    17.690     0.020  1.66
OBS:  57164.26063      r_PS1    NULL     3901.364        101.627    18.522     0.028  1.70
OBS:  57171.26288      r_PS1    NULL     3137.017        121.714    18.759     0.042  1.57
OBS:  57133.24702      i_PS1    NULL     9949.042        276.314    17.506     0.030  4.98
OBS:  57144.35670      i_PS1    NULL     5485.064        186.946    18.152     0.037  2.25
OBS:  57150.29432      i_PS1    NULL     6312.672        153.394    17.999     0.026  2.37
OBS:  57153.25491      i_PS1    NULL     6920.372        144.318    17.900     0.023  1.51
OBS:  57164.26107      i_PS1    NULL     3728.767         99.502    18.571     0.029  1.30
OBS:  57171.26326      i_PS1    NULL     2860.630        113.449    18.859     0.043  1.54
OBS:  57150.29475      z_PS1    NULL     6732.850        198.418    17.930     0.032  2.04
OBS:  57153.25535      z_PS1    NULL     6862.709        178.793    17.909     0.028  1.38
OBS:  57164.26150      z_PS1    NULL     3236.253        118.776    18.725     0.040  1.24
OBS:  57171.26363      z_PS1    NULL     2046.009        145.092    19.223     0.077  1.33
OBS:  57177.25671      z_PS1    NULL     1600.247        122.736    19.490     0.083  1.54
OBS:  57184.26316      z_PS1    NULL     1110.131        153.938    19.887     0.150  2.26
OBS:  57186.25961      z_PS1    NULL       54.897        476.433    23.151     9.373  1.81
OBS:  57189.25913      z_PS1    NULL      541.467        539.208    20.666     1.075  1.76
END:
