SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15hy
RA: 302.5097475
DECL: -0.7392229
MWEBV: 0.1310 +- 0.0066
FILTERS: griz
SPEC_CLASS: SNIa-06gz-like
REDSHIFT_HELIO: 0.01793
SIGMA_Z: 0.0002200
REDSHIFT_CMB: 0.0170558351274539
REDSHIFT_FINAL: 0.017328221112220238
SEARCH_PEAKMJD: 57155.59923
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: -68.282
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 38
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57144.58777      g_PS1    NULL    50681.586        755.199    15.738     0.016  1.77
OBS:  57149.57650      g_PS1    NULL    58669.365        875.214    15.579     0.016  2.24
OBS:  57155.59881      g_PS1    NULL    59591.722        881.414    15.562     0.016  1.85
OBS:  57163.52713      g_PS1    NULL    44927.849        678.305    15.869     0.016  2.12
OBS:  57168.59959      g_PS1    NULL    32615.677        504.629    16.216     0.017  1.82
OBS:  57181.39432      g_PS1    NULL    17950.940        316.950    16.865     0.019  2.08
OBS:  57144.58820      r_PS1    NULL    56185.480        819.144    15.626     0.016  1.52
OBS:  57149.57691      r_PS1    NULL    73836.318       1067.842    15.329     0.016  2.40
OBS:  57155.59923      r_PS1    NULL    74805.090       1076.217    15.315     0.016  1.64
OBS:  57163.52753      r_PS1    NULL    68711.466        991.346    15.407     0.016  1.88
OBS:  57168.60000      r_PS1    NULL    66066.949        952.030    15.450     0.016  1.57
OBS:  57181.39476      r_PS1    NULL    45857.846        678.814    15.846     0.016  1.76
OBS:  57144.58858      i_PS1    NULL    48351.812        715.172    15.789     0.016  1.56
OBS:  57149.57730      i_PS1    NULL    59128.250        868.321    15.571     0.016  1.77
OBS:  57155.59960      i_PS1    NULL    62572.057        911.248    15.509     0.016  1.48
OBS:  57163.52792      i_PS1    NULL    63480.404        922.116    15.493     0.016  1.62
OBS:  57168.60039      i_PS1    NULL    61408.670        889.382    15.529     0.016  1.48
OBS:  57181.39514      i_PS1    NULL    54354.329        795.535    15.662     0.016  1.72
OBS:  57172.53651      i_PS1    NULL    49729.600        703.264    15.758     0.015  1.17
OBS:  57172.54873      i_PS1    NULL    48718.861        687.887    15.781     0.015  1.21
OBS:  57172.56099      i_PS1    NULL    49479.449        696.939    15.764     0.015  1.17
OBS:  57172.57339      i_PS1    NULL    55813.737        783.887    15.633     0.015  1.82
OBS:  57200.46882      i_PS1    NULL    27813.340        399.238    16.389     0.016  1.42
OBS:  57200.48081      i_PS1    NULL    27699.214        399.557    16.394     0.016  1.42
OBS:  57200.49283      i_PS1    NULL    26178.935        376.191    16.455     0.016  1.42
OBS:  57200.50493      i_PS1    NULL    26176.043        375.021    16.455     0.016  1.54
OBS:  57201.44988      i_PS1    NULL    27973.423        402.320    16.383     0.016  1.66
OBS:  57201.47577      i_PS1    NULL    29283.701        419.505    16.333     0.016  1.83
OBS:  57201.48866      i_PS1    NULL    29253.303        419.656    16.335     0.016  1.97
OBS:  57201.46284      i_PS1    NULL    28114.066        404.906    16.378     0.016  1.64
OBS:  57144.58897      z_PS1    NULL    44073.907        683.299    15.890     0.017  1.54
OBS:  57149.57769      z_PS1    NULL    57370.353        876.356    15.603     0.017  1.82
OBS:  57155.59999      z_PS1    NULL    63715.723        961.356    15.489     0.016  1.50
OBS:  57163.52831      z_PS1    NULL    67056.461        995.695    15.434     0.016  1.48
OBS:  57168.60079      z_PS1    NULL    62969.710        933.730    15.502     0.016  1.46
OBS:  57181.39552      z_PS1    NULL    58676.269        881.727    15.579     0.016  1.47
OBS:  57187.59967      z_PS1    NULL    46650.179        722.813    15.828     0.017  2.10
OBS:  57187.59015      z_PS1    NULL    47510.118        766.816    15.808     0.018  1.89
END:
