SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15pr
RA: 346.6645393
DECL: -12.5727714
MWEBV: 0.0294 +- 0.0015
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.033093
SIGMA_Z: 0.0001500
REDSHIFT_CMB: 0.03189309799565154
REDSHIFT_FINAL: 0.032031993279830945
SEARCH_PEAKMJD: 57286.43940
HOST_LOGMASS: 10.074493035152699
HOST_LOGMASS_ERR: 0.08462873239088477
HOST_LOGSFR: 0.03386572934987365
HOST_LOGSFR_ERR: 0.35327141977730503
VPEC: 348.302
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57286.43940      g_PS1    NULL    15802.116        391.446    17.003     0.027  3.12
OBS:  57297.33036      g_PS1    NULL     7526.337        184.724    17.809     0.027  2.09
OBS:  57308.30492      g_PS1    NULL     2905.509        129.057    18.842     0.048  2.14
OBS:  57314.27118      g_PS1    NULL     2099.468        135.926    19.195     0.070  2.77
OBS:  57322.31169      g_PS1    NULL     1683.221        295.727    19.435     0.190  2.41
OBS:  57324.26055      g_PS1    NULL     1144.965        152.072    19.853     0.143  2.15
OBS:  57286.43980      r_PS1    NULL    15750.564        346.634    17.007     0.024  2.92
OBS:  57297.33076      r_PS1    NULL     8561.224        177.211    17.669     0.022  2.07
OBS:  57308.30532      r_PS1    NULL     7054.116        150.962    17.879     0.023  1.85
OBS:  57314.27159      r_PS1    NULL     4762.311        139.779    18.305     0.032  2.28
OBS:  57322.31210      r_PS1    NULL     2954.067        217.536    18.824     0.080  2.19
OBS:  57324.26097      r_PS1    NULL     2727.893        145.011    18.910     0.057  2.14
OBS:  57286.44015      i_PS1    NULL     9060.554        311.163    17.607     0.037  2.53
OBS:  57297.33111      i_PS1    NULL     4294.821        144.077    18.418     0.036  2.14
OBS:  57308.30568      i_PS1    NULL     5561.959        145.879    18.137     0.028  1.75
OBS:  57314.27195      i_PS1    NULL     4776.557        155.851    18.302     0.035  2.35
OBS:  57322.31245      i_PS1    NULL     2711.693        203.889    18.917     0.081  2.09
OBS:  57324.26133      i_PS1    NULL     2766.358        145.980    18.895     0.057  2.12
OBS:  57353.23470      i_PS1    NULL      965.111        129.720    20.039     0.145  2.48
OBS:  57353.24586      i_PS1    NULL      794.332        142.952    20.250     0.194  2.58
OBS:  57286.44050      z_PS1    NULL     7219.209        369.846    17.854     0.055  2.25
OBS:  57297.33146      z_PS1    NULL     5223.950        157.312    18.205     0.033  1.63
OBS:  57308.30604      z_PS1    NULL     4803.647        202.091    18.296     0.045  1.83
OBS:  57314.27230      z_PS1    NULL     3994.082        194.634    18.496     0.053  2.14
OBS:  57322.31281      z_PS1    NULL     1860.934        283.581    19.326     0.165  2.36
OBS:  57324.26169      z_PS1    NULL     2072.534        182.642    19.209     0.095  1.58
END:
