SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15py
RA: 121.3310833
DECL: 22.9635897
MWEBV: 0.0433 +- 0.0022
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.044735
SIGMA_Z: 0.0000111
REDSHIFT_CMB: 0.045485056638728816
REDSHIFT_FINAL: 0.045709455439335966
SEARCH_PEAKMJD: 57298.60803
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: -49.870
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57298.60762      g_PS1    NULL     6425.510        199.899    17.980     0.034  2.17
OBS:  57307.56669      g_PS1    NULL     2928.400        169.019    18.833     0.062  3.28
OBS:  57313.58934      g_PS1    NULL     2049.073        152.830    19.221     0.081  2.49
OBS:  57318.56872      g_PS1    NULL      937.846        102.578    20.070     0.118  2.00
OBS:  57333.56061      g_PS1    NULL     -459.467        338.407       nan     0.795  3.85
OBS:  57349.52733      g_PS1    NULL      770.812        160.735    20.283     0.225  2.41
OBS:  57298.60803      r_PS1    NULL     7709.195        187.985    17.782     0.026  2.04
OBS:  57307.56710      r_PS1    NULL     5220.511        160.123    18.206     0.033  2.56
OBS:  57313.58974      r_PS1    NULL     4590.680        149.961    18.345     0.035  2.08
OBS:  57318.56913      r_PS1    NULL     3983.568        121.381    18.499     0.033  1.84
OBS:  57333.56101      r_PS1    NULL     1749.131        232.242    19.393     0.143  3.18
OBS:  57349.52773      r_PS1    NULL     1155.239        133.879    19.843     0.125  2.30
OBS:  57298.60839      i_PS1    NULL     3905.844        142.212    18.521     0.039  1.79
OBS:  57307.56746      i_PS1    NULL     3741.421        170.652    18.567     0.049  2.73
OBS:  57313.59010      i_PS1    NULL     4006.249        145.631    18.493     0.039  1.95
OBS:  57318.56949      i_PS1    NULL     4015.923        143.666    18.491     0.039  1.66
OBS:  57333.56137      i_PS1    NULL     2022.203        202.740    19.235     0.108  2.52
OBS:  57349.52809      i_PS1    NULL     1127.313        118.175    19.870     0.113  1.89
OBS:  57333.56351      i_PS1    NULL     1738.258         94.264    19.400     0.059  3.33
OBS:  57333.58612      i_PS1    NULL     1600.974        160.148    19.489     0.108  3.68
OBS:  57333.59786      i_PS1    NULL     1453.835        118.962    19.594     0.088  4.76
OBS:  57333.60960      i_PS1    NULL     1615.305         81.268    19.479     0.054  3.11
OBS:  57298.60874      z_PS1    NULL     3986.125        177.877    18.499     0.048  1.66
OBS:  57307.56781      z_PS1    NULL     3518.611        234.610    18.634     0.072  2.55
OBS:  57313.59046      z_PS1    NULL     3496.400        212.491    18.641     0.066  2.08
OBS:  57318.56984      z_PS1    NULL     3075.263        166.089    18.780     0.058  1.49
OBS:  57333.56173      z_PS1    NULL     1575.833        316.336    19.506     0.217  3.06
OBS:  57349.52845      z_PS1    NULL      816.171        157.931    20.221     0.209  1.81
END:
