SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15sb
RA: 90.2004059
DECL: -15.3992176
MWEBV: 0.2809 +- 0.0140
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.022712
SIGMA_Z: 0.0001500
REDSHIFT_CMB: 0.023011718918575452
REDSHIFT_FINAL: 0.02460508863101553
SEARCH_PEAKMJD: 57333.55849
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: 62.154
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 29
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57322.53873      g_PS1    NULL    10797.133        413.364    17.417     0.041  2.93
OBS:  57328.59611      g_PS1    NULL     4942.633        216.267    18.265     0.047  1.70
OBS:  57333.55737      g_PS1    NULL     3070.588        298.289    18.782     0.105  4.02
OBS:  57342.56527      g_PS1    NULL     1362.080        196.329    19.664     0.156  2.18
OBS:  57356.50360      g_PS1    NULL     1279.108        250.365    19.733     0.211  2.62
OBS:  57363.46050      g_PS1    NULL       95.556        193.848    22.549     2.191  2.25
OBS:  57380.41496      g_PS1    NULL     -331.868        273.777       nan     0.891  1.99
OBS:  57322.53914      r_PS1    NULL    15053.495        422.829    17.056     0.030  2.99
OBS:  57328.59651      r_PS1    NULL    15154.632        321.002    17.049     0.023  1.61
OBS:  57333.55778      r_PS1    NULL    12849.165        416.803    17.228     0.035  3.30
OBS:  57342.56568      r_PS1    NULL     7121.132        258.429    17.869     0.039  1.98
OBS:  57356.50400      r_PS1    NULL     5135.377        268.010    18.224     0.056  2.25
OBS:  57363.46091      r_PS1    NULL     3713.100        248.062    18.576     0.072  2.17
OBS:  57380.41537      r_PS1    NULL     3152.258        280.494    18.753     0.096  2.07
OBS:  57359.41392      r_PS1    NULL     4972.111        143.829    18.259     0.031  1.86
OBS:  57322.53950      i_PS1    NULL    10710.966        404.387    17.425     0.041  2.47
OBS:  57328.59687      i_PS1    NULL    11343.780        312.627    17.363     0.030  1.33
OBS:  57333.55814      i_PS1    NULL    10999.585        474.472    17.397     0.047  3.08
OBS:  57342.56603      i_PS1    NULL     5639.296        318.402    18.122     0.061  2.25
OBS:  57356.50435      i_PS1    NULL     4146.273        322.993    18.456     0.084  2.20
OBS:  57363.46127      i_PS1    NULL     3068.242        285.642    18.783     0.101  1.75
OBS:  57380.41572      i_PS1    NULL     1567.013        285.481    19.512     0.197  1.72
OBS:  57322.53985      z_PS1    NULL    13266.987        476.427    17.193     0.039  2.08
OBS:  57328.59722      z_PS1    NULL    14536.742        436.788    17.094     0.032  1.35
OBS:  57333.55849      z_PS1    NULL    15102.555        722.967    17.052     0.052  3.50
OBS:  57342.56638      z_PS1    NULL     7518.834        452.921    17.810     0.065  2.03
OBS:  57356.50470      z_PS1    NULL      801.905        433.940    20.240     0.584  2.00
OBS:  57363.46162      z_PS1    NULL     3358.293        388.277    18.685     0.125  1.58
OBS:  57380.41608      z_PS1    NULL       -5.514        384.773       nan    75.364  1.54
END:
