SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15so
RA: 168.5463609
DECL: 48.3186618
MWEBV: 0.0126 +- 0.0006
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0070224
REDSHIFT_CMB: 0.0077296233710622
REDSHIFT_FINAL: 0.008769500131987977
SEARCH_PEAKMJD: 57342.62131
HOST_LOGMASS: 10.637
VPEC: 324.684
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 56
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57342.62131      g_PS1    NULL   300196.479       4210.470    13.806     0.015  3.14
OBS:  57349.63845      g_PS1    NULL   290905.363       4071.045    13.841     0.015  1.86
OBS:  57353.60525      g_PS1    NULL   246356.749       3477.923    14.021     0.015  2.28
OBS:  57356.62077      g_PS1    NULL   190825.054       2698.505    14.298     0.015  2.12
OBS:  57359.59996      g_PS1    NULL   144563.783       2049.530    14.600     0.015  2.01
OBS:  57362.64217      g_PS1    NULL   113455.392       1627.257    14.863     0.016  2.28
OBS:  57365.65123      g_PS1    NULL    92060.286       1325.762    15.090     0.016  2.08
OBS:  57379.64620      g_PS1    NULL    33135.187        531.455    16.199     0.017  1.84
OBS:  57385.59752      g_PS1    NULL    27605.112        480.610    16.398     0.019  2.08
OBS:  57395.52209      g_PS1    NULL    24374.473        417.208    16.533     0.019  2.02
OBS:  57401.66300      g_PS1    NULL    18247.692        334.775    16.847     0.020  1.66
OBS:  57410.54454      g_PS1    NULL    19431.919        413.562    16.779     0.023  2.35
OBS:  57420.61270      g_PS1    NULL    17144.182        317.610    16.915     0.020  2.04
OBS:  57438.42214      g_PS1    NULL    13695.579        328.873    17.159     0.026  2.13
OBS:  57342.62173      r_PS1    NULL   267820.471       3749.414    13.930     0.015  3.04
OBS:  57349.63886      r_PS1    NULL   278162.719       3883.508    13.889     0.015  1.75
OBS:  57353.60567      r_PS1    NULL   218953.417       3086.063    14.149     0.015  2.45
OBS:  57356.62118      r_PS1    NULL   174975.332       2465.136    14.393     0.015  1.80
OBS:  57359.60037      r_PS1    NULL   154102.193       2173.568    14.530     0.015  1.88
OBS:  57362.64258      r_PS1    NULL   142312.568       2012.731    14.617     0.015  1.91
OBS:  57365.65164      r_PS1    NULL   145807.055       2061.276    14.591     0.015  2.11
OBS:  57379.64659      r_PS1    NULL    68568.245        998.146    15.410     0.016  1.89
OBS:  57385.59792      r_PS1    NULL    53245.875        802.531    15.684     0.016  1.97
OBS:  57395.52249      r_PS1    NULL    40803.558        626.726    15.973     0.017  1.96
OBS:  57401.66341      r_PS1    NULL    29241.468        465.983    16.335     0.017  1.53
OBS:  57410.54494      r_PS1    NULL    26100.213        462.593    16.458     0.019  2.07
OBS:  57420.61311      r_PS1    NULL    19050.408        349.042    16.800     0.020  2.11
OBS:  57342.62209      i_PS1    NULL   171076.093       2438.169    14.417     0.015  3.38
OBS:  57349.63922      i_PS1    NULL   151652.489       2146.065    14.548     0.015  1.42
OBS:  57353.60602      i_PS1    NULL   112813.925       1625.360    14.869     0.016  1.96
OBS:  57356.62152      i_PS1    NULL    85610.277       1241.937    15.169     0.016  1.51
OBS:  57359.60072      i_PS1    NULL    85580.814       1245.961    15.169     0.016  1.64
OBS:  57362.64293      i_PS1    NULL    98930.632       1421.369    15.012     0.016  1.71
OBS:  57365.65200      i_PS1    NULL   107049.067       1538.248    14.926     0.016  1.80
OBS:  57379.64696      i_PS1    NULL    66923.485        985.345    15.436     0.016  1.60
OBS:  57385.59828      i_PS1    NULL    49291.521        756.794    15.768     0.017  1.87
OBS:  57395.52284      i_PS1    NULL    33424.232        534.229    16.190     0.017  1.59
OBS:  57401.66376      i_PS1    NULL    24510.927        418.155    16.527     0.018  1.59
OBS:  57410.54530      i_PS1    NULL    19885.959        392.300    16.754     0.021  1.75
OBS:  57420.61347      i_PS1    NULL    14854.463        307.141    17.070     0.022  1.53
OBS:  57438.42290      i_PS1    NULL     8728.190        257.591    17.648     0.032  1.68
OBS:  57342.62245      z_PS1    NULL   160599.622       2317.449    14.486     0.016  2.56
OBS:  57349.63957      z_PS1    NULL   143766.851       2072.129    14.606     0.016  1.65
OBS:  57353.60638      z_PS1    NULL   123527.613       1816.143    14.771     0.016  1.87
OBS:  57356.62189      z_PS1    NULL   104083.053       1530.208    14.957     0.016  1.50
OBS:  57359.60107      z_PS1    NULL   113173.441       1655.720    14.866     0.016  1.51
OBS:  57362.64329      z_PS1    NULL   122920.809       1774.456    14.776     0.016  1.44
OBS:  57365.65236      z_PS1    NULL   126122.574       1826.487    14.748     0.016  1.72
OBS:  57379.64731      z_PS1    NULL    72444.989       1093.617    15.350     0.016  1.49
OBS:  57385.59864      z_PS1    NULL    51155.571        826.675    15.728     0.018  1.73
OBS:  57395.52319      z_PS1    NULL    30112.046        540.574    16.303     0.019  1.59
OBS:  57401.66411      z_PS1    NULL    18428.875        402.938    16.836     0.024  1.50
OBS:  57410.54566      z_PS1    NULL    12260.165        370.691    17.279     0.033  1.67
OBS:  57420.61382      z_PS1    NULL     8226.085        333.543    17.712     0.044  1.75
OBS:  57438.42325      z_PS1    NULL     3986.723        260.775    18.498     0.071  1.46
OBS:  57324.64134      z_PS1    NULL     -862.032        313.827       nan     0.393  2.55
END:
