SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15ss
RA: 93.1391064
DECL: -14.2574827
MWEBV: 0.1992 +- 0.0100
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.035558
SIGMA_Z: 0.0001170
REDSHIFT_CMB: 0.035921085410479225
REDSHIFT_FINAL: 0.036150542519652044
SEARCH_PEAKMJD: 57342.56741
HOST_LOGMASS: 11.072
VPEC: 32.699
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57342.56700      g_PS1    NULL    11866.034        236.631    17.314     0.022  2.79
OBS:  57349.52525      g_PS1    NULL     8183.759        225.653    17.718     0.030  2.09
OBS:  57356.50543      g_PS1    NULL     4916.128        186.223    18.271     0.041  2.50
OBS:  57360.45717      g_PS1    NULL     3584.984        133.489    18.614     0.040  2.20
OBS:  57368.49768      g_PS1    NULL     1824.438        109.710    19.347     0.065  2.72
OBS:  57379.48541      g_PS1    NULL     1084.362        195.468    19.912     0.195  2.21
OBS:  57342.56741      r_PS1    NULL    12748.041        238.216    17.236     0.020  2.69
OBS:  57349.52566      r_PS1    NULL     8825.969        196.610    17.636     0.024  2.02
OBS:  57356.50584      r_PS1    NULL     6742.287        169.631    17.928     0.027  2.25
OBS:  57360.45758      r_PS1    NULL     6247.182        158.877    18.011     0.028  2.17
OBS:  57368.49809      r_PS1    NULL     5558.077        138.189    18.138     0.027  2.49
OBS:  57379.48581      r_PS1    NULL     3157.210        155.492    18.752     0.053  2.04
OBS:  57342.56777      i_PS1    NULL     7692.978        185.772    17.785     0.026  2.68
OBS:  57349.52601      i_PS1    NULL     4623.746        147.695    18.338     0.035  1.89
OBS:  57356.50619      i_PS1    NULL     3965.600        134.337    18.504     0.037  1.93
OBS:  57360.45793      i_PS1    NULL     4197.755        131.151    18.442     0.034  1.81
OBS:  57368.49844      i_PS1    NULL     4833.341        138.250    18.289     0.031  2.42
OBS:  57379.48616      i_PS1    NULL     3081.589        145.728    18.778     0.051  1.92
OBS:  57342.56812      z_PS1    NULL     7680.915        236.688    17.786     0.033  2.29
OBS:  57349.52637      z_PS1    NULL     5213.804        207.786    18.207     0.043  1.94
OBS:  57356.50655      z_PS1    NULL     5126.494        188.042    18.225     0.040  1.95
OBS:  57360.45828      z_PS1    NULL     4445.877        168.513    18.380     0.041  1.71
OBS:  57368.49880      z_PS1    NULL     4991.524        191.423    18.254     0.041  2.26
OBS:  57379.48652      z_PS1    NULL     2903.179        188.901    18.843     0.070  1.93
END:
