SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15uu
RA: 25.9858546
DECL: 17.0625952
MWEBV: 0.0588 +- 0.0029
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.026779
SIGMA_Z: 0.0000070
REDSHIFT_CMB: 0.025789352781304897
REDSHIFT_FINAL: 0.026088715013637867
SEARCH_PEAKMJD: 57388.27648
HOST_LOGMASS: 9.64521820143134
HOST_LOGMASS_ERR: 0.19864919962595282
HOST_LOGSFR: 1.1218431296666713
HOST_LOGSFR_ERR: 0.24108364355014708
VPEC: 174.252
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 36
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57388.27610      g_PS1    NULL    23051.820        380.112    16.593     0.018  1.53
OBS:  57394.28348      g_PS1    NULL    22031.699        424.447    16.642     0.021  2.71
OBS:  57400.26462      g_PS1    NULL    15560.145        322.468    17.020     0.022  3.16
OBS:  57408.22207      g_PS1    NULL     8476.453        261.744    17.679     0.033  2.09
OBS:  57416.24961      g_PS1    NULL     4704.499        163.843    18.319     0.038  1.84
OBS:  57429.23013      g_PS1    NULL     3122.511        171.499    18.764     0.059  1.88
OBS:  57439.23000      g_PS1    NULL     3125.195        245.295    18.763     0.085  2.23
OBS:  57700.43132      g_PS1    NULL      108.730        160.764    22.409     1.597  2.02
OBS:  57388.27648      r_PS1    NULL    24087.390        381.289    16.546     0.017  1.57
OBS:  57394.28388      r_PS1    NULL    22672.990        397.658    16.611     0.019  2.36
OBS:  57400.26501      r_PS1    NULL    18557.061        348.026    16.829     0.020  3.13
OBS:  57408.22246      r_PS1    NULL    14430.562        279.522    17.102     0.021  1.98
OBS:  57416.25002      r_PS1    NULL    11127.963        223.706    17.384     0.022  1.85
OBS:  57429.23053      r_PS1    NULL     7639.697        194.872    17.792     0.028  1.81
OBS:  57439.23041      r_PS1    NULL     5148.685        206.986    18.221     0.043  2.09
OBS:  57700.43171      r_PS1    NULL      194.088        148.643    21.780     0.827  2.06
OBS:  57388.27685      i_PS1    NULL    17236.470        301.120    16.909     0.019  1.50
OBS:  57394.28424      i_PS1    NULL    16181.856        331.372    16.977     0.022  2.28
OBS:  57400.26537      i_PS1    NULL    12984.565        276.713    17.216     0.023  2.42
OBS:  57408.22283      i_PS1    NULL    12955.061        258.727    17.219     0.022  1.68
OBS:  57416.25038      i_PS1    NULL    12208.544        240.642    17.283     0.021  1.57
OBS:  57429.23089      i_PS1    NULL     7729.240        198.022    17.780     0.028  1.55
OBS:  57439.23076      i_PS1    NULL     5610.343        218.402    18.128     0.042  2.16
OBS:  57700.43207      i_PS1    NULL      237.417        154.706    21.561     0.704  1.70
OBS:  57409.23275      i_PS1    NULL    13302.138        210.684    17.190     0.017  1.61
OBS:  57409.24548      i_PS1    NULL    13340.329        212.324    17.187     0.017  1.70
OBS:  57409.25822      i_PS1    NULL    13054.293        208.965    17.211     0.017  1.71
OBS:  57409.27100      i_PS1    NULL    13016.437        209.246    17.214     0.017  1.72
OBS:  57394.28460      z_PS1    NULL    14656.395        354.777    17.085     0.026  1.88
OBS:  57400.26573      z_PS1    NULL    14409.566        341.969    17.103     0.026  2.16
OBS:  57408.22320      z_PS1    NULL    13521.765        301.672    17.172     0.024  1.73
OBS:  57416.25074      z_PS1    NULL    12508.471        283.490    17.257     0.025  1.55
OBS:  57429.23124      z_PS1    NULL     8475.663        247.120    17.680     0.032  1.45
OBS:  57439.23111      z_PS1    NULL     5884.913        279.209    18.076     0.051  1.98
OBS:  57700.43244      z_PS1    NULL       50.059        235.074    23.251     5.072  1.73
OBS:  57387.20718      z_PS1    NULL    15517.532        269.533    17.023     0.019  1.66
END:
