SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-15uw
RA: 38.8929634
DECL: -6.0629422
MWEBV: 0.0232 +- 0.0012
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.030811
REDSHIFT_CMB: 0.030039080752795932
REDSHIFT_FINAL: 0.03088073016166404
SEARCH_PEAKMJD: 57392.21945
HOST_LOGMASS: 10.418
VPEC: 294.557
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57388.22762      g_PS1    NULL    15749.033        276.618    17.007     0.019  1.83
OBS:  57392.21945      g_PS1    NULL    19430.907        345.661    16.779     0.019  2.35
OBS:  57397.21711      g_PS1    NULL    16961.956        295.971    16.926     0.019  1.86
OBS:  57407.28368      g_PS1    NULL     8391.610        229.300    17.690     0.030  1.92
OBS:  57415.26757      g_PS1    NULL     4239.348        134.631    18.432     0.034  1.93
OBS:  57424.24069      g_PS1    NULL     2196.755         99.471    19.146     0.049  1.57
OBS:  57437.23038      g_PS1    NULL     1483.396        201.546    19.572     0.147  2.70
OBS:  57388.22802      r_PS1    NULL    15289.268        271.739    17.039     0.019  1.79
OBS:  57392.21984      r_PS1    NULL    18339.070        312.573    16.842     0.018  2.13
OBS:  57397.21751      r_PS1    NULL    16840.171        282.318    16.934     0.018  1.89
OBS:  57407.28409      r_PS1    NULL    12349.864        244.837    17.271     0.021  1.81
OBS:  57415.26798      r_PS1    NULL     9739.609        196.321    17.529     0.022  1.80
OBS:  57424.24109      r_PS1    NULL     5828.661        136.383    18.086     0.025  1.42
OBS:  57437.23079      r_PS1    NULL     3472.897        178.641    18.648     0.056  2.56
OBS:  57388.22837      i_PS1    NULL    11974.792        222.562    17.304     0.020  1.49
OBS:  57392.22020      i_PS1    NULL    13138.329        254.661    17.204     0.021  2.04
OBS:  57397.21786      i_PS1    NULL    12420.462        231.711    17.265     0.020  1.66
OBS:  57407.28444      i_PS1    NULL    10050.931        215.036    17.494     0.023  1.57
OBS:  57415.26834      i_PS1    NULL     9764.192        218.945    17.526     0.024  2.00
OBS:  57424.24144      i_PS1    NULL     6741.681        155.771    17.928     0.025  1.29
OBS:  57437.23114      i_PS1    NULL     3655.264        191.356    18.593     0.057  2.40
OBS:  57397.21821      z_PS1    NULL    10998.456        255.026    17.397     0.025  1.53
OBS:  57407.28479      z_PS1    NULL     9870.014        256.111    17.514     0.028  1.58
OBS:  57415.26869      z_PS1    NULL     9313.117        261.190    17.577     0.030  1.75
OBS:  57424.24180      z_PS1    NULL     6762.080        181.675    17.925     0.029  1.20
OBS:  57437.23150      z_PS1    NULL     4321.616        260.389    18.411     0.065  2.41
END:
