SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16av
RA: 177.8677279
DECL: 22.0260754
MWEBV: 0.0236 +- 0.0012
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.025668
SIGMA_Z: 0.0000670
REDSHIFT_CMB: 0.02675715727449912
REDSHIFT_FINAL: 0.027886992407260624
SEARCH_PEAKMJD: 57409.54085
HOST_LOGMASS: 11.04278154783277
HOST_LOGMASS_ERR: 0.07381377622645967
HOST_LOGSFR: -0.7692642629370324
HOST_LOGSFR_ERR: 0.3036690381173969
VPEC: 246.586
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 29
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57409.54047      g_PS1    NULL    23236.852        511.475    16.585     0.024  3.31
OBS:  57418.52079      g_PS1    NULL    15647.693        313.580    17.014     0.022  1.72
OBS:  57422.58892      g_PS1    NULL    14277.591        339.239    17.113     0.026  3.39
OBS:  57428.47016      g_PS1    NULL     9001.359        234.807    17.614     0.028  1.89
OBS:  57436.62708      g_PS1    NULL     3490.389        265.532    18.643     0.082  3.66
OBS:  57436.65627      g_PS1    NULL     3031.621        260.896    18.796     0.093  3.62
OBS:  57446.53477      g_PS1    NULL     2697.452        167.542    18.923     0.067  1.51
OBS:  57409.54085      r_PS1    NULL    25117.893        510.148    16.500     0.022  3.77
OBS:  57418.52117      r_PS1    NULL    20129.751        366.602    16.740     0.020  1.71
OBS:  57422.58930      r_PS1    NULL    16349.967        347.523    16.966     0.023  2.31
OBS:  57428.47056      r_PS1    NULL    15832.495        315.513    17.001     0.022  1.67
OBS:  57436.62749      r_PS1    NULL    10225.021        331.844    17.476     0.035  3.69
OBS:  57436.65668      r_PS1    NULL    11459.213        335.471    17.352     0.032  3.16
OBS:  57446.53515      r_PS1    NULL     7323.051        226.954    17.838     0.034  1.58
OBS:  57409.54122      i_PS1    NULL    13843.702        430.600    17.147     0.034  3.23
OBS:  57418.52154      i_PS1    NULL     9673.962        292.844    17.536     0.033  1.60
OBS:  57422.58968      i_PS1    NULL     7878.114        341.958    17.759     0.047  2.59
OBS:  57428.47093      i_PS1    NULL    11527.472        302.588    17.346     0.028  1.52
OBS:  57436.62784      i_PS1    NULL    10136.876        425.250    17.485     0.045  4.23
OBS:  57436.65702      i_PS1    NULL    10168.824        360.446    17.482     0.038  2.54
OBS:  57446.53552      i_PS1    NULL     7814.389        288.057    17.768     0.040  1.63
OBS:  57521.25379      i_PS1    NULL      757.067         81.808    20.302     0.117  1.80
OBS:  57409.54159      z_PS1    NULL    14696.603        529.029    17.082     0.039  2.83
OBS:  57418.52191      z_PS1    NULL    12189.758        388.777    17.285     0.034  1.50
OBS:  57422.59005      z_PS1    NULL     6594.653        519.290    17.952     0.085  2.72
OBS:  57428.47130      z_PS1    NULL    12805.873        392.830    17.231     0.033  1.48
OBS:  57436.62820      z_PS1    NULL    10607.651        579.515    17.436     0.059  3.99
OBS:  57436.65738      z_PS1    NULL    11951.098        494.273    17.306     0.045  2.64
OBS:  57446.53589      z_PS1    NULL     6630.762        359.782    17.946     0.059  1.49
END:
