SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16ci
RA: 49.8387813
DECL: 41.4904988
MWEBV: 0.1382 +- 0.0069
FILTERS: griz
SPEC_CLASS: SNIa-91bg-like
REDSHIFT_HELIO: 0.012725
REDSHIFT_CMB: 0.012188679157083993
REDSHIFT_FINAL: 0.010607304870891714
SEARCH_PEAKMJD: 57448.23391
HOST_LOGMASS: 10.604
VPEC: 577.605
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 20
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57443.23287      g_PS1    NULL    13808.910        322.058    17.150     0.025  1.89
OBS:  57448.23351      g_PS1    NULL    19794.896        443.631    16.759     0.024  2.70
OBS:  57472.23969      g_PS1    NULL     2279.553        236.822    19.105     0.112  2.03
OBS:  57481.24184      g_PS1    NULL     2289.364        233.453    19.101     0.110  2.10
OBS:  57485.23985      g_PS1    NULL      927.550        414.432    20.082     0.483  4.76
OBS:  57443.23327      r_PS1    NULL    20612.445        392.699    16.715     0.021  1.90
OBS:  57448.23391      r_PS1    NULL    28831.924        536.724    16.350     0.020  2.40
OBS:  57472.24012      r_PS1    NULL     7630.777        279.986    17.794     0.040  1.91
OBS:  57481.24151      r_PS1    NULL     5307.277        275.238    18.188     0.056  1.84
OBS:  57485.24028      r_PS1    NULL     2324.297        454.422    19.084     0.211  4.28
OBS:  57443.23363      i_PS1    NULL    18622.756        402.033    16.825     0.023  1.74
OBS:  57448.23427      i_PS1    NULL    22348.112        520.763    16.627     0.025  2.42
OBS:  57472.24047      i_PS1    NULL     9684.638        323.984    17.535     0.036  1.62
OBS:  57481.24109      i_PS1    NULL     5355.548        260.758    18.178     0.053  1.42
OBS:  57485.24063      i_PS1    NULL     4230.000        555.637    18.434     0.142  3.81
OBS:  57443.23398      z_PS1    NULL    15271.416        434.204    17.040     0.031  1.57
OBS:  57448.23462      z_PS1    NULL    20356.452        603.922    16.728     0.032  2.29
OBS:  57472.24082      z_PS1    NULL    10644.336        427.862    17.432     0.043  1.61
OBS:  57481.24074      z_PS1    NULL     5314.387        385.836    18.186     0.078  1.29
OBS:  57485.24097      z_PS1    NULL     2982.525        733.700    18.814     0.266  3.29
END:
