SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16cy
RA: 206.2518840
DECL: 61.2802295
MWEBV: 0.0170 +- 0.0008
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.0347993
SIGMA_Z: 0.0000084
REDSHIFT_CMB: 0.03514004124231107
REDSHIFT_FINAL: 0.03590187048668182
SEARCH_PEAKMJD: 57464.50699
HOST_LOGMASS: 11.121
VPEC: -209.110
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 40
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57464.50658      g_PS1    NULL    17543.585        336.106    16.890     0.021  2.43
OBS:  57472.46717      g_PS1    NULL    10213.565        288.878    17.477     0.031  2.02
OBS:  57477.45962      g_PS1    NULL     6912.947        215.088    17.901     0.034  1.96
OBS:  57482.43816      g_PS1    NULL     4277.406        232.243    18.422     0.059  3.27
OBS:  57490.41468      g_PS1    NULL     1607.181        192.930    19.485     0.130  3.77
OBS:  57498.40158      g_PS1    NULL     1478.654        220.300    19.575     0.161  1.85
OBS:  57508.40416      g_PS1    NULL     1109.597        201.119    19.887     0.196  2.79
OBS:  57464.50699      r_PS1    NULL    19314.911        356.961    16.785     0.020  2.06
OBS:  57472.46758      r_PS1    NULL    13385.003        290.672    17.183     0.024  1.68
OBS:  57477.46003      r_PS1    NULL    11645.965        259.012    17.335     0.024  1.73
OBS:  57482.43857      r_PS1    NULL    10591.962        287.518    17.438     0.029  3.05
OBS:  57490.41508      r_PS1    NULL     6115.490        254.849    18.034     0.045  3.50
OBS:  57498.40211      r_PS1    NULL     4468.096        213.554    18.375     0.052  1.76
OBS:  57508.40456      r_PS1    NULL     3444.645        206.287    18.657     0.065  2.09
OBS:  57464.50733      i_PS1    NULL    10485.402        278.719    17.449     0.029  1.81
OBS:  57472.46793      i_PS1    NULL     6244.770        225.576    18.011     0.039  1.55
OBS:  57477.46043      i_PS1    NULL     7752.445        233.353    17.776     0.033  1.71
OBS:  57482.43892      i_PS1    NULL     7215.158        286.120    17.854     0.043  2.50
OBS:  57490.41544      i_PS1    NULL     7105.029        305.841    17.871     0.047  3.25
OBS:  57498.40247      i_PS1    NULL     2228.592        205.558    19.130     0.100  1.52
OBS:  57508.40492      i_PS1    NULL     2407.304        245.430    19.046     0.110  2.35
OBS:  57498.46807      i_PS1    NULL     3259.022        124.375    18.717     0.041  1.50
OBS:  57498.48210      i_PS1    NULL     4069.271        132.567    18.476     0.035  1.75
OBS:  57498.49654      i_PS1    NULL     3116.498        137.556    18.766     0.048  1.97
OBS:  57498.51107      i_PS1    NULL     3339.847        145.372    18.691     0.047  1.84
OBS:  57529.39762      i_PS1    NULL     1736.726        139.838    19.401     0.087  2.04
OBS:  57529.41006      i_PS1    NULL     1364.908        127.639    19.662     0.101  1.76
OBS:  57529.42247      i_PS1    NULL      478.736        156.579    20.800     0.353  2.45
OBS:  57529.43487      i_PS1    NULL     1659.683        138.446    19.450     0.090  1.87
OBS:  57464.50769      z_PS1    NULL     7406.355        320.216    17.826     0.047  1.74
OBS:  57472.46829      z_PS1    NULL     6231.045        283.920    18.014     0.049  1.47
OBS:  57477.46079      z_PS1    NULL     5468.499        292.677    18.155     0.058  1.63
OBS:  57482.43928      z_PS1    NULL     7088.247        342.222    17.874     0.052  2.09
OBS:  57490.41580      z_PS1    NULL     3818.235        342.644    18.545     0.097  2.23
OBS:  57498.40282      z_PS1    NULL     1655.620        251.323    19.453     0.164  1.41
OBS:  57508.40527      z_PS1    NULL     1282.676        295.528    19.730     0.249  1.84
OBS:  57446.65026      z_PS1    NULL      -31.110        195.642       nan     6.792  1.86
OBS:  57446.65357      z_PS1    NULL     -245.265        200.404       nan     0.882  2.09
OBS:  57448.64881      z_PS1    NULL      682.388        213.554    20.415     0.338  2.06
OBS:  57448.65536      z_PS1    NULL     -858.939        263.099       nan     0.331  2.70
END:
