SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16et
RA: 155.0069894
DECL: 56.4610557
MWEBV: 0.0245 +- 0.0012
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0249046
SIGMA_Z: 0.0000066
REDSHIFT_CMB: 0.025452598187741593
REDSHIFT_FINAL: 0.025728699285690507
SEARCH_PEAKMJD: 57512.39888
HOST_LOGMASS: 9.365
VPEC: -30.505
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57508.35089      g_PS1    NULL    19246.318        317.300    16.789     0.018  1.95
OBS:  57512.39847      g_PS1    NULL    18446.577        394.222    16.835     0.023  5.38
OBS:  57520.25591      g_PS1    NULL    15008.130        290.011    17.059     0.021  2.55
OBS:  57525.25775      g_PS1    NULL    11161.405        292.067    17.381     0.028  2.75
OBS:  57536.26907      g_PS1    NULL     5208.957        153.834    18.208     0.032  1.89
OBS:  57538.30414      g_PS1    NULL     3933.680        138.164    18.513     0.038  2.05
OBS:  57551.26700      g_PS1    NULL     2123.601        134.130    19.182     0.068  1.92
OBS:  57508.35130      r_PS1    NULL    19130.588        309.921    16.796     0.018  1.89
OBS:  57512.39888      r_PS1    NULL    20845.122        365.762    16.702     0.019  3.59
OBS:  57520.25631      r_PS1    NULL    16215.943        291.938    16.975     0.020  2.36
OBS:  57525.25815      r_PS1    NULL    12525.646        265.495    17.255     0.023  2.54
OBS:  57536.26948      r_PS1    NULL    10164.710        195.393    17.482     0.021  1.63
OBS:  57538.30455      r_PS1    NULL     8735.964        175.408    17.647     0.022  1.67
OBS:  57551.26742      r_PS1    NULL     5385.299        147.722    18.172     0.030  1.88
OBS:  57508.35165      i_PS1    NULL    13589.300        242.708    17.167     0.019  1.69
OBS:  57512.39923      i_PS1    NULL    13525.053        303.702    17.172     0.024  3.32
OBS:  57520.25666      i_PS1    NULL    10012.428        223.375    17.499     0.024  2.02
OBS:  57525.25851      i_PS1    NULL     6540.549        238.638    17.961     0.039  2.82
OBS:  57536.26984      i_PS1    NULL     7448.380        163.978    17.820     0.024  1.43
OBS:  57538.30491      i_PS1    NULL     6731.004        149.123    17.930     0.024  1.46
OBS:  57551.26777      i_PS1    NULL     5635.801        158.675    18.123     0.030  1.75
OBS:  57512.39958      z_PS1    NULL    12370.392        395.355    17.269     0.035  3.17
OBS:  57520.25701      z_PS1    NULL     9928.805        270.974    17.508     0.030  1.89
OBS:  57525.25886      z_PS1    NULL     8730.174        362.198    17.647     0.045  3.32
OBS:  57536.27019      z_PS1    NULL     8997.846        221.889    17.615     0.027  1.60
OBS:  57538.30525      z_PS1    NULL     8253.087        203.712    17.708     0.027  1.32
OBS:  57551.26812      z_PS1    NULL     5627.996        206.698    18.124     0.040  1.61
END:
