SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16ex
RA: 257.5997344
DECL: 26.3968648
MWEBV: 0.0286 +- 0.0014
FILTERS: griz
SPEC_CLASS: SNIa-06gz-like
REDSHIFT_HELIO: 0.041376
SIGMA_Z: 0.0000140
REDSHIFT_CMB: 0.04131082806035269
REDSHIFT_FINAL: 0.04213311463625946
SEARCH_PEAKMJD: 57521.58949
HOST_LOGMASS: 9.094
VPEC: -309.646
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 45
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57514.42064      g_PS1    NULL    14427.002        259.226    17.102     0.019  2.14
OBS:  57521.58949      g_PS1    NULL    20595.477        345.958    16.716     0.018  1.83
OBS:  57526.44999      g_PS1    NULL    19688.718        360.709    16.764     0.020  2.77
OBS:  57531.42675      g_PS1    NULL    17901.982        333.826    16.868     0.020  1.95
OBS:  57538.53425      g_PS1    NULL    12763.030        236.671    17.235     0.020  2.14
OBS:  57546.50627      g_PS1    NULL     8357.983        168.998    17.695     0.022  1.61
OBS:  57555.35867      g_PS1    NULL     4785.702        226.706    18.300     0.051  2.80
OBS:  57847.55832      g_PS1    NULL      -26.936         79.677       nan     3.195  2.44
OBS:  57514.42105      r_PS1    NULL    12560.312        216.108    17.252     0.019  1.77
OBS:  57521.58990      r_PS1    NULL    18449.633        301.350    16.835     0.018  1.80
OBS:  57526.45037      r_PS1    NULL    17385.613        306.777    16.900     0.019  2.78
OBS:  57531.42714      r_PS1    NULL    16263.743        288.216    16.972     0.019  1.90
OBS:  57538.53465      r_PS1    NULL    13738.106        233.024    17.155     0.018  2.15
OBS:  57546.50666      r_PS1    NULL    11590.681        200.656    17.340     0.019  1.58
OBS:  57555.35905      r_PS1    NULL     9358.167        223.870    17.572     0.026  2.76
OBS:  57847.55872      r_PS1    NULL       35.200         78.907    23.634     2.421  2.74
OBS:  57504.47711      r_PS1    NULL     1127.410         57.892    19.870     0.055  1.91
OBS:  57504.48908      r_PS1    NULL      897.003         63.037    20.118     0.076  2.10
OBS:  57504.50107      r_PS1    NULL     1225.410         50.578    19.779     0.045  1.69
OBS:  57504.51306      r_PS1    NULL     1010.331         50.265    19.989     0.054  1.75
OBS:  57514.42140      i_PS1    NULL     9526.275        184.604    17.553     0.021  1.97
OBS:  57521.59025      i_PS1    NULL    11643.709        210.347    17.335     0.020  1.44
OBS:  57526.45073      i_PS1    NULL    11822.588        228.592    17.318     0.021  2.10
OBS:  57531.42751      i_PS1    NULL    10332.117        217.056    17.465     0.023  1.92
OBS:  57538.53501      i_PS1    NULL     9074.480        170.629    17.605     0.020  1.50
OBS:  57546.50703      i_PS1    NULL     8587.677        162.959    17.665     0.021  1.40
OBS:  57555.35942      i_PS1    NULL     8021.486        224.117    17.739     0.030  2.47
OBS:  57847.55908      i_PS1    NULL     -114.549         86.277       nan     0.813  2.48
OBS:  57527.41719      i_PS1    NULL    11124.829        199.202    17.384     0.019  2.78
OBS:  57527.42947      i_PS1    NULL    10791.865        178.016    17.417     0.018  2.45
OBS:  57527.44161      i_PS1    NULL    10806.070        181.435    17.416     0.018  2.69
OBS:  57527.45380      i_PS1    NULL    11234.647        183.045    17.374     0.018  2.50
OBS:  57558.45776      i_PS1    NULL     7530.623        582.155    17.808     0.084  1.48
OBS:  57558.47054      i_PS1    NULL     7894.844        638.840    17.757     0.087  1.67
OBS:  57558.48312      i_PS1    NULL     7278.876        732.067    17.845     0.109  1.52
OBS:  57558.49577      i_PS1    NULL     7578.492        743.251    17.801     0.106  1.77
OBS:  57514.42176      z_PS1    NULL     7983.311        207.460    17.745     0.028  1.91
OBS:  57521.59062      z_PS1    NULL    10818.606        233.997    17.415     0.023  1.42
OBS:  57526.45110      z_PS1    NULL    10808.150        261.625    17.416     0.026  2.07
OBS:  57531.42788      z_PS1    NULL    11187.287        250.395    17.378     0.024  1.67
OBS:  57538.53537      z_PS1    NULL     9538.135        203.706    17.551     0.023  1.43
OBS:  57546.50739      z_PS1    NULL     8574.306        195.944    17.667     0.025  1.29
OBS:  57555.35978      z_PS1    NULL     7978.648        269.117    17.745     0.036  2.15
OBS:  57847.55945      z_PS1    NULL     -164.928        162.250       nan     1.062  2.68
OBS:  57535.60828      z_PS1    NULL     9462.271        180.780    17.560     0.021  1.66
END:
