SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16jf
RA: 339.2466605
DECL: -25.2319663
MWEBV: 0.0204 +- 0.0010
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.011441
SIGMA_Z: 0.0000130
REDSHIFT_CMB: 0.010398499617201962
REDSHIFT_FINAL: 0.009168943135987763
SEARCH_PEAKMJD: 57626.45304
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: 208.527
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57626.45304      g_PS1    NULL    99927.283       1432.413    15.001     0.016  2.51
OBS:  57638.42224      g_PS1    NULL    76468.714       1101.603    15.291     0.016  2.14
OBS:  57650.42502      g_PS1    NULL    21564.109        386.236    16.666     0.019  2.28
OBS:  57667.31231      g_PS1    NULL     8704.713        188.433    17.651     0.023  2.22
OBS:  57678.32245      g_PS1    NULL     7212.061        259.539    17.855     0.039  2.41
OBS:  57693.25122      g_PS1    NULL     5412.856        138.508    18.166     0.028  2.29
OBS:  57626.45345      r_PS1    NULL    96844.585       1379.778    15.035     0.015  2.94
OBS:  57638.42266      r_PS1    NULL    83832.187       1192.565    15.191     0.015  1.91
OBS:  57650.42543      r_PS1    NULL    46070.622        680.275    15.841     0.016  1.78
OBS:  57667.31273      r_PS1    NULL    17329.951        289.713    16.903     0.018  2.23
OBS:  57678.32286      r_PS1    NULL    11399.453        244.755    17.358     0.023  2.21
OBS:  57693.25163      r_PS1    NULL     6999.698        150.775    17.887     0.023  2.16
OBS:  57626.45380      i_PS1    NULL    73811.188       1063.915    15.330     0.016  2.14
OBS:  57638.42301      i_PS1    NULL    46937.100        687.723    15.821     0.016  1.73
OBS:  57650.42578      i_PS1    NULL    42209.470        631.908    15.936     0.016  1.69
OBS:  57667.31308      i_PS1    NULL    15915.286        275.531    16.995     0.019  1.83
OBS:  57678.32321      i_PS1    NULL    10242.790        250.301    17.474     0.026  2.31
OBS:  57693.25213      i_PS1    NULL     6163.210        155.003    18.025     0.027  2.10
OBS:  57626.45415      z_PS1    NULL    61111.431        922.444    15.535     0.016  2.31
OBS:  57638.42337      z_PS1    NULL    54793.757        815.280    15.653     0.016  1.68
OBS:  57650.42614      z_PS1    NULL    45726.727        707.583    15.850     0.017  1.81
OBS:  57667.31344      z_PS1    NULL    15330.962        310.866    17.036     0.022  1.91
OBS:  57678.32355      z_PS1    NULL     8511.241        271.008    17.675     0.034  2.03
OBS:  57693.25248      z_PS1    NULL     3864.689        189.857    18.532     0.053  2.07
END:
