SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-16lg
RA: 267.0511129
DECL: 17.6255580
MWEBV: 0.0675 +- 0.0034
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.021171
REDSHIFT_CMB: 0.020933384210817696
REDSHIFT_FINAL: 0.021225016941553612
SEARCH_PEAKMJD: 57676.22257
HOST_LOGMASS: 10.641
VPEC: 103.825
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 18
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57670.24185      g_PS1    NULL    46307.682        735.094    15.836     0.017  1.99
OBS:  57676.22257      g_PS1    NULL    53902.267        922.129    15.671     0.019  3.70
OBS:  57686.24504      g_PS1    NULL    32144.746        555.084    16.232     0.019  2.03
OBS:  57693.20724      g_PS1    NULL    13530.008        423.340    17.172     0.034  4.25
OBS:  57705.20989      g_PS1    NULL     5976.531        390.496    18.059     0.071  2.53
OBS:  57670.24226      r_PS1    NULL    46012.809        760.576    15.843     0.018  1.84
OBS:  57676.22298      r_PS1    NULL    52075.912        873.103    15.708     0.018  2.62
OBS:  57686.24547      r_PS1    NULL    32392.943        617.797    16.224     0.021  1.87
OBS:  57693.20766      r_PS1    NULL    29864.801        612.392    16.312     0.022  2.99
OBS:  57705.21036      r_PS1    NULL    14724.540        432.378    17.080     0.032  2.00
OBS:  57670.24261      i_PS1    NULL    32121.150        613.707    16.233     0.021  1.75
OBS:  57676.22334      i_PS1    NULL    27347.151        599.083    16.408     0.024  2.11
OBS:  57686.24582      i_PS1    NULL    18298.617        494.873    16.844     0.029  2.06
OBS:  57693.20802      i_PS1    NULL    19282.719        677.429    16.787     0.038  3.01
OBS:  57705.21071      i_PS1    NULL    15491.628        499.280    17.025     0.035  2.31
OBS:  57686.24617      z_PS1    NULL    21581.580        535.216    16.665     0.027  1.73
OBS:  57693.20837      z_PS1    NULL    23917.633        660.282    16.553     0.030  2.51
OBS:  57705.21105      z_PS1    NULL    19767.592        556.568    16.760     0.030  1.87
END:
