SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17bd
RA: 239.8266684
DECL: 13.6141420
MWEBV: 0.0403 +- 0.0020
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.0344498
REDSHIFT_CMB: 0.03479350643665713
REDSHIFT_FINAL: 0.032979482092241295
SEARCH_PEAKMJD: 57786.63443
HOST_LOGMASS: 10.295
VPEC: 331.658
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57786.63403      g_PS1    NULL     4971.384        178.361    18.259     0.039  3.04
OBS:  57794.51989      g_PS1    NULL     2654.519        393.386    18.940     0.160  2.92
OBS:  57804.65131      g_PS1    NULL     1067.209        115.451    19.929     0.117  2.16
OBS:  57819.61376      g_PS1    NULL      587.958        110.241    20.577     0.203  2.10
OBS:  57827.57647      g_PS1    NULL      538.933        184.643    20.671     0.370  2.36
OBS:  57832.53966      g_PS1    NULL      519.912        114.199    20.710     0.237  1.97
OBS:  57786.63443      r_PS1    NULL     7383.978        175.515    17.829     0.026  2.34
OBS:  57794.52032      r_PS1    NULL     5251.832        266.864    18.199     0.055  2.62
OBS:  57804.65170      r_PS1    NULL     4565.363        140.658    18.351     0.033  2.17
OBS:  57819.61415      r_PS1    NULL     2335.521        112.544    19.079     0.052  1.79
OBS:  57827.57687      r_PS1    NULL     1908.077        138.715    19.299     0.079  2.00
OBS:  57832.54005      r_PS1    NULL     1290.093         95.210    19.723     0.080  1.70
OBS:  57786.63480      i_PS1    NULL     4079.297        154.397    18.474     0.041  2.28
OBS:  57794.52067      i_PS1    NULL     4989.744        232.878    18.255     0.050  2.44
OBS:  57804.65207      i_PS1    NULL     4361.516        156.406    18.401     0.039  2.03
OBS:  57819.61452      i_PS1    NULL     2426.197        127.423    19.038     0.057  1.85
OBS:  57827.57723      i_PS1    NULL     1441.016        130.609    19.603     0.098  1.80
OBS:  57832.54041      i_PS1    NULL     1064.683        101.134    19.932     0.103  1.66
OBS:  57834.54159      i_PS1    NULL     1017.470         88.035    19.981     0.093  3.04
OBS:  57834.55335      i_PS1    NULL     1390.009         71.183    19.642     0.055  2.15
OBS:  57834.56512      i_PS1    NULL     1223.699         79.625    19.781     0.070  2.51
OBS:  57834.57696      i_PS1    NULL     1261.985         85.564    19.747     0.073  2.63
OBS:  57786.63516      z_PS1    NULL     5573.692        209.492    18.135     0.041  2.10
OBS:  57794.52101      z_PS1    NULL     4676.414        284.530    18.325     0.066  2.29
OBS:  57804.65244      z_PS1    NULL     4848.255        214.552    18.286     0.048  1.89
OBS:  57819.61490      z_PS1    NULL     2406.501        155.648    19.047     0.070  1.64
OBS:  57827.57759      z_PS1    NULL     1463.510        173.561    19.587     0.128  1.77
OBS:  57832.54076      z_PS1    NULL     1104.215        138.888    19.892     0.136  1.64
END:
