SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17bs
RA: 268.0255396
DECL: 21.5660211
MWEBV: 0.0763 +- 0.0038
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.020397
REDSHIFT_CMB: 0.020134794811615953
REDSHIFT_FINAL: 0.02044404332546618
SEARCH_PEAKMJD: 57794.60710
HOST_LOGMASS: 10.735
VPEC: 89.718
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 20
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57787.65583      g_PS1    NULL    33932.615        529.874    16.173     0.017  2.24
OBS:  57794.60668      g_PS1    NULL    35197.062        643.117    16.134     0.020  2.69
OBS:  57799.64284      g_PS1    NULL    26190.227        450.235    16.455     0.019  2.86
OBS:  57806.65148      g_PS1    NULL    13910.808        258.463    17.142     0.020  2.68
OBS:  57825.63263      g_PS1    NULL     3676.171        186.032    18.587     0.055  1.81
OBS:  57787.65625      r_PS1    NULL    35505.424        536.600    16.124     0.016  2.27
OBS:  57794.60710      r_PS1    NULL    39261.743        635.045    16.015     0.018  2.64
OBS:  57799.64325      r_PS1    NULL    31167.710        490.366    16.266     0.017  2.61
OBS:  57806.65189      r_PS1    NULL    23524.569        371.900    16.571     0.017  2.18
OBS:  57825.63302      r_PS1    NULL     9197.979        199.513    17.591     0.023  1.66
OBS:  57787.65660      i_PS1    NULL    27646.479        435.722    16.396     0.017  2.37
OBS:  57794.60744      i_PS1    NULL    23813.591        415.269    16.558     0.019  2.27
OBS:  57799.64359      i_PS1    NULL    18252.183        320.965    16.847     0.019  2.58
OBS:  57806.65224      i_PS1    NULL    16714.301        283.923    16.942     0.018  1.80
OBS:  57825.63338      i_PS1    NULL     9538.490        197.522    17.551     0.022  1.42
OBS:  57787.65696      z_PS1    NULL    23216.923        400.885    16.585     0.019  1.97
OBS:  57794.60778      z_PS1    NULL    23085.088        449.282    16.592     0.021  2.45
OBS:  57799.64394      z_PS1    NULL    19165.126        384.593    16.794     0.022  2.69
OBS:  57806.65260      z_PS1    NULL    18740.962        352.784    16.818     0.020  2.20
OBS:  57825.63374      z_PS1    NULL    10404.346        245.891    17.457     0.026  1.46
END:
