SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17co
RA: 272.3364601
DECL: 18.2983501
MWEBV: 0.0907 +- 0.0045
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.018259
SIGMA_Z: 0.0001500
REDSHIFT_CMB: 0.017914289919448212
REDSHIFT_FINAL: 0.018308132354683856
SEARCH_PEAKMJD: 57804.65458
HOST_LOGMASS: 11.011
VPEC: 154.997
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57804.65416      g_PS1    NULL    43731.843        672.359    15.898     0.017  2.27
OBS:  57816.63521      g_PS1    NULL    35267.579        576.703    16.132     0.018  3.20
OBS:  57825.63514      g_PS1    NULL    17928.018        333.329    16.866     0.020  1.66
OBS:  57832.62375      g_PS1    NULL     8981.747        230.462    17.617     0.028  2.45
OBS:  57846.61656      g_PS1    NULL     4392.267        194.461    18.393     0.048  2.73
OBS:  57855.58407      g_PS1    NULL     3630.795        228.145    18.600     0.068  2.20
OBS:  57804.65458      r_PS1    NULL    47561.715        728.447    15.807     0.017  2.11
OBS:  57816.63562      r_PS1    NULL    41844.417        665.202    15.946     0.017  2.73
OBS:  57825.63553      r_PS1    NULL    29033.281        479.543    16.343     0.018  1.49
OBS:  57832.62415      r_PS1    NULL    25818.045        431.302    16.470     0.018  1.91
OBS:  57846.61695      r_PS1    NULL    11540.464        269.013    17.344     0.025  2.38
OBS:  57855.58446      r_PS1    NULL     9250.661        250.707    17.585     0.029  1.76
OBS:  57804.65493      i_PS1    NULL    34387.987        562.706    16.159     0.018  1.88
OBS:  57816.63597      i_PS1    NULL    23529.259        455.025    16.571     0.021  2.66
OBS:  57825.63589      i_PS1    NULL    21420.803        388.959    16.673     0.020  1.79
OBS:  57832.62451      i_PS1    NULL    23143.415        406.382    16.589     0.019  1.82
OBS:  57846.61733      i_PS1    NULL    10402.408        277.333    17.457     0.029  2.46
OBS:  57855.58483      i_PS1    NULL     8492.094        267.986    17.677     0.034  1.97
OBS:  57804.65528      z_PS1    NULL    31859.992        555.499    16.242     0.019  1.85
OBS:  57816.63632      z_PS1    NULL    23988.709        474.365    16.550     0.021  2.40
OBS:  57825.63626      z_PS1    NULL    24921.285        455.488    16.509     0.020  1.57
OBS:  57832.62488      z_PS1    NULL    22155.766        425.055    16.636     0.021  1.85
OBS:  57846.61770      z_PS1    NULL    11790.753        316.804    17.321     0.029  2.20
OBS:  57855.58519      z_PS1    NULL     7439.469        278.587    17.821     0.040  1.66
OBS:  57831.64378      z_PS1    NULL    24953.649        411.152    16.507     0.018  1.93
OBS:  57832.62752      z_PS1    NULL    24543.356        393.845    16.525     0.017  1.75
END:
