SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016bln
RA: 203.6895125
DECL: 13.8539477
MWEBV: 0.0250 +- 0.0013
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.023303
SIGMA_Z: 0.0000270
REDSHIFT_CMB: 0.02425241505491904
REDSHIFT_FINAL: 0.024273892840893284
SEARCH_PEAKMJD: 57502.37288
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: -309.632
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 37
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57487.37710      g_PS1    NULL    14096.950        250.950    17.127     0.019  1.96
OBS:  57492.38632      g_PS1    NULL    34771.943        532.007    16.147     0.017  2.20
OBS:  57502.37250      g_PS1    NULL    41545.716        657.869    15.954     0.017  2.52
OBS:  57509.36162      g_PS1    NULL    32163.650        494.793    16.232     0.017  2.00
OBS:  57514.34642      g_PS1    NULL    24618.235        391.060    16.522     0.017  2.20
OBS:  57514.35025      g_PS1    NULL    22962.003        357.831    16.597     0.017  1.61
OBS:  57523.31170      g_PS1    NULL    12882.944        243.275    17.225     0.020  1.89
OBS:  57531.27046      g_PS1    NULL     6781.453        217.423    17.922     0.035  2.88
OBS:  57487.37774      r_PS1    NULL    13154.411        228.918    17.202     0.019  1.85
OBS:  57492.38671      r_PS1    NULL    30647.678        460.122    16.284     0.016  1.85
OBS:  57502.37288      r_PS1    NULL    41885.668        629.362    15.945     0.016  2.08
OBS:  57509.36200      r_PS1    NULL    31095.435        469.979    16.268     0.016  1.82
OBS:  57514.34680      r_PS1    NULL    23493.710        408.942    16.573     0.019  2.10
OBS:  57514.35062      r_PS1    NULL    21995.138        337.342    16.644     0.017  1.56
OBS:  57523.31208      r_PS1    NULL    21079.676        338.880    16.690     0.017  1.93
OBS:  57531.27085      r_PS1    NULL    16420.600        297.653    16.962     0.020  2.81
OBS:  57490.36936      r_PS1    NULL    24972.084        360.362    16.506     0.016  2.41
OBS:  57490.38172      r_PS1    NULL    25107.802        360.454    16.500     0.016  2.26
OBS:  57490.40663      r_PS1    NULL    24128.519        347.446    16.544     0.016  2.84
OBS:  57490.39410      r_PS1    NULL    25033.744        360.341    16.504     0.016  2.13
OBS:  57487.37810      i_PS1    NULL    10720.143        202.159    17.424     0.020  1.67
OBS:  57492.38708      i_PS1    NULL    23512.269        371.417    16.572     0.017  2.22
OBS:  57502.37325      i_PS1    NULL    22644.669        372.709    16.613     0.018  2.06
OBS:  57509.36237      i_PS1    NULL    15834.147        267.592    17.001     0.018  1.88
OBS:  57514.34716      i_PS1    NULL    11542.979        212.350    17.344     0.020  2.90
OBS:  57514.35099      i_PS1    NULL    11065.953        197.111    17.390     0.019  1.55
OBS:  57523.31244      i_PS1    NULL    14677.535        256.883    17.083     0.019  1.63
OBS:  57531.27121      i_PS1    NULL    14911.203        280.068    17.066     0.020  2.45
OBS:  57530.40697      i_PS1    NULL    14962.193        260.858    17.063     0.019  4.17
OBS:  57487.37847      z_PS1    NULL     9653.042        223.975    17.538     0.025  1.49
OBS:  57492.38745      z_PS1    NULL    19959.644        351.353    16.750     0.019  1.94
OBS:  57502.37361      z_PS1    NULL    23014.123        408.759    16.595     0.019  1.79
OBS:  57509.36274      z_PS1    NULL    17071.592        319.464    16.919     0.020  1.85
OBS:  57514.34753      z_PS1    NULL    14783.439        347.350    17.076     0.025  1.88
OBS:  57514.35136      z_PS1    NULL    14392.776        270.182    17.105     0.020  1.61
OBS:  57523.31281      z_PS1    NULL    17291.313        327.986    16.905     0.021  1.72
OBS:  57531.27156      z_PS1    NULL    15670.315        335.671    17.012     0.023  2.34
END:
