SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016eoa
RA: 5.3460800
DECL: 22.4354402
MWEBV: 0.0609 +- 0.0030
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0210874
SIGMA_Z: 0.0000667
REDSHIFT_CMB: 0.01992761610881555
REDSHIFT_FINAL: 0.01915518501803004
SEARCH_PEAKMJD: 57614.51355
HOST_LOGMASS: 11.324375567035517
HOST_LOGMASS_ERR: 0.059275936762845094
HOST_LOGSFR: -1.0394065427663584
HOST_LOGSFR_ERR: 0.5279447914425391
VPEC: 346.700
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57608.60552      g_PS1    NULL    22010.906        354.663    16.643     0.017  1.71
OBS:  57614.51316      g_PS1    NULL    37198.226        564.916    16.074     0.016  1.44
OBS:  57626.56033      g_PS1    NULL    20382.163        345.327    16.727     0.018  2.90
OBS:  57652.51560      g_PS1    NULL     3204.858        167.169    18.735     0.056  2.51
OBS:  57661.47335      g_PS1    NULL     2604.887        129.715    18.961     0.054  2.39
OBS:  57608.60591      r_PS1    NULL    24176.267        374.116    16.542     0.017  1.63
OBS:  57614.51355      r_PS1    NULL    37867.706        560.885    16.054     0.016  1.44
OBS:  57626.56073      r_PS1    NULL    24433.949        385.393    16.530     0.017  2.41
OBS:  57652.51600      r_PS1    NULL     7051.696        178.382    17.879     0.027  2.29
OBS:  57661.47374      r_PS1    NULL     4934.696        165.221    18.267     0.036  2.54
OBS:  57608.60628      i_PS1    NULL    19592.141        317.233    16.770     0.018  1.56
OBS:  57614.51391      i_PS1    NULL    25194.706        392.084    16.497     0.017  1.22
OBS:  57626.56109      i_PS1    NULL    14427.299        270.620    17.102     0.020  2.87
OBS:  57652.51637      i_PS1    NULL     6226.788        163.956    18.014     0.028  1.94
OBS:  57661.47410      i_PS1    NULL     4587.330        157.560    18.346     0.037  1.89
OBS:  57670.30122      i_PS1    NULL     3098.714         84.198    18.772     0.029  1.97
OBS:  57670.30251      i_PS1    NULL     3071.179         79.654    18.782     0.028  1.71
OBS:  57670.31348      i_PS1    NULL     3284.061         82.079    18.709     0.027  1.78
OBS:  57670.31478      i_PS1    NULL     3073.375         76.175    18.781     0.027  1.52
OBS:  57670.32578      i_PS1    NULL     3248.316         79.140    18.721     0.026  1.84
OBS:  57670.32707      i_PS1    NULL     3125.901         76.938    18.763     0.027  1.56
OBS:  57670.33811      i_PS1    NULL     3314.612         74.453    18.699     0.024  1.43
OBS:  57670.33940      i_PS1    NULL     3104.451         69.518    18.770     0.024  1.32
OBS:  57608.60665      z_PS1    NULL    17148.046        314.384    16.914     0.020  1.55
OBS:  57614.51428      z_PS1    NULL    23008.335        392.146    16.595     0.018  1.30
OBS:  57626.56145      z_PS1    NULL    18270.515        342.604    16.846     0.020  2.25
OBS:  57652.51673      z_PS1    NULL     5642.879        223.961    18.121     0.043  2.29
OBS:  57661.47448      z_PS1    NULL     3392.164        206.808    18.674     0.066  1.87
END:
