SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016ews
RA: 225.6523404
DECL: 23.3528181
MWEBV: 0.0381 +- 0.0019
FILTERS: griz
SPEC_CLASS: SNIa-91T-like?
REDSHIFT_HELIO: 0.0455531
SIGMA_Z: 0.0000082
REDSHIFT_CMB: 0.04611672147473378
REDSHIFT_FINAL: 0.04651511279846806
SEARCH_PEAKMJD: 57618.30146
HOST_LOGMASS: 10.66
VPEC: 111.945
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 21
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57613.32276      g_PS1    NULL    11843.540        246.246    17.316     0.023  2.25
OBS:  57618.30146      g_PS1    NULL    15377.757        371.761    17.033     0.026  2.22
OBS:  57631.27987      g_PS1    NULL     9878.527        220.607    17.513     0.024  3.35
OBS:  57639.23851      g_PS1    NULL     5344.009        143.049    18.180     0.029  1.92
OBS:  57613.32318      r_PS1    NULL     9785.422        190.181    17.524     0.021  1.74
OBS:  57618.30188      r_PS1    NULL    12514.402        273.461    17.256     0.024  2.05
OBS:  57626.28499      r_PS1    NULL    11046.949        229.643    17.392     0.023  4.33
OBS:  57631.28029      r_PS1    NULL     9033.066        180.490    17.610     0.022  2.35
OBS:  57639.23892      r_PS1    NULL     6347.387        137.865    17.994     0.024  1.74
OBS:  57653.23458      r_PS1    NULL     4611.469        166.003    18.340     0.039  3.77
OBS:  57613.32352      i_PS1    NULL     7692.160        164.181    17.785     0.023  1.48
OBS:  57618.30223      i_PS1    NULL     7546.652        205.478    17.806     0.029  2.05
OBS:  57626.28534      i_PS1    NULL     5235.231        177.774    18.203     0.037  3.39
OBS:  57631.28063      i_PS1    NULL     4561.397        149.115    18.352     0.035  2.38
OBS:  57639.23927      i_PS1    NULL     3286.087        102.471    18.708     0.034  1.46
OBS:  57653.23493      i_PS1    NULL     3407.205        206.493    18.669     0.065  4.51
OBS:  57618.30258      z_PS1    NULL     7132.771        220.622    17.867     0.033  1.58
OBS:  57626.28568      z_PS1    NULL     4674.584        259.447    18.326     0.060  3.31
OBS:  57631.28098      z_PS1    NULL     3768.144        179.268    18.560     0.051  2.06
OBS:  57639.23963      z_PS1    NULL     3534.763        151.751    18.629     0.046  1.59
OBS:  57653.23527      z_PS1    NULL     3344.313        287.429    18.689     0.093  3.55
END:
