SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016fbk
RA: 26.0272395
DECL: 34.3826922
MWEBV: 0.0419 +- 0.0021
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.035865
SIGMA_Z: 0.0000120
REDSHIFT_CMB: 0.03495512319407834
REDSHIFT_FINAL: 0.035807038214416984
SEARCH_PEAKMJD: 57621.49924
HOST_LOGMASS: 11.277
VPEC: 321.056
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 18
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57617.52356      g_PS1    NULL     7005.537        214.482    17.886     0.033  1.66
OBS:  57621.49883      g_PS1    NULL    10414.859        233.794    17.456     0.024  1.99
OBS:  57627.55108      g_PS1    NULL    10853.670        206.737    17.411     0.021  1.85
OBS:  57656.56502      g_PS1    NULL     1275.019         85.936    19.736     0.073  2.00
OBS:  57617.52397      r_PS1    NULL     7727.714        163.537    17.780     0.023  1.44
OBS:  57621.49924      r_PS1    NULL    11280.231        219.039    17.369     0.021  1.97
OBS:  57627.55147      r_PS1    NULL    10978.525        197.977    17.399     0.020  1.72
OBS:  57656.56542      r_PS1    NULL     4233.708        105.608    18.433     0.027  1.77
OBS:  57668.43875      r_PS1    NULL     2243.627         76.415    19.123     0.037  1.44
OBS:  57617.52434      i_PS1    NULL     7191.447        162.639    17.858     0.024  1.38
OBS:  57621.49960      i_PS1    NULL     9924.493        197.987    17.508     0.022  1.73
OBS:  57627.55183      i_PS1    NULL     7239.591        151.454    17.851     0.023  1.65
OBS:  57656.56578      i_PS1    NULL     4868.004        125.234    18.282     0.028  1.70
OBS:  57668.43911      i_PS1    NULL     1885.588         80.349    19.311     0.046  1.29
OBS:  57621.49997      z_PS1    NULL     9429.630        225.288    17.564     0.026  1.58
OBS:  57627.55219      z_PS1    NULL     7988.223        192.734    17.744     0.026  1.58
OBS:  57656.56614      z_PS1    NULL     5331.519        161.992    18.183     0.033  1.58
OBS:  57668.43948      z_PS1    NULL     2098.769        119.896    19.195     0.062  1.26
END:
