SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016ghq
RA: 274.6205881
DECL: 36.3190541
MWEBV: 0.0298 +- 0.0015
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.021401
REDSHIFT_CMB: 0.021018947196857596
REDSHIFT_FINAL: 0.021238993277142418
SEARCH_PEAKMJD: 57657.22254
HOST_LOGMASS: 10.617
VPEC: -49.237
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 25
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57657.22215      g_PS1    NULL    17391.005        316.087    16.899     0.020  2.57
OBS:  57662.27392      g_PS1    NULL    12638.798        241.507    17.246     0.021  3.04
OBS:  57670.24593      g_PS1    NULL     5755.015        170.924    18.100     0.032  1.83
OBS:  57678.24200      g_PS1    NULL     2566.276        201.383    18.977     0.085  2.40
OBS:  57688.21144      g_PS1    NULL     1818.739        143.964    19.351     0.086  3.03
OBS:  57693.21118      g_PS1    NULL     1592.222        143.078    19.495     0.097  3.11
OBS:  57705.21296      g_PS1    NULL      946.203        230.027    20.060     0.263  2.24
OBS:  57657.22254      r_PS1    NULL    26181.488        412.175    16.455     0.017  2.20
OBS:  57662.27434      r_PS1    NULL    14209.052        256.367    17.119     0.020  2.45
OBS:  57670.24634      r_PS1    NULL    13205.452        267.500    17.198     0.022  2.01
OBS:  57678.24240      r_PS1    NULL     9243.267        210.929    17.585     0.025  1.93
OBS:  57688.21186      r_PS1    NULL     5274.919        143.576    18.194     0.029  1.86
OBS:  57705.21337      r_PS1    NULL     2622.371        163.053    18.953     0.067  1.79
OBS:  57657.22291      i_PS1    NULL    17117.210        320.317    16.916     0.020  2.54
OBS:  57662.27469      i_PS1    NULL    10220.465        236.823    17.476     0.025  2.85
OBS:  57670.24670      i_PS1    NULL    11370.757        227.578    17.361     0.022  1.82
OBS:  57678.24276      i_PS1    NULL    10791.469        240.836    17.417     0.024  1.98
OBS:  57688.21221      i_PS1    NULL     5890.539        165.187    18.075     0.030  1.69
OBS:  57705.21372      i_PS1    NULL     2993.947        167.992    18.809     0.061  1.80
OBS:  57657.22327      z_PS1    NULL    17962.562        351.493    16.864     0.021  2.08
OBS:  57662.27504      z_PS1    NULL    11434.741        270.061    17.354     0.026  1.90
OBS:  57670.24706      z_PS1    NULL    14664.631        307.223    17.084     0.023  1.68
OBS:  57678.24311      z_PS1    NULL    11814.959        301.673    17.319     0.028  1.92
OBS:  57688.21256      z_PS1    NULL     5195.703        212.956    18.211     0.044  1.76
OBS:  57705.21407      z_PS1    NULL     1930.558        227.812    19.286     0.127  2.01
END:
