SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016gsu
RA: 17.1024480
DECL: 21.1516233
MWEBV: 0.0413 +- 0.0021
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0764187
SIGMA_Z: 0.0000550
REDSHIFT_CMB: 0.07528889604898081
REDSHIFT_FINAL: 0.07575207245540513
SEARCH_PEAKMJD: 57669.35730
HOST_LOGMASS: 10.369
VPEC: 134.303
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57669.35730      g_PS1    NULL     3732.409        117.684    18.570     0.034  1.75
OBS:  57674.34289      g_PS1    NULL     3186.294        169.484    18.742     0.057  2.03
OBS:  57680.46943      g_PS1    NULL     2071.241        115.862    19.209     0.060  1.38
OBS:  57687.45806      g_PS1    NULL      805.663        109.098    20.235     0.146  3.15
OBS:  57695.44315      g_PS1    NULL      457.552        115.755    20.849     0.273  2.39
OBS:  57707.39747      g_PS1    NULL      343.271        210.293    21.161     0.662  2.27
OBS:  57669.35769      r_PS1    NULL     2989.161        100.714    18.811     0.036  1.67
OBS:  57674.34329      r_PS1    NULL     3056.546        127.274    18.787     0.045  1.72
OBS:  57680.46982      r_PS1    NULL     2673.872        102.492    18.932     0.041  1.32
OBS:  57687.45845      r_PS1    NULL     1893.015        114.857    19.307     0.066  2.62
OBS:  57695.44354      r_PS1    NULL     1347.681        112.588    19.676     0.090  2.38
OBS:  57707.39787      r_PS1    NULL      454.999        132.735    20.855     0.315  1.83
OBS:  57669.35805      i_PS1    NULL     2592.027        109.496    18.966     0.046  1.57
OBS:  57674.34364      i_PS1    NULL     2417.658        128.257    19.042     0.057  1.71
OBS:  57680.47018      i_PS1    NULL     1507.022         91.109    19.555     0.065  1.15
OBS:  57687.45881      i_PS1    NULL     1519.894        129.562    19.545     0.092  2.38
OBS:  57695.44390      i_PS1    NULL     1561.774        126.450    19.516     0.087  2.09
OBS:  57707.39823      i_PS1    NULL      913.415        127.282    20.098     0.151  1.89
OBS:  57707.40225      i_PS1    NULL      970.928         82.981    20.032     0.092  1.94
OBS:  57707.41597      i_PS1    NULL      742.502        100.695    20.323     0.146  2.29
OBS:  57707.42967      i_PS1    NULL      780.111        133.250    20.270     0.184  2.49
OBS:  57707.44343      i_PS1    NULL      772.278         92.746    20.281     0.130  2.28
OBS:  57674.34401      z_PS1    NULL     1954.035        158.831    19.273     0.088  1.61
OBS:  57680.47054      z_PS1    NULL     1217.113        117.301    19.787     0.104  1.09
OBS:  57687.45917      z_PS1    NULL      863.647        189.226    20.159     0.237  2.32
OBS:  57695.44426      z_PS1    NULL     1094.745        189.141    19.902     0.187  2.08
OBS:  57707.39860      z_PS1    NULL      858.362        170.027    20.166     0.214  1.91
END:
