SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016hns
RA: 324.9210463
DECL: 24.4064909
MWEBV: 0.0627 +- 0.0031
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.03817
REDSHIFT_CMB: 0.037039857715791324
REDSHIFT_FINAL: 0.037327390003920644
SEARCH_PEAKMJD: 57698.26186
HOST_LOGMASS: 10.609
VPEC: 25.414
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57693.25437      g_PS1    NULL    13528.053        255.286    17.172     0.020  2.78
OBS:  57698.26186      g_PS1    NULL    15128.657        272.867    17.050     0.020  2.51
OBS:  57704.27232      g_PS1    NULL    11690.383        261.168    17.330     0.024  1.97
OBS:  57721.24607      g_PS1    NULL     2730.386         94.530    18.909     0.037  1.64
OBS:  57737.20876      g_PS1    NULL     1281.260         92.850    19.731     0.078  1.65
OBS:  57693.25475      r_PS1    NULL    11442.032        209.921    17.354     0.020  2.32
OBS:  57698.26225      r_PS1    NULL    14553.563        251.292    17.093     0.019  2.33
OBS:  57704.27273      r_PS1    NULL    12008.168        235.469    17.301     0.021  2.04
OBS:  57721.24647      r_PS1    NULL     6466.348        135.741    17.973     0.023  1.63
OBS:  57737.20917      r_PS1    NULL     2463.085         93.271    19.021     0.041  1.50
OBS:  57693.25513      i_PS1    NULL     8479.619        182.450    17.679     0.023  2.29
OBS:  57698.26261      i_PS1    NULL     8472.888        176.097    17.680     0.023  2.08
OBS:  57704.27309      i_PS1    NULL     6259.878        156.476    18.009     0.027  1.51
OBS:  57721.24684      i_PS1    NULL     5214.187        123.890    18.207     0.026  1.32
OBS:  57737.20953      i_PS1    NULL     1693.978         87.807    19.428     0.056  1.37
OBS:  57675.33646      i_PS1    NULL      285.656        103.466    21.360     0.391  3.04
OBS:  57675.34921      i_PS1    NULL     -312.334        142.565       nan     0.493  2.92
OBS:  57675.36196      i_PS1    NULL      222.755        182.142    21.630     0.883  4.25
OBS:  57675.37509      i_PS1    NULL      145.018        105.324    22.096     0.784  3.03
OBS:  57693.25550      z_PS1    NULL     8075.448        227.565    17.732     0.030  2.31
OBS:  57698.26298      z_PS1    NULL     8167.063        207.658    17.720     0.028  1.82
OBS:  57704.27345      z_PS1    NULL     6217.004        202.158    18.016     0.035  1.61
OBS:  57721.24720      z_PS1    NULL     5171.599        174.992    18.216     0.037  1.54
OBS:  57737.20988      z_PS1    NULL     1775.787        110.041    19.377     0.067  1.11
END:
