SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2016htm
RA: 38.0108930
DECL: -26.6659469
MWEBV: 0.0146 +- 0.0007
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.043313
REDSHIFT_CMB: 0.04265266967867909
REDSHIFT_FINAL: 0.04290768382171909
SEARCH_PEAKMJD: 57702.43449
HOST_LOGMASS: 10.43
VPEC: 45.894
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 44
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57695.44969      g_PS1    NULL    10186.635        225.291    17.480     0.024  2.86
OBS:  57697.40105      g_PS1    NULL    12440.220        236.090    17.263     0.021  2.28
OBS:  57702.43449      g_PS1    NULL    15218.354        289.444    17.044     0.021  1.72
OBS:  57706.40019      g_PS1    NULL    13771.306        487.881    17.153     0.038  3.56
OBS:  57707.38865      g_PS1    NULL    14262.799        352.875    17.114     0.027  2.50
OBS:  57721.35273      g_PS1    NULL     4620.297        205.562    18.338     0.048  4.12
OBS:  57735.27637      g_PS1    NULL     1188.622        396.310    19.812     0.360  3.54
OBS:  57695.45011      r_PS1    NULL     9420.562        196.109    17.565     0.023  2.39
OBS:  57697.40146      r_PS1    NULL    11203.021        203.889    17.377     0.020  1.86
OBS:  57702.43491      r_PS1    NULL    13217.144        233.417    17.197     0.019  1.44
OBS:  57706.40061      r_PS1    NULL    12644.245        348.453    17.245     0.030  3.32
OBS:  57707.38906      r_PS1    NULL    12814.370        272.387    17.231     0.023  2.22
OBS:  57721.35314      r_PS1    NULL     6452.399        162.622    17.976     0.027  2.90
OBS:  57735.27678      r_PS1    NULL     3834.937        275.093    18.541     0.077  3.27
OBS:  57695.45046      i_PS1    NULL     7119.062        176.208    17.869     0.027  2.21
OBS:  57697.40182      i_PS1    NULL     8382.745        179.861    17.692     0.023  2.07
OBS:  57702.43526      i_PS1    NULL     7454.762        160.021    17.819     0.023  1.46
OBS:  57706.40096      i_PS1    NULL     6328.312        242.795    17.997     0.041  2.75
OBS:  57707.38940      i_PS1    NULL     6910.224        191.030    17.901     0.030  1.92
OBS:  57721.35350      i_PS1    NULL     3591.507        136.760    18.612     0.041  2.34
OBS:  57735.27713      i_PS1    NULL     4076.288        235.728    18.474     0.062  2.99
OBS:  57673.44675      i_PS1    NULL      -18.621         63.050       nan     3.657  1.89
OBS:  57673.45707      i_PS1    NULL      121.448         57.277    22.289     0.509  1.83
OBS:  57673.46738      i_PS1    NULL      -23.574         55.926       nan     2.562  1.89
OBS:  57673.47772      i_PS1    NULL      -20.241         61.317       nan     3.272  2.11
OBS:  57681.44216      i_PS1    NULL       41.809         58.434    23.447     1.509  2.04
OBS:  57681.45309      i_PS1    NULL       46.984         57.732    23.320     1.327  2.09
OBS:  57681.46402      i_PS1    NULL       80.430         52.908    22.736     0.710  1.85
OBS:  57681.47496      i_PS1    NULL      -43.193         58.375       nan     1.460  2.06
OBS:  57709.39373      i_PS1    NULL     6135.353        151.447    18.030     0.027  3.50
OBS:  57709.40450      i_PS1    NULL     6214.210        143.461    18.017     0.025  3.52
OBS:  57709.41527      i_PS1    NULL     6064.592        139.175    18.043     0.025  3.24
OBS:  57709.42604      i_PS1    NULL     6167.196        141.106    18.025     0.025  3.19
OBS:  57761.22772      i_PS1    NULL     1241.145         60.689    19.765     0.053  1.82
OBS:  57761.23803      i_PS1    NULL     1248.046         57.901    19.759     0.050  1.72
OBS:  57761.24831      i_PS1    NULL     1284.069         70.426    19.729     0.059  2.25
OBS:  57761.25861      i_PS1    NULL     1092.381         64.688    19.904     0.064  2.01
OBS:  57695.45081      z_PS1    NULL     6336.925        235.934    17.995     0.040  2.40
OBS:  57697.40216      z_PS1    NULL     6962.599        192.179    17.893     0.030  1.56
OBS:  57702.43562      z_PS1    NULL     7220.092        187.902    17.854     0.028  1.35
OBS:  57706.40131      z_PS1    NULL     6165.862        292.317    18.025     0.051  2.65
OBS:  57707.38976      z_PS1    NULL     5805.608        215.547    18.090     0.040  1.86
OBS:  57721.35384      z_PS1    NULL     4126.895        202.142    18.461     0.053  2.37
OBS:  57735.27747      z_PS1    NULL     3092.581        293.945    18.774     0.103  2.97
END:
