SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2017cfc
RA: 208.1624898
DECL: -2.0022174
MWEBV: 0.0401 +- 0.0020
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.024027
REDSHIFT_CMB: 0.02498785257906544
REDSHIFT_FINAL: 0.024974777717723638
SEARCH_PEAKMJD: 57839.50270
HOST_LOGMASS: 10.933
VPEC: -235.834
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 34
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57816.56939      g_PS1    NULL      353.243        110.830    21.130     0.339  1.98
OBS:  57831.59861      g_PS1    NULL    24313.624        402.383    16.535     0.018  2.21
OBS:  57833.48861      g_PS1    NULL    29216.164        442.707    16.336     0.016  1.65
OBS:  57839.50270      g_PS1    NULL    32032.453        483.573    16.236     0.016  2.17
OBS:  57840.54343      g_PS1    NULL    30770.158        483.739    16.280     0.017  2.54
OBS:  57847.50122      g_PS1    NULL    21846.821        363.669    16.652     0.018  2.48
OBS:  57859.44940      g_PS1    NULL     6501.861        175.391    17.967     0.029  1.78
OBS:  57870.40269      g_PS1    NULL     3330.912        122.582    18.694     0.040  1.73
OBS:  57816.56978      r_PS1    NULL     -155.150         81.497       nan     0.567  1.77
OBS:  57831.59901      r_PS1    NULL    24136.193        390.415    16.543     0.018  2.36
OBS:  57833.48900      r_PS1    NULL    27891.883        418.103    16.386     0.016  1.38
OBS:  57839.50310      r_PS1    NULL    30984.410        463.297    16.272     0.016  1.75
OBS:  57840.54385      r_PS1    NULL    31432.268        598.224    16.257     0.021  3.04
OBS:  57847.50162      r_PS1    NULL    24016.353        375.568    16.549     0.017  2.26
OBS:  57859.44979      r_PS1    NULL    15093.320        263.033    17.053     0.019  1.73
OBS:  57870.40309      r_PS1    NULL     8772.669        173.956    17.642     0.021  1.51
OBS:  57887.39216      r_PS1    NULL     4247.668        196.467    18.430     0.050  3.58
OBS:  57816.57014      i_PS1    NULL      -91.982         86.289       nan     1.013  1.68
OBS:  57831.59936      i_PS1    NULL    19884.433        334.098    16.754     0.018  2.11
OBS:  57833.48935      i_PS1    NULL    22046.328        339.469    16.642     0.017  1.36
OBS:  57839.50345      i_PS1    NULL    19400.845        316.828    16.780     0.018  1.89
OBS:  57840.54421      i_PS1    NULL    18851.616        331.547    16.812     0.019  2.51
OBS:  57847.50206      i_PS1    NULL    12467.700        230.474    17.261     0.020  2.30
OBS:  57859.45016      i_PS1    NULL    12710.594        233.197    17.240     0.020  1.57
OBS:  57870.40345      i_PS1    NULL     8214.551        176.286    17.714     0.023  1.47
OBS:  57887.39251      i_PS1    NULL     3807.746        198.071    18.548     0.056  3.24
OBS:  57816.57049      z_PS1    NULL      -71.958        135.913       nan     2.040  1.74
OBS:  57831.59971      z_PS1    NULL    17108.653        333.162    16.917     0.021  1.86
OBS:  57839.50382      z_PS1    NULL    18498.213        332.348    16.832     0.019  1.77
OBS:  57840.54458      z_PS1    NULL    18371.478        667.495    16.840     0.039  2.93
OBS:  57847.50242      z_PS1    NULL    13753.586        280.063    17.154     0.022  2.04
OBS:  57859.45052      z_PS1    NULL    13309.190        269.316    17.190     0.022  1.41
OBS:  57870.40382      z_PS1    NULL     8509.954        217.144    17.675     0.028  1.38
OBS:  57887.39288      z_PS1    NULL     3227.669        267.480    18.728     0.090  2.99
END:
