SURVEY: FOUNDATION
SNTYPE: 1
SNID: AT2017cfd
RA: 130.2044415
DECL: 73.4875408
MWEBV: 0.0190 +- 0.0010
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.012085
REDSHIFT_CMB: 0.012218358340927216
REDSHIFT_FINAL: 0.012854692962289265
SEARCH_PEAKMJD: 57844.29829
HOST_LOGMASS: 10.114
VPEC: 147.187
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 31
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57831.24043      g_PS1    NULL    21195.799        365.007    16.684     0.019  2.07
OBS:  57837.31033      g_PS1    NULL    91030.379       1310.398    15.102     0.016  3.48
OBS:  57844.29788      g_PS1    NULL   118743.948       1697.542    14.813     0.016  2.20
OBS:  57863.24732      g_PS1    NULL    40910.708        629.948    15.970     0.017  1.90
OBS:  57878.25226      g_PS1    NULL    12440.534        326.469    17.263     0.028  3.16
OBS:  57831.24085      r_PS1    NULL    24721.981        399.323    16.517     0.018  1.80
OBS:  57837.31076      r_PS1    NULL    96279.929       1378.957    15.041     0.016  2.80
OBS:  57844.29829      r_PS1    NULL   122123.970       1731.857    14.783     0.015  2.07
OBS:  57863.24774      r_PS1    NULL    54079.006        790.961    15.667     0.016  1.67
OBS:  57878.25268      r_PS1    NULL    31287.204        537.586    16.262     0.019  3.55
OBS:  57894.25955      r_PS1    NULL    16466.702        277.863    16.958     0.018  1.49
OBS:  57831.24119      i_PS1    NULL    21419.890        358.595    16.673     0.018  1.67
OBS:  57837.31111      i_PS1    NULL    79453.096       1152.373    15.250     0.016  2.25
OBS:  57844.29864      i_PS1    NULL    69824.228       1017.930    15.390     0.016  2.00
OBS:  57863.24809      i_PS1    NULL    39394.867        600.101    16.011     0.017  1.41
OBS:  57878.25303      i_PS1    NULL    31875.107        557.234    16.241     0.019  3.45
OBS:  57894.25989      i_PS1    NULL    14672.851        269.003    17.084     0.020  1.53
OBS:  57797.50446      i_PS1    NULL      -31.892        108.838       nan     3.686  2.41
OBS:  57797.51606      i_PS1    NULL     -233.804        139.739       nan     0.645  3.26
OBS:  57797.52770      i_PS1    NULL       42.950         97.877    23.418     2.461  2.21
OBS:  57797.53930      i_PS1    NULL      -65.479         91.448       nan     1.508  2.03
OBS:  57851.35078      i_PS1    NULL    53394.876        755.031    15.681     0.015  1.70
OBS:  57851.36246      i_PS1    NULL    52433.359        743.145    15.701     0.015  2.01
OBS:  57851.37413      i_PS1    NULL    52422.674        743.613    15.701     0.015  2.00
OBS:  57851.38581      i_PS1    NULL    52795.801        749.045    15.694     0.015  1.84
OBS:  57831.24154      z_PS1    NULL    20610.692        385.339    16.715     0.020  1.60
OBS:  57837.31145      z_PS1    NULL    66974.786       1033.255    15.435     0.017  2.27
OBS:  57844.29899      z_PS1    NULL    72332.813       1083.002    15.352     0.016  1.91
OBS:  57863.24844      z_PS1    NULL    47292.508        735.703    15.813     0.017  1.27
OBS:  57878.25337      z_PS1    NULL    33176.285        612.029    16.198     0.020  2.78
OBS:  57894.26025      z_PS1    NULL    11929.314        299.765    17.308     0.027  1.67
END:
