SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS16dqf
RA: 317.2828674
DECL: -18.1039002
MWEBV: 0.0602 +- 0.0030
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.02117
REDSHIFT_CMB: 0.020194460024468563
REDSHIFT_FINAL: 0.020365488981047015
SEARCH_PEAKMJD: 57705.20739
HOST_LOGMASS: 6.768
VPEC: -40.549
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 20
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57696.20858      g_PS1    NULL    30515.087       1840.750    16.289     0.061  2.87
OBS:  57705.20698      g_PS1    NULL    35488.001       2968.362    16.125     0.083  2.64
OBS:  57712.20316      g_PS1    NULL    23265.207       3624.314    16.583     0.156  3.69
OBS:  57736.20673      g_PS1    NULL     7967.656       1597.333    17.747     0.201  2.63
OBS:  57750.21071      g_PS1    NULL     2782.618        489.413    18.889     0.176  3.53
OBS:  57696.20898      r_PS1    NULL    29091.546        448.856    16.341     0.017  2.52
OBS:  57705.20739      r_PS1    NULL    41680.887        679.297    15.950     0.018  2.56
OBS:  57712.20357      r_PS1    NULL    34062.480        531.932    16.169     0.017  3.07
OBS:  57736.20715      r_PS1    NULL    15273.155        332.392    17.040     0.024  2.42
OBS:  57750.21037      r_PS1    NULL     6862.804        237.522    17.909     0.037  3.28
OBS:  57696.20933      i_PS1    NULL    22702.927        368.242    16.610     0.018  2.02
OBS:  57705.20775      i_PS1    NULL    22799.724        419.429    16.605     0.020  1.89
OBS:  57712.20392      i_PS1    NULL    17969.132        353.780    16.864     0.021  3.02
OBS:  57736.20749      i_PS1    NULL    13560.193        297.230    17.169     0.024  2.03
OBS:  57750.20987      i_PS1    NULL     6472.241        314.504    17.972     0.053  3.85
OBS:  57696.20969      z_PS1    NULL    23466.050        416.256    16.574     0.019  2.01
OBS:  57705.20811      z_PS1    NULL    24345.277        495.588    16.534     0.022  1.97
OBS:  57712.20427      z_PS1    NULL    18478.740        398.478    16.833     0.023  2.89
OBS:  57736.20784      z_PS1    NULL    14718.976        356.881    17.080     0.026  1.96
OBS:  57750.20954      z_PS1    NULL     5639.263        350.006    18.122     0.067  2.90
END:
