SURVEY: FOUNDATION
SNTYPE: 1
SNID: ATLAS17ajs
RA: 171.9772191
DECL: 27.3458398
MWEBV: 0.0154 +- 0.0008
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0326547
REDSHIFT_CMB: 0.03370417161091632
REDSHIFT_FINAL: 0.034453401759693365
SEARCH_PEAKMJD: 57782.44184
HOST_LOGMASS: 10.125
VPEC: 81.364
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 36
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57782.44143      g_PS1    NULL    12742.396        232.800    17.237     0.020  2.23
OBS:  57787.64963      g_PS1    NULL    11584.244        228.276    17.340     0.021  2.68
OBS:  57800.46901      g_PS1    NULL     5578.746        156.308    18.134     0.030  2.08
OBS:  57816.43703      g_PS1    NULL     1817.206         85.204    19.351     0.051  1.76
OBS:  57828.45647      g_PS1    NULL     1316.334        168.926    19.702     0.139  1.72
OBS:  57782.44184      r_PS1    NULL    14351.044        244.173    17.108     0.018  2.12
OBS:  57787.65004      r_PS1    NULL    13517.542        243.039    17.173     0.019  2.99
OBS:  57800.46939      r_PS1    NULL     7586.847        159.192    17.800     0.023  2.00
OBS:  57816.43742      r_PS1    NULL     5411.563        120.083    18.167     0.024  1.63
OBS:  57828.45686      r_PS1    NULL     3353.872        137.594    18.686     0.044  1.82
OBS:  57782.44219      i_PS1    NULL     9407.209        184.257    17.566     0.021  1.71
OBS:  57787.65039      i_PS1    NULL     7695.406        170.132    17.784     0.024  2.39
OBS:  57800.46975      i_PS1    NULL     3917.119        122.635    18.518     0.034  1.78
OBS:  57816.43779      i_PS1    NULL     4884.391        121.938    18.278     0.027  1.55
OBS:  57828.45723      i_PS1    NULL     2666.541        123.542    18.935     0.050  1.47
OBS:  57801.57143      i_PS1    NULL     4229.728         83.570    18.434     0.021  1.90
OBS:  57801.57223      i_PS1    NULL     4184.800         82.037    18.446     0.021  1.83
OBS:  57801.58381      i_PS1    NULL     4258.593         81.708    18.427     0.021  1.73
OBS:  57801.58305      i_PS1    NULL     4326.532         84.771    18.410     0.021  1.92
OBS:  57801.59469      i_PS1    NULL     4329.882         84.302    18.409     0.021  1.84
OBS:  57801.59547      i_PS1    NULL     4206.791         82.234    18.440     0.021  1.69
OBS:  57801.60632      i_PS1    NULL     4354.418         88.243    18.403     0.022  1.99
OBS:  57801.60708      i_PS1    NULL     4294.373         85.405    18.418     0.022  1.86
OBS:  57818.39562      i_PS1    NULL     4715.967         87.648    18.316     0.020  1.93
OBS:  57818.40708      i_PS1    NULL     4768.570         87.366    18.304     0.020  1.94
OBS:  57818.41855      i_PS1    NULL     4700.830         86.294    18.320     0.020  1.82
OBS:  57818.42953      i_PS1    NULL     4639.224         87.231    18.334     0.020  2.03
OBS:  57854.43431      i_PS1    NULL      760.636        109.092    20.297     0.155  2.35
OBS:  57854.44568      i_PS1    NULL      788.349        112.731    20.258     0.154  2.31
OBS:  57854.45710      i_PS1    NULL     1062.896        113.913    19.934     0.116  2.23
OBS:  57854.46849      i_PS1    NULL      751.306        338.545    20.310     0.487  2.38
OBS:  57782.44255      z_PS1    NULL     9263.797        219.573    17.583     0.026  1.72
OBS:  57787.65075      z_PS1    NULL     7875.807        212.559    17.759     0.029  2.44
OBS:  57800.47013      z_PS1    NULL     5406.626        158.328    18.168     0.032  1.64
OBS:  57816.43816      z_PS1    NULL     5401.387        147.834    18.169     0.030  1.51
OBS:  57828.45760      z_PS1    NULL     2342.112        167.024    19.076     0.077  1.44
END:
