SURVEY: FOUNDATION
SNTYPE: 1
SNID: CSS151120-0
RA: 71.3572468
DECL: -19.0325397
MWEBV: 0.0434 +- 0.0022
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.07192
SIGMA_Z: 0.0006000
REDSHIFT_CMB: 0.07183289404389392
REDSHIFT_FINAL: 0.07258538171764148
SEARCH_PEAKMJD: 57349.47800
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: -65.060
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 35
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57349.47759      g_PS1    NULL     5958.094        238.617    18.062     0.043  2.29
OBS:  57354.40727      g_PS1    NULL     5535.017        310.103    18.142     0.061  2.37
OBS:  57358.40403      g_PS1    NULL     4651.366        140.935    18.331     0.033  2.32
OBS:  57363.40559      g_PS1    NULL     3742.468        112.007    18.567     0.032  1.76
OBS:  57370.37198      g_PS1    NULL     2155.930         84.089    19.166     0.042  1.75
OBS:  57379.41346      g_PS1    NULL      907.642        308.423    20.105     0.367  3.37
OBS:  57390.30428      g_PS1    NULL      496.514         95.024    20.760     0.207  3.10
OBS:  57349.47800      r_PS1    NULL     6315.047        186.604    17.999     0.032  2.01
OBS:  57354.40769      r_PS1    NULL     5464.649        259.929    18.156     0.051  2.01
OBS:  57358.40444      r_PS1    NULL     4993.863        130.232    18.254     0.028  2.04
OBS:  57363.40600      r_PS1    NULL     4819.072        111.284    18.293     0.025  1.40
OBS:  57370.37240      r_PS1    NULL     3752.765        101.294    18.564     0.029  1.70
OBS:  57379.41387      r_PS1    NULL     2172.752        219.450    19.157     0.109  3.08
OBS:  57390.30469      r_PS1    NULL     1459.742         92.315    19.589     0.068  2.58
OBS:  57403.27777      r_PS1    NULL      626.521         43.465    20.508     0.075  2.33
OBS:  57403.28858      r_PS1    NULL      625.506         41.739    20.509     0.072  2.12
OBS:  57403.29943      r_PS1    NULL      594.809         35.526    20.564     0.065  1.70
OBS:  57349.47835      i_PS1    NULL     3957.873        159.601    18.506     0.044  1.84
OBS:  57354.40804      i_PS1    NULL     3250.913        255.128    18.720     0.085  1.82
OBS:  57358.40478      i_PS1    NULL     3586.188        108.703    18.613     0.033  1.78
OBS:  57363.40635      i_PS1    NULL     2820.369         92.041    18.874     0.035  1.44
OBS:  57370.37275      i_PS1    NULL     2666.737         90.449    18.935     0.037  1.71
OBS:  57379.41421      i_PS1    NULL     2578.596        202.502    18.972     0.085  2.76
OBS:  57390.30505      i_PS1    NULL     1271.099        104.349    19.740     0.089  2.26
OBS:  57382.38482      i_PS1    NULL     2025.796        177.045    19.234     0.094  4.90
OBS:  57382.39516      i_PS1    NULL     2172.966        185.723    19.157     0.092  5.22
OBS:  57382.40548      i_PS1    NULL     1863.725        147.443    19.324     0.085  3.81
OBS:  57382.41580      i_PS1    NULL     1830.699        188.998    19.343     0.112  5.17
OBS:  57349.47870      z_PS1    NULL     3872.124        202.769    18.530     0.057  1.90
OBS:  57354.40840      z_PS1    NULL     3503.442        396.303    18.639     0.122  2.17
OBS:  57358.40514      z_PS1    NULL     3027.220        138.033    18.797     0.049  1.64
OBS:  57363.40670      z_PS1    NULL     2791.848        120.857    18.885     0.047  1.43
OBS:  57370.37310      z_PS1    NULL     2620.411        129.994    18.954     0.054  1.52
OBS:  57379.41457      z_PS1    NULL     1979.916        263.200    19.258     0.144  2.84
OBS:  57390.30540      z_PS1    NULL     1843.913        155.127    19.336     0.091  1.87
END:
