SURVEY: FOUNDATION
SNTYPE: 1
SNID: CSS160428
RA: 200.7800112
DECL: 52.6490751
MWEBV: 0.0095 +- 0.0005
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.03029
REDSHIFT_CMB: 0.030809330526041512
REDSHIFT_FINAL: 0.03126269440707544
SEARCH_PEAKMJD: 57514.35399
HOST_LOGMASS: 6.0
VPEC: 21.884
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 32
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57514.35399      g_PS1    NULL    27223.691        433.518    16.413     0.017  2.40
OBS:  57520.40846      g_PS1    NULL    26313.736        427.047    16.450     0.018  2.14
OBS:  57525.30579      g_PS1    NULL    23335.323        400.325    16.580     0.019  2.31
OBS:  57532.35981      g_PS1    NULL    14280.902        310.023    17.113     0.023  3.03
OBS:  57538.36165      g_PS1    NULL     9308.525        175.351    17.578     0.020  1.97
OBS:  57545.30773      g_PS1    NULL     5368.079        128.809    18.175     0.026  1.45
OBS:  57555.26556      g_PS1    NULL     2574.185        194.171    18.973     0.081  2.21
OBS:  57514.35438      r_PS1    NULL    24279.598        377.925    16.537     0.017  2.00
OBS:  57520.40886      r_PS1    NULL    24250.083        379.887    16.538     0.017  2.01
OBS:  57525.30619      r_PS1    NULL    21924.320        367.436    16.648     0.018  2.72
OBS:  57532.36021      r_PS1    NULL    14428.422        294.107    17.102     0.022  3.77
OBS:  57538.36205      r_PS1    NULL    13313.572        222.959    17.189     0.018  1.79
OBS:  57545.30813      r_PS1    NULL    11206.296        199.265    17.376     0.019  1.47
OBS:  57555.26597      r_PS1    NULL     6905.667        184.973    17.902     0.029  1.94
OBS:  57514.35474      i_PS1    NULL    14351.842        245.376    17.108     0.019  1.83
OBS:  57520.40922      i_PS1    NULL    13113.016        239.116    17.206     0.020  1.89
OBS:  57525.30655      i_PS1    NULL    11199.113        235.469    17.377     0.023  2.23
OBS:  57532.36056      i_PS1    NULL     6661.331        186.484    17.941     0.030  3.03
OBS:  57538.36240      i_PS1    NULL     7446.325        146.936    17.820     0.021  1.48
OBS:  57545.30849      i_PS1    NULL     8321.866        166.973    17.699     0.022  1.45
OBS:  57555.26632      i_PS1    NULL     6111.696        174.580    18.035     0.031  1.85
OBS:  57500.43411      i_PS1    NULL      443.944         64.664    20.882     0.157  1.58
OBS:  57500.44720      i_PS1    NULL      480.996         72.304    20.795     0.162  1.75
OBS:  57500.46032      i_PS1    NULL      518.153         66.951    20.714     0.140  1.57
OBS:  57500.47340      i_PS1    NULL      584.976         70.064    20.582     0.129  1.62
OBS:  57514.35509      z_PS1    NULL    13120.519        262.400    17.205     0.022  1.85
OBS:  57520.40957      z_PS1    NULL    12133.540        272.605    17.290     0.024  1.92
OBS:  57525.30691      z_PS1    NULL    10284.095        269.505    17.470     0.028  1.99
OBS:  57532.36092      z_PS1    NULL     7939.897        291.380    17.750     0.040  3.27
OBS:  57538.36276      z_PS1    NULL     8211.276        190.344    17.714     0.025  1.44
OBS:  57545.30885      z_PS1    NULL     7852.399        208.701    17.762     0.029  1.70
OBS:  57555.26668      z_PS1    NULL     5721.443        212.153    18.106     0.040  1.67
END:
