SURVEY: FOUNDATION
SNTYPE: 1
SNID: Gaia16bba
RA: 15.3980373
DECL: 17.1012631
MWEBV: 0.0400 +- 0.0020
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0304577
SIGMA_Z: 0.0000861
REDSHIFT_CMB: 0.029343935845655533
REDSHIFT_FINAL: 0.030091350730377612
SEARCH_PEAKMJD: 57630.59473
HOST_LOGMASS: 8.64715716223997
HOST_LOGMASS_ERR: 0.2475413127711484
HOST_LOGSFR: -0.3094711358981494
HOST_LOGSFR_ERR: 0.451048019512359
VPEC: 122.580
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57630.59473      g_PS1    NULL    27033.093        421.369    16.420     0.017  2.01
OBS:  57639.47213      g_PS1    NULL    15365.630        281.910    17.034     0.020  1.92
OBS:  57656.56247      g_PS1    NULL     4116.387        121.793    18.464     0.032  1.75
OBS:  57669.35539      g_PS1    NULL     2342.404        101.919    19.076     0.047  1.84
OBS:  57680.46733      g_PS1    NULL     1805.673        130.001    19.358     0.078  1.67
OBS:  57690.40223      g_PS1    NULL     1653.586        134.397    19.454     0.088  2.97
OBS:  57630.59512      r_PS1    NULL    25255.237        385.850    16.494     0.017  1.98
OBS:  57639.47252      r_PS1    NULL    16622.809        276.639    16.948     0.018  1.92
OBS:  57656.56287      r_PS1    NULL    10440.565        192.409    17.453     0.020  1.60
OBS:  57669.35578      r_PS1    NULL     5258.127        122.947    18.198     0.025  1.81
OBS:  57680.46772      r_PS1    NULL     3613.084        113.775    18.605     0.034  1.58
OBS:  57690.40261      r_PS1    NULL     2702.566        118.360    18.921     0.047  2.67
OBS:  57630.59549      i_PS1    NULL    14460.368        246.481    17.100     0.018  2.06
OBS:  57639.47290      i_PS1    NULL     8117.123        171.663    17.726     0.023  1.73
OBS:  57656.56323      i_PS1    NULL     9445.062        183.169    17.562     0.021  1.62
OBS:  57669.35615      i_PS1    NULL     4631.437        119.090    18.336     0.028  1.59
OBS:  57680.46808      i_PS1    NULL     2776.168        101.290    18.891     0.039  1.37
OBS:  57690.40299      i_PS1    NULL     1864.708        120.118    19.323     0.070  2.47
OBS:  57630.59585      z_PS1    NULL    13421.858        253.545    17.180     0.020  1.68
OBS:  57639.47327      z_PS1    NULL     9646.168        219.414    17.539     0.025  1.55
OBS:  57656.56358      z_PS1    NULL     9370.019        213.583    17.571     0.025  1.41
OBS:  57669.35652      z_PS1    NULL     5175.058        163.469    18.215     0.034  1.40
OBS:  57680.46844      z_PS1    NULL     2635.508        135.154    18.948     0.055  1.27
OBS:  57690.40336      z_PS1    NULL     1937.278        167.824    19.282     0.094  2.27
END:
