SURVEY: FOUNDATION
SNTYPE: 1
SNID: MASTERJ0134
RA: 23.5626935
DECL: -17.8120614
MWEBV: 0.0176 +- 0.0009
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0448457
SIGMA_Z: 0.0000400
REDSHIFT_CMB: 0.04390555020164899
REDSHIFT_FINAL: 0.0435807160966004
SEARCH_PEAKMJD: 57668.42872
HOST_LOGMASS: 9.81
VPEC: -158.954
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 23
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57674.46231      g_PS1    NULL    11550.523        259.059    17.343     0.024  1.89
OBS:  57687.40534      g_PS1    NULL     4345.963        132.245    18.405     0.033  2.64
OBS:  57695.44789      g_PS1    NULL     2284.769        111.269    19.103     0.053  2.61
OBS:  57707.39110      g_PS1    NULL     1210.012        222.051    19.793     0.198  2.30
OBS:  57668.42872      r_PS1    NULL    14038.195        236.718    17.132     0.018  1.72
OBS:  57674.46272      r_PS1    NULL    11381.644        230.189    17.359     0.022  1.82
OBS:  57687.40575      r_PS1    NULL     7190.572        156.340    17.858     0.024  2.20
OBS:  57695.44830      r_PS1    NULL     5549.899        135.441    18.139     0.026  2.23
OBS:  57707.39151      r_PS1    NULL     3055.256        164.275    18.787     0.058  2.14
OBS:  57668.42907      i_PS1    NULL     7909.791        167.325    17.755     0.023  1.58
OBS:  57674.46307      i_PS1    NULL     5497.681        153.999    18.150     0.030  1.70
OBS:  57687.40610      i_PS1    NULL     4702.264        134.525    18.319     0.031  2.08
OBS:  57695.44864      i_PS1    NULL     5180.759        146.497    18.214     0.031  2.10
OBS:  57707.39187      i_PS1    NULL     2582.021        160.987    18.970     0.067  2.16
OBS:  57706.35607      i_PS1    NULL     2784.975        137.515    18.888     0.053  2.98
OBS:  57706.36770      i_PS1    NULL     2724.927        150.545    18.912     0.060  3.28
OBS:  57706.37932      i_PS1    NULL     3081.710        130.958    18.778     0.046  2.80
OBS:  57706.39094      i_PS1    NULL     2658.789        141.269    18.938     0.057  2.94
OBS:  57668.42942      z_PS1    NULL     7481.194        203.799    17.815     0.029  1.50
OBS:  57674.46343      z_PS1    NULL     5231.770        176.501    18.203     0.036  1.46
OBS:  57687.40645      z_PS1    NULL     4611.384        179.059    18.340     0.042  1.91
OBS:  57695.44900      z_PS1    NULL     4422.141        186.889    18.386     0.046  1.81
OBS:  57707.39222      z_PS1    NULL     2185.800        186.706    19.151     0.092  2.09
END:
