SURVEY: FOUNDATION
SNTYPE: 1
SNID: MASTEROTJ15
RA: 229.1967871
DECL: 28.6286166
MWEBV: 0.0239 +- 0.0012
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0564357
SIGMA_Z: 0.0000153
REDSHIFT_CMB: 0.05690366471625574
REDSHIFT_FINAL: 0.05663257879556129
SEARCH_PEAKMJD: 57585.29938
HOST_LOGMASS: 6.0
VPEC: -56.013
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57585.29900      g_PS1    NULL     4406.951        180.650    18.390     0.044  2.72
OBS:  57591.32295      g_PS1    NULL     2795.522        150.132    18.884     0.058  2.38
OBS:  57603.34880      g_PS1    NULL      997.989         73.013    20.002     0.079  2.30
OBS:  57609.28647      g_PS1    NULL      781.230         95.286    20.268     0.132  2.63
OBS:  57618.30348      g_PS1    NULL      384.776        216.114    21.037     0.607  1.90
OBS:  57630.28206      g_PS1    NULL      344.139         67.291    21.158     0.211  1.95
OBS:  57585.29938      r_PS1    NULL     4760.618        144.764    18.306     0.033  2.31
OBS:  57591.32335      r_PS1    NULL     4069.428        131.468    18.476     0.035  2.12
OBS:  57598.27520      r_PS1    NULL     3093.056        114.620    18.774     0.040  3.18
OBS:  57603.34921      r_PS1    NULL     2499.294         84.596    19.005     0.037  1.96
OBS:  57609.28687      r_PS1    NULL     1814.699         76.729    19.353     0.046  1.74
OBS:  57618.30389      r_PS1    NULL     1045.923        160.281    19.951     0.166  2.21
OBS:  57630.28247      r_PS1    NULL      905.725         68.760    20.108     0.082  1.75
OBS:  57585.29975      i_PS1    NULL     2414.547        119.667    19.043     0.054  2.03
OBS:  57591.32371      i_PS1    NULL     2555.024        113.704    18.982     0.048  1.82
OBS:  57598.27557      i_PS1    NULL     2505.130        139.376    19.003     0.060  3.48
OBS:  57603.34956      i_PS1    NULL     2702.379        103.113    18.921     0.041  1.81
OBS:  57609.28723      i_PS1    NULL     1793.345         85.717    19.366     0.052  1.73
OBS:  57618.30424      i_PS1    NULL      834.148        123.713    20.197     0.160  1.86
OBS:  57630.28281      i_PS1    NULL      915.569         92.960    20.096     0.110  1.90
OBS:  57585.30011      z_PS1    NULL     1972.158        154.813    19.263     0.085  1.97
OBS:  57591.32407      z_PS1    NULL     2026.378        153.915    19.233     0.082  1.82
OBS:  57598.27593      z_PS1    NULL     2148.832        158.973    19.169     0.080  2.49
OBS:  57603.34991      z_PS1    NULL     2382.311        148.870    19.058     0.068  1.64
OBS:  57609.28758      z_PS1    NULL     1252.580        120.879    19.755     0.104  1.61
OBS:  57618.30460      z_PS1    NULL      925.039        165.848    20.085     0.194  1.81
OBS:  57630.28316      z_PS1    NULL      508.168        130.333    20.735     0.277  1.57
END:
