SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15bst
RA: 353.5042122
DECL: -13.2959591
MWEBV: 0.0251 +- 0.0013
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0884992
REDSHIFT_CMB: 0.08724682944097828
REDSHIFT_FINAL: 0.08556712924379173
SEARCH_PEAKMJD: 57262.41680
HOST_LOGMASS: 10.488
VPEC: 24.318
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 27
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57262.41639      g_PS1    NULL     3528.443        282.865    18.631     0.087  2.26
OBS:  57271.48163      g_PS1    NULL     2632.308        100.717    18.949     0.041  1.42
OBS:  57276.44883      g_PS1    NULL     1848.159         99.412    19.333     0.058  1.81
OBS:  57284.49663      g_PS1    NULL      872.489        132.380    20.148     0.164  2.96
OBS:  57297.33218      g_PS1    NULL      459.250        108.291    20.845     0.255  2.23
OBS:  57307.30333      g_PS1    NULL      363.735         97.895    21.098     0.291  2.20
OBS:  57262.41680      r_PS1    NULL     3562.414        213.824    18.621     0.065  1.89
OBS:  57271.48203      r_PS1    NULL     2920.642        100.544    18.836     0.037  1.61
OBS:  57276.44924      r_PS1    NULL     2050.230         90.857    19.220     0.048  1.63
OBS:  57284.49705      r_PS1    NULL     2080.489        126.704    19.205     0.066  2.79
OBS:  57297.33259      r_PS1    NULL     1130.659         99.547    19.867     0.095  1.89
OBS:  57307.30373      r_PS1    NULL      794.644         89.624    20.250     0.122  1.89
OBS:  57262.41715      i_PS1    NULL     2104.241        203.421    19.192     0.104  1.99
OBS:  57271.48239      i_PS1    NULL     1941.732         91.704    19.280     0.051  1.26
OBS:  57276.44959      i_PS1    NULL     1164.823         91.105    19.834     0.084  1.53
OBS:  57284.49739      i_PS1    NULL     1180.853        120.171    19.820     0.110  2.23
OBS:  57297.33294      i_PS1    NULL     1052.140         99.141    19.945     0.102  1.78
OBS:  57307.30408      i_PS1    NULL      703.038        108.830    20.383     0.167  1.84
OBS:  57262.41750      z_PS1    NULL     1580.417        238.637    19.503     0.163  1.71
OBS:  57271.48274      z_PS1    NULL     1150.454        120.820    19.848     0.113  1.19
OBS:  57276.44994      z_PS1    NULL      835.013        117.152    20.196     0.152  1.39
OBS:  57284.49774      z_PS1    NULL     1037.176        168.215    19.960     0.175  2.06
OBS:  57297.33329      z_PS1    NULL      947.188        144.523    20.059     0.165  1.80
OBS:  57307.30443      z_PS1    NULL      640.177        156.181    20.484     0.263  1.69
OBS:  57242.61877      z_PS1    NULL      207.954        141.470    21.705     0.735  2.74
OBS:  57244.60980      z_PS1    NULL      383.697         82.960    21.040     0.234  1.20
OBS:  57244.61806      z_PS1    NULL      324.724         96.478    21.221     0.321  1.28
END:
