SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15bwh
RA: 352.6441350
DECL: -18.8914961
MWEBV: 0.0247 +- 0.0012
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.072671
REDSHIFT_CMB: 0.07148554728318679
REDSHIFT_FINAL: 0.07137060799574885
SEARCH_PEAKMJD: 57276.44705
HOST_LOGMASS: 8.117100238800049
VPEC: -9.418
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57276.44705      g_PS1    NULL     6930.839        161.699    17.898     0.025  2.05
OBS:  57284.49399      g_PS1    NULL     5884.692        198.391    18.076     0.036  3.41
OBS:  57288.42200      g_PS1    NULL     4831.060        159.097    18.290     0.036  1.89
OBS:  57298.35917      g_PS1    NULL     2328.027        121.350    19.083     0.056  2.44
OBS:  57307.30156      g_PS1    NULL     1253.132         91.951    19.755     0.079  2.27
OBS:  57315.30128      g_PS1    NULL     1013.947        143.908    19.985     0.153  2.89
OBS:  57276.44747      r_PS1    NULL     6182.142        138.747    18.022     0.024  1.92
OBS:  57284.49440      r_PS1    NULL     6011.655        167.409    18.053     0.030  2.76
OBS:  57288.42242      r_PS1    NULL     5114.318        137.617    18.228     0.029  1.71
OBS:  57298.35959      r_PS1    NULL     3501.392        118.886    18.639     0.037  2.25
OBS:  57307.30197      r_PS1    NULL     2414.030         87.321    19.043     0.039  1.68
OBS:  57315.30169      r_PS1    NULL     1796.255        114.046    19.364     0.069  2.28
OBS:  57271.44341      r_PS1    NULL     4535.975         81.090    18.358     0.019  1.55
OBS:  57271.45375      r_PS1    NULL     4468.039         80.185    18.375     0.019  1.49
OBS:  57271.46408      r_PS1    NULL     4459.648         79.929    18.377     0.019  1.53
OBS:  57271.47440      r_PS1    NULL     4415.334         78.252    18.388     0.019  1.41
OBS:  57276.44781      i_PS1    NULL     3747.040        117.277    18.566     0.034  1.80
OBS:  57284.49476      i_PS1    NULL     3068.582        154.916    18.783     0.055  2.76
OBS:  57288.42277      i_PS1    NULL     2873.938        103.488    18.854     0.039  1.38
OBS:  57298.35994      i_PS1    NULL     1686.957        114.818    19.432     0.074  2.18
OBS:  57307.30232      i_PS1    NULL     2027.353         91.596    19.233     0.049  1.70
OBS:  57315.30203      i_PS1    NULL     1606.012        132.337    19.486     0.089  2.34
OBS:  57276.44816      z_PS1    NULL     3371.463        152.492    18.680     0.049  1.58
OBS:  57284.49510      z_PS1    NULL     2535.069        207.001    18.990     0.088  2.54
OBS:  57288.42313      z_PS1    NULL     1548.893        117.270    19.525     0.082  1.41
OBS:  57298.36030      z_PS1    NULL     1183.347        149.735    19.817     0.137  1.79
OBS:  57307.30268      z_PS1    NULL     1296.270        143.641    19.718     0.120  1.68
OBS:  57315.30239      z_PS1    NULL     1601.264        202.870    19.489     0.137  2.26
END:
