SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15cge
RA: 353.8370414
DECL: 1.1757013
MWEBV: 0.0406 +- 0.0020
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0851914
SIGMA_Z: 0.0000115
REDSHIFT_CMB: 0.08386774201180125
REDSHIFT_FINAL: 0.08297069968317883
SEARCH_PEAKMJD: 57351.28640
HOST_LOGMASS: 10.717
VPEC: -65.022
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 40
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57307.30567      g_PS1    NULL     1966.280        114.963    19.266     0.063  2.35
OBS:  57313.31700      g_PS1    NULL     1723.448        135.376    19.409     0.085  2.37
OBS:  57323.20810      g_PS1    NULL      689.945        262.222    20.403     0.410  3.72
OBS:  57329.31499      g_PS1    NULL      721.736         86.011    20.354     0.129  2.18
OBS:  57343.25176      g_PS1    NULL      314.067        116.064    21.257     0.399  2.94
OBS:  57351.28528      g_PS1    NULL       39.707        225.326    23.503     6.129  1.89
OBS:  57307.30607      r_PS1    NULL     1852.578        101.196    19.331     0.059  2.00
OBS:  57313.31739      r_PS1    NULL     2250.695        116.140    19.119     0.056  2.28
OBS:  57323.20851      r_PS1    NULL     1479.541        271.378    19.575     0.198  4.06
OBS:  57329.31538      r_PS1    NULL     1139.308         80.959    19.858     0.077  2.02
OBS:  57343.25215      r_PS1    NULL      711.949         98.301    20.369     0.149  2.49
OBS:  57351.28568      r_PS1    NULL      240.942        180.286    21.545     0.808  1.78
OBS:  57307.30643      i_PS1    NULL     1660.168        110.807    19.450     0.072  2.11
OBS:  57313.31775      i_PS1    NULL     1663.726        115.453    19.447     0.075  2.12
OBS:  57323.20886      i_PS1    NULL      987.526        175.696    20.014     0.192  2.36
OBS:  57329.31574      i_PS1    NULL     1060.702         88.235    19.936     0.090  1.67
OBS:  57343.25252      i_PS1    NULL      990.050        113.015    20.011     0.123  2.39
OBS:  57351.28604      i_PS1    NULL     1275.634        370.265    19.736     0.313  1.65
OBS:  57288.35033      i_PS1    NULL       58.928         41.436    23.074     0.759  1.64
OBS:  57288.36077      i_PS1    NULL        0.128         41.213    29.732   347.735  1.66
OBS:  57288.33995      i_PS1    NULL       -7.575         41.644       nan     5.937  1.66
OBS:  57288.37123      i_PS1    NULL     -140.733         45.776       nan     0.351  1.83
OBS:  57315.26156      i_PS1    NULL     1704.429         71.517    19.421     0.045  2.06
OBS:  57315.27190      i_PS1    NULL     1522.794         75.295    19.543     0.053  2.11
OBS:  57315.29276      i_PS1    NULL     1546.377         64.744    19.527     0.045  1.90
OBS:  57315.28233      i_PS1    NULL     1470.862         67.604    19.581     0.050  1.91
OBS:  57316.27537      i_PS1    NULL     1504.973         68.141    19.556     0.049  2.25
OBS:  57316.28580      i_PS1    NULL     1473.326         80.216    19.579     0.059  3.10
OBS:  57316.29623      i_PS1    NULL     1462.018         72.723    19.588     0.054  2.98
OBS:  57316.26497      i_PS1    NULL     1505.841         75.850    19.556     0.054  2.41
OBS:  57351.23477      i_PS1    NULL     2290.191        836.505    19.100     0.394  2.19
OBS:  57351.24747      i_PS1    NULL      502.444         74.871    20.747     0.161  1.69
OBS:  57351.26020      i_PS1    NULL      320.850         80.883    21.234     0.272  1.92
OBS:  57351.27292      i_PS1    NULL      384.569         73.273    21.038     0.206  1.63
OBS:  57307.30679      z_PS1    NULL     1284.816        171.200    19.728     0.144  2.23
OBS:  57313.31811      z_PS1    NULL     1010.449        174.285    19.989     0.186  1.98
OBS:  57323.20921      z_PS1    NULL      816.272        228.954    20.220     0.303  2.30
OBS:  57329.31611      z_PS1    NULL      751.371        154.045    20.310     0.221  1.94
OBS:  57343.25288      z_PS1    NULL      583.053        174.346    20.586     0.323  2.37
OBS:  57351.28640      z_PS1    NULL     2060.173        758.602    19.215     0.398  1.60
END:
