SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15dpl
RA: 86.9390960
DECL: 53.6090420
MWEBV: 0.2255 +- 0.0113
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0264217
SIGMA_Z: 0.0000640
REDSHIFT_CMB: 0.02641588411513629
REDSHIFT_FINAL: 0.027404892220470736
SEARCH_PEAKMJD: 57403.31827
HOST_LOGMASS: 10.13
VPEC: -235.606
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57394.38055      g_PS1    NULL    12843.101        252.595    17.228     0.021  2.71
OBS:  57398.34421      g_PS1    NULL    14999.510        276.611    17.060     0.020  2.19
OBS:  57403.31786      g_PS1    NULL    14758.022        272.961    17.077     0.020  2.18
OBS:  57410.38833      g_PS1    NULL    10710.883        335.131    17.425     0.034  2.41
OBS:  57416.28243      g_PS1    NULL     7202.500        156.613    17.856     0.024  2.06
OBS:  57427.25878      g_PS1    NULL     3043.544        114.226    18.792     0.041  2.22
OBS:  57437.28204      g_PS1    NULL     1745.048        188.776    19.395     0.117  2.38
OBS:  57394.38095      r_PS1    NULL    14325.713        250.199    17.110     0.019  2.31
OBS:  57398.34461      r_PS1    NULL    17578.848        293.282    16.888     0.018  2.20
OBS:  57403.31827      r_PS1    NULL    18162.902        298.231    16.852     0.018  1.88
OBS:  57410.38874      r_PS1    NULL    15753.253        318.159    17.007     0.022  2.31
OBS:  57416.28284      r_PS1    NULL    11228.174        204.637    17.374     0.020  2.03
OBS:  57427.25918      r_PS1    NULL     8995.601        178.173    17.615     0.021  2.07
OBS:  57437.28244      r_PS1    NULL     5036.672        165.471    18.245     0.036  2.02
OBS:  57394.38435      i_PS1    NULL    12498.290        229.371    17.258     0.020  1.81
OBS:  57398.34497      i_PS1    NULL    12270.950        228.829    17.278     0.020  2.05
OBS:  57403.31863      i_PS1    NULL    11026.909        209.507    17.394     0.021  1.77
OBS:  57410.38909      i_PS1    NULL     8872.425        217.880    17.630     0.027  1.94
OBS:  57416.28319      i_PS1    NULL     7202.039        159.879    17.856     0.024  1.72
OBS:  57427.25954      i_PS1    NULL     8151.122        174.736    17.722     0.023  1.94
OBS:  57437.28280      i_PS1    NULL     5607.554        157.650    18.128     0.030  1.73
OBS:  57394.38167      z_PS1    NULL    12160.801        270.844    17.288     0.024  2.09
OBS:  57398.34533      z_PS1    NULL    13746.318        289.949    17.155     0.023  2.05
OBS:  57403.31898      z_PS1    NULL    13483.629        271.343    17.175     0.022  1.67
OBS:  57410.38946      z_PS1    NULL    10366.202        279.539    17.461     0.029  2.11
OBS:  57416.28354      z_PS1    NULL     9045.482        225.464    17.609     0.027  1.67
OBS:  57427.25989      z_PS1    NULL     9118.467        229.335    17.600     0.027  1.77
OBS:  57437.28315      z_PS1    NULL     7056.484        214.120    17.879     0.033  1.74
END:
