SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS15zn
RA: 162.4593122
DECL: 17.8833593
MWEBV: 0.0346 +- 0.0017
FILTERS: griz
SPEC_CLASS: SNIc
REDSHIFT_HELIO: 0.0547227
REDSHIFT_CMB: 0.055898393385612755
REDSHIFT_FINAL: 0.05613910407312516
SEARCH_PEAKMJD: 57133.24913
HOST_LOGMASS: 10.432
VPEC: -104.322
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 42
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57125.37549      g_PS1    NULL     1675.032         55.999    19.440     0.036  2.14
OBS:  57127.37656      g_PS1    NULL     1659.007        109.099    19.450     0.071  3.19
OBS:  57135.34904      g_PS1    NULL     1292.981         68.926    19.721     0.058  1.73
OBS:  57133.24866      g_PS1    NULL     1533.538        175.439    19.536     0.124  6.11
OBS:  57144.35751      g_PS1    NULL      832.906        183.643    20.199     0.238  2.64
OBS:  57150.29610      g_PS1    NULL      297.900        102.263    21.315     0.371  2.96
OBS:  57159.30529      g_PS1    NULL      363.237         52.729    21.100     0.157  1.97
OBS:  57408.48725      g_PS1    NULL      221.401        205.160    21.637     1.001  3.27
OBS:  57424.55375      g_PS1    NULL       28.338         59.544    23.869     2.269  1.72
OBS:  57432.53424      g_PS1    NULL      120.498         70.125    22.298     0.629  1.72
OBS:  57125.37618      r_PS1    NULL     1825.652         54.685    19.346     0.032  1.79
OBS:  57127.37707      r_PS1    NULL     2064.158         99.897    19.213     0.052  2.55
OBS:  57135.34950      r_PS1    NULL     1707.341         71.756    19.419     0.045  1.83
OBS:  57133.24913      r_PS1    NULL     2070.937        175.913    19.210     0.092  5.53
OBS:  57144.35798      r_PS1    NULL     1367.733        138.808    19.660     0.110  2.37
OBS:  57150.29656      r_PS1    NULL      956.160         89.380    20.049     0.101  2.59
OBS:  57159.30576      r_PS1    NULL      769.994         57.599    20.284     0.081  1.73
OBS:  57408.48765      r_PS1    NULL      -91.439        120.324       nan     1.421  2.32
OBS:  57424.55415      r_PS1    NULL      -14.640         48.903       nan     3.608  1.53
OBS:  57432.53462      r_PS1    NULL      103.594         64.528    22.462     0.673  1.75
OBS:  57119.25252      r_PS1    NULL     1169.466         43.163    19.830     0.040  1.87
OBS:  57119.26550      r_PS1    NULL     1137.793         45.673    19.860     0.043  2.09
OBS:  57119.27844      r_PS1    NULL     1220.532         44.932    19.784     0.040  1.96
OBS:  57119.29150      r_PS1    NULL     1168.759         48.266    19.831     0.045  1.92
OBS:  57125.37684      i_PS1    NULL     1909.371         62.044    19.298     0.035  1.83
OBS:  57127.37750      i_PS1    NULL     1919.762        112.606    19.292     0.063  2.43
OBS:  57133.25061      i_PS1    NULL     2216.587        199.985    19.136     0.097  4.89
OBS:  57144.35841      i_PS1    NULL     1801.358        142.329    19.361     0.085  2.43
OBS:  57150.29699      i_PS1    NULL     1334.060         91.026    19.687     0.074  2.01
OBS:  57159.30619      i_PS1    NULL      741.407         68.234    20.325     0.099  1.53
OBS:  57408.48801      i_PS1    NULL       46.344        121.055    23.335     2.821  2.27
OBS:  57424.55451      i_PS1    NULL      -43.369         59.420       nan     1.480  1.50
OBS:  57432.53499      i_PS1    NULL      -46.689         77.259       nan     1.787  1.62
OBS:  57125.37753      z_PS1    NULL     1673.758         84.169    19.441     0.054  1.67
OBS:  57127.37793      z_PS1    NULL     1392.050        185.956    19.641     0.144  2.28
OBS:  57133.25104      z_PS1    NULL     1825.982        263.748    19.346     0.156  3.93
OBS:  57144.35884      z_PS1    NULL     1515.712        172.647    19.548     0.123  2.22
OBS:  57150.29743      z_PS1    NULL     1261.791        141.750    19.748     0.121  1.99
OBS:  57159.30664      z_PS1    NULL      850.119        101.526    20.176     0.129  1.49
OBS:  57408.48838      z_PS1    NULL     -162.579        171.453       nan     1.139  2.27
OBS:  57424.55488      z_PS1    NULL      252.357         87.729    21.495     0.375  1.37
OBS:  57432.53535      z_PS1    NULL       90.219        106.617    22.612     1.276  1.41
END:
