SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16amf
RA: 99.2580551
DECL: 44.2567072
MWEBV: 0.1252 +- 0.0063
FILTERS: griz
SPEC_CLASS: SNIa-06gz-like
REDSHIFT_HELIO: 0.09
REDSHIFT_CMB: 0.09023525800982424
REDSHIFT_FINAL: 0.08865199670900327
SEARCH_PEAKMJD: 57439.29062
HOST_LOGMASS: 7.999
VPEC: -108.809
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 36
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57439.29021      g_PS1    NULL     3642.530        201.608    18.596     0.060  2.07
OBS:  57444.23345      g_PS1    NULL     3490.407        128.301    18.643     0.040  2.33
OBS:  57450.23197      g_PS1    NULL     2734.373         96.999    18.908     0.038  1.53
OBS:  57458.23660      g_PS1    NULL     1734.815        144.265    19.402     0.090  3.40
OBS:  57467.24616      g_PS1    NULL     1093.836        167.418    19.903     0.165  2.33
OBS:  57476.29708      g_PS1    NULL     1027.799        100.227    19.970     0.105  2.83
OBS:  57494.24653      g_PS1    NULL      468.032        164.570    20.824     0.380  2.82
OBS:  57439.29062      r_PS1    NULL     4177.038        148.207    18.448     0.038  1.76
OBS:  57444.23384      r_PS1    NULL     4016.643        120.991    18.490     0.033  2.06
OBS:  57450.23237      r_PS1    NULL     3694.850         96.342    18.581     0.028  1.37
OBS:  57458.23700      r_PS1    NULL     2884.547        144.649    18.850     0.054  3.48
OBS:  57467.24655      r_PS1    NULL     2118.890        111.365    19.185     0.057  1.78
OBS:  57476.29749      r_PS1    NULL     1676.965         92.511    19.439     0.060  2.21
OBS:  57494.24694      r_PS1    NULL      943.008        116.824    20.064     0.134  1.89
OBS:  57432.23718      r_PS1    NULL     3471.565         70.703    18.649     0.022  1.71
OBS:  57432.26750      r_PS1    NULL     3582.181         73.823    18.615     0.022  1.89
OBS:  57432.25455      r_PS1    NULL     3386.165         71.472    18.676     0.023  1.86
OBS:  57432.28059      r_PS1    NULL     3597.088         73.828    18.610     0.022  1.83
OBS:  57439.29098      i_PS1    NULL     3798.546        145.581    18.551     0.041  1.87
OBS:  57444.23421      i_PS1    NULL     3403.056        125.582    18.670     0.040  1.83
OBS:  57450.23274      i_PS1    NULL     3272.911        102.676    18.713     0.034  1.29
OBS:  57458.23736      i_PS1    NULL     2616.363        155.137    18.956     0.064  3.18
OBS:  57467.24692      i_PS1    NULL     2177.975        135.751    19.155     0.067  1.69
OBS:  57476.29785      i_PS1    NULL     1752.806        108.633    19.391     0.067  2.02
OBS:  57494.24729      i_PS1    NULL     1228.318        137.945    19.777     0.121  1.69
OBS:  57468.25469      i_PS1    NULL     2022.308        117.145    19.235     0.063  2.72
OBS:  57468.26762      i_PS1    NULL     2197.816         94.669    19.145     0.047  2.20
OBS:  57468.28057      i_PS1    NULL     2177.729         95.352    19.155     0.047  2.36
OBS:  57468.29351      i_PS1    NULL     2342.566        109.258    19.076     0.050  2.65
OBS:  57439.29134      z_PS1    NULL     2750.930        170.668    18.901     0.067  1.88
OBS:  57444.23457      z_PS1    NULL     2363.204        199.277    19.066     0.091  1.74
OBS:  57450.23310      z_PS1    NULL     1896.218        131.120    19.305     0.075  1.31
OBS:  57458.23773      z_PS1    NULL     2163.334        220.164    19.162     0.110  2.94
OBS:  57467.24728      z_PS1    NULL     1682.597        161.394    19.435     0.104  1.48
OBS:  57476.29821      z_PS1    NULL     1420.676        164.729    19.619     0.125  1.99
OBS:  57494.24765      z_PS1    NULL      645.457        202.649    20.475     0.339  1.80
END:
