SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16bby
RA: 215.0751587
DECL: -22.1890160
MWEBV: 0.0992 +- 0.0050
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.053427
SIGMA_Z: 0.0000830
REDSHIFT_CMB: 0.054297653076363916
REDSHIFT_FINAL: 0.05481285323061729
SEARCH_PEAKMJD: 57466.60144
HOST_LOGMASS: 10.788574238294695
HOST_LOGMASS_ERR: 0.050034190640673194
HOST_LOGSFR: 0.5755747263344118
HOST_LOGSFR_ERR: 0.231090687142102
VPEC: 273.950
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 33
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57462.55199      g_PS1    NULL     4829.075        144.395    18.290     0.032  2.30
OBS:  57466.60144      g_PS1    NULL     5451.895        162.806    18.159     0.032  2.44
OBS:  57477.45676      g_PS1    NULL     3178.708        120.808    18.744     0.041  1.92
OBS:  57483.51707      g_PS1    NULL     1716.515        108.513    19.413     0.068  2.43
OBS:  57490.44722      g_PS1    NULL      680.334        108.251    20.418     0.172  3.08
OBS:  57505.39846      g_PS1    NULL      635.765        158.899    20.492     0.270  3.21
OBS:  57505.40070      g_PS1    NULL      389.453        126.632    21.024     0.351  2.37
OBS:  57462.55241      r_PS1    NULL     4681.439        124.311    18.324     0.029  2.14
OBS:  57466.60186      r_PS1    NULL     5369.964        138.533    18.175     0.028  2.18
OBS:  57477.45718      r_PS1    NULL     4151.374        113.855    18.455     0.030  1.63
OBS:  57483.51748      r_PS1    NULL     3389.257        106.886    18.675     0.034  2.10
OBS:  57490.44763      r_PS1    NULL     2422.787        127.118    19.039     0.057  3.24
OBS:  57505.39887      r_PS1    NULL     1140.115        110.350    19.858     0.105  2.17
OBS:  57450.58999      r_PS1    NULL      290.482         47.755    21.342     0.178  2.45
OBS:  57450.60099      r_PS1    NULL      252.353         39.843    21.495     0.171  2.03
OBS:  57450.61239      r_PS1    NULL      216.542         36.151    21.661     0.180  1.89
OBS:  57450.62364      r_PS1    NULL      275.820         35.089    21.398     0.137  1.79
OBS:  57462.55276      i_PS1    NULL     4203.055        136.138    18.441     0.035  2.09
OBS:  57466.60220      i_PS1    NULL     3830.519        123.681    18.542     0.035  1.98
OBS:  57477.45753      i_PS1    NULL     2339.559         90.592    19.077     0.042  1.61
OBS:  57483.51783      i_PS1    NULL     2263.770        112.925    19.113     0.054  2.16
OBS:  57490.44798      i_PS1    NULL     2115.671        126.896    19.186     0.065  2.80
OBS:  57505.39922      i_PS1    NULL     1055.188        102.559    19.942     0.105  1.76
OBS:  57462.55312      z_PS1    NULL     3308.439        172.104    18.701     0.056  1.91
OBS:  57466.60256      z_PS1    NULL     3887.970        167.995    18.526     0.047  1.85
OBS:  57477.45789      z_PS1    NULL     2459.484        149.150    19.023     0.066  1.56
OBS:  57483.51818      z_PS1    NULL     2146.896        130.913    19.170     0.066  1.65
OBS:  57490.44833      z_PS1    NULL     2279.434        200.138    19.105     0.095  2.64
OBS:  57505.39957      z_PS1    NULL     1258.567        143.298    19.750     0.123  1.63
OBS:  57452.64085      z_PS1    NULL      606.998         86.834    20.542     0.155  1.78
OBS:  57452.64930      z_PS1    NULL      580.441         81.235    20.591     0.151  1.72
OBS:  57460.64510      z_PS1    NULL     2707.520        141.518    18.919     0.056  2.03
OBS:  57460.64463      z_PS1    NULL     3452.375        130.479    18.655     0.041  1.92
END:
