SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16bnz
RA: 155.1537868
DECL: -2.4667505
MWEBV: 0.0379 +- 0.0019
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0627
SIGMA_Z: 0.0002130
REDSHIFT_CMB: 0.06397599650922525
REDSHIFT_FINAL: 0.06467500926924587
SEARCH_PEAKMJD: 57488.28992
HOST_LOGMASS: 11.244
VPEC: 179.132
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57481.29352      g_PS1    NULL     5052.284        120.695    18.241     0.026  1.64
OBS:  57488.28992      g_PS1    NULL     6398.243        163.346    17.985     0.028  2.20
OBS:  57492.33526      g_PS1    NULL     5636.564        144.511    18.122     0.028  1.72
OBS:  57499.34737      g_PS1    NULL     3686.916        189.815    18.583     0.056  1.72
OBS:  57505.24948      g_PS1    NULL     1771.694         80.167    19.379     0.049  1.72
OBS:  57513.25748      g_PS1    NULL      885.231         80.349    20.132     0.098  2.05
OBS:  57528.25734      g_PS1    NULL      149.342        157.248    22.065     1.137  2.30
OBS:  57481.29392      r_PS1    NULL     3998.568         97.588    18.495     0.026  1.47
OBS:  57488.29032      r_PS1    NULL     5741.990        141.574    18.102     0.027  1.90
OBS:  57492.33565      r_PS1    NULL     5538.853        125.169    18.141     0.024  1.48
OBS:  57499.34777      r_PS1    NULL     3597.825        156.076    18.610     0.047  1.73
OBS:  57505.24987      r_PS1    NULL     2972.776         96.849    18.817     0.035  1.58
OBS:  57513.25788      r_PS1    NULL     2028.840         86.662    19.232     0.046  1.97
OBS:  57528.25774      r_PS1    NULL      980.830        122.901    20.021     0.135  1.89
OBS:  57461.35770      r_PS1    NULL        5.676         31.063    25.615     5.911  1.76
OBS:  57481.29427      i_PS1    NULL     3519.268         96.529    18.634     0.030  1.41
OBS:  57488.29068      i_PS1    NULL     3714.053        126.044    18.575     0.037  1.99
OBS:  57492.33601      i_PS1    NULL     3527.925        104.479    18.631     0.032  1.24
OBS:  57499.34813      i_PS1    NULL     1826.582        130.619    19.346     0.077  1.75
OBS:  57505.25023      i_PS1    NULL     2049.404         87.042    19.221     0.046  1.48
OBS:  57513.25824      i_PS1    NULL     2415.987         99.575    19.042     0.045  1.81
OBS:  57528.25809      i_PS1    NULL      890.841        105.787    20.125     0.128  1.51
OBS:  57488.29104      z_PS1    NULL     3161.087        182.248    18.750     0.062  2.06
OBS:  57492.33637      z_PS1    NULL     2369.310        135.750    19.063     0.062  1.28
OBS:  57499.34849      z_PS1    NULL     1551.927        146.905    19.523     0.102  1.37
OBS:  57505.25059      z_PS1    NULL     1854.877        130.530    19.329     0.076  1.30
OBS:  57513.25860      z_PS1    NULL     1734.110        134.129    19.402     0.084  1.73
OBS:  57528.25845      z_PS1    NULL      466.160        138.415    20.829     0.321  1.35
END:
