SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16dnp
RA: 344.9145977
DECL: 2.1498087
MWEBV: 0.0790 +- 0.0040
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0512731
SIGMA_Z: 0.0000308
REDSHIFT_CMB: 0.049983328009242545
REDSHIFT_FINAL: 0.050200028714531574
SEARCH_PEAKMJD: 57599.48408
HOST_LOGMASS: 8.353
VPEC: 24.769
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 30
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57599.48408      g_PS1    NULL     7686.569        178.235    17.786     0.025  2.84
OBS:  57603.45182      g_PS1    NULL     7537.298        157.963    17.807     0.023  1.77
OBS:  57608.49760      g_PS1    NULL     5952.384        138.480    18.063     0.025  1.96
OBS:  57614.51037      g_PS1    NULL     3735.082        122.294    18.569     0.035  1.74
OBS:  57626.46015      g_PS1    NULL     1379.341         88.520    19.651     0.069  1.97
OBS:  57652.45620      g_PS1    NULL      584.896        109.899    20.582     0.203  2.08
OBS:  57599.48448      r_PS1    NULL     7485.282        153.271    17.814     0.022  2.55
OBS:  57603.45223      r_PS1    NULL     7226.516        144.304    17.853     0.022  1.82
OBS:  57608.49800      r_PS1    NULL     6045.132        128.595    18.046     0.023  1.72
OBS:  57614.51076      r_PS1    NULL     4212.642        110.606    18.439     0.028  1.63
OBS:  57626.46054      r_PS1    NULL     3159.806         98.667    18.751     0.034  2.00
OBS:  57652.45660      r_PS1    NULL     1143.726         82.072    19.854     0.078  1.76
OBS:  57597.54001      r_PS1    NULL     7738.135        128.608    17.778     0.018  2.73
OBS:  57597.55349      r_PS1    NULL     7535.008        127.673    17.807     0.018  3.31
OBS:  57597.56700      r_PS1    NULL     7617.643        126.037    17.795     0.018  2.87
OBS:  57597.58054      r_PS1    NULL     7565.628        127.436    17.803     0.018  3.07
OBS:  57614.46975      r_PS1    NULL     4397.611         84.742    18.392     0.021  1.85
OBS:  57614.48177      r_PS1    NULL     4251.707         79.069    18.429     0.020  1.55
OBS:  57614.49382      r_PS1    NULL     4324.254         82.063    18.410     0.021  1.99
OBS:  57614.50585      r_PS1    NULL     4206.140         78.674    18.440     0.020  1.80
OBS:  57599.48484      i_PS1    NULL     4978.520        136.643    18.257     0.030  2.49
OBS:  57603.45258      i_PS1    NULL     4324.507        110.486    18.410     0.028  1.46
OBS:  57608.49836      i_PS1    NULL     3356.742        104.540    18.685     0.034  1.83
OBS:  57614.51112      i_PS1    NULL     2310.239         90.456    19.091     0.042  1.53
OBS:  57626.46091      i_PS1    NULL     2734.242         94.753    18.908     0.037  1.66
OBS:  57652.45696      i_PS1    NULL      816.348         87.210    20.220     0.115  1.88
OBS:  57608.49872      z_PS1    NULL     2774.148        139.460    18.892     0.054  1.57
OBS:  57614.51148      z_PS1    NULL     2449.159        120.314    19.027     0.053  1.44
OBS:  57626.46126      z_PS1    NULL     2422.878        129.688    19.039     0.058  1.69
OBS:  57652.45732      z_PS1    NULL      640.606        117.154    20.484     0.198  1.60
END:
