SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16drf
RA: 331.0130218
DECL: -10.2182011
MWEBV: 0.0325 +- 0.0016
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.05749
SIGMA_Z: 0.0001030
REDSHIFT_CMB: 0.05629896702559534
REDSHIFT_FINAL: 0.05586831674064329
SEARCH_PEAKMJD: 57612.42994
HOST_LOGMASS: 10.506
VPEC: 105.405
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 19
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57612.42953      g_PS1    NULL     1430.343        159.536    19.611     0.120  3.26
OBS:  57626.45543      g_PS1    NULL      624.551        169.466    20.511     0.293  3.88
OBS:  57639.38301      g_PS1    NULL      267.832         75.095    21.430     0.303  1.83
OBS:  57650.42780      g_PS1    NULL       48.999        197.096    23.275     4.344  2.17
OBS:  57667.30868      g_PS1    NULL       -4.779         95.415       nan    21.563  1.99
OBS:  57612.42994      r_PS1    NULL     3023.984        128.005    18.799     0.046  2.53
OBS:  57626.45583      r_PS1    NULL     1776.398        105.286    19.376     0.064  2.29
OBS:  57639.38340      r_PS1    NULL      899.279         77.485    20.115     0.093  1.71
OBS:  57650.42822      r_PS1    NULL      466.710        143.349    20.827     0.332  2.05
OBS:  57667.30908      r_PS1    NULL      338.804         90.482    21.175     0.288  1.88
OBS:  57612.43029      i_PS1    NULL     2759.347        173.970    18.898     0.068  3.09
OBS:  57626.45618      i_PS1    NULL     1547.115        146.489    19.526     0.102  2.77
OBS:  57639.38376      i_PS1    NULL     1199.604         92.146    19.802     0.083  1.60
OBS:  57650.42856      i_PS1    NULL      641.886        133.743    20.481     0.225  1.72
OBS:  57667.30943      i_PS1    NULL      513.494        100.462    20.724     0.211  1.72
OBS:  57612.43065      z_PS1    NULL     2125.922        206.898    19.181     0.105  2.53
OBS:  57639.38412      z_PS1    NULL     1422.022        138.606    19.618     0.105  1.62
OBS:  57650.42892      z_PS1    NULL      979.950        197.173    20.022     0.217  1.74
OBS:  57667.30979      z_PS1    NULL      827.045        157.519    20.206     0.206  1.77
END:
