SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16eqv
RA: 53.1684105
DECL: -19.6154353
MWEBV: 0.0323 +- 0.0016
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.085271
REDSHIFT_CMB: 0.08480376869813822
REDSHIFT_FINAL: 0.0845468233893996
SEARCH_PEAKMJD: 57688.63649
HOST_LOGMASS: 10.474
VPEC: -28.586
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 40
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57690.39910      g_PS1    NULL     4553.772        140.485    18.354     0.033  2.97
OBS:  57695.44969      g_PS1    NULL     3527.714        156.517    18.631     0.048  2.74
OBS:  57700.43741      g_PS1    NULL     2169.214        176.782    19.159     0.088  3.46
OBS:  57706.40019      g_PS1    NULL     1356.125        423.258    19.669     0.337  3.70
OBS:  57735.27338      g_PS1    NULL      571.315        328.053    20.608     0.620  3.10
OBS:  57735.27637      g_PS1    NULL      257.487        387.192    21.473     1.624  3.33
OBS:  57690.39951      r_PS1    NULL     5217.210        135.619    18.206     0.028  2.37
OBS:  57695.45011      r_PS1    NULL     4510.409        143.070    18.364     0.034  2.44
OBS:  57700.43782      r_PS1    NULL     3405.528        152.192    18.670     0.048  2.67
OBS:  57706.40061      r_PS1    NULL     2864.210        269.985    18.857     0.102  3.25
OBS:  57735.27378      r_PS1    NULL     1239.730        233.637    19.767     0.204  2.92
OBS:  57735.27678      r_PS1    NULL      800.848        262.182    20.241     0.354  3.18
OBS:  57690.39987      i_PS1    NULL     3247.564        132.412    18.721     0.044  2.32
OBS:  57695.45046      i_PS1    NULL     2604.394        135.220    18.961     0.056  2.19
OBS:  57700.43817      i_PS1    NULL     1884.826        163.748    19.312     0.094  2.34
OBS:  57706.40096      i_PS1    NULL     2143.014        214.042    19.172     0.108  2.82
OBS:  57735.27414      i_PS1    NULL      217.581        189.338    21.656     0.940  2.54
OBS:  57735.27713      i_PS1    NULL      776.409        208.952    20.275     0.291  2.77
OBS:  57653.53339      i_PS1    NULL       42.906         39.185    23.419     0.986  1.47
OBS:  57653.54507      i_PS1    NULL       50.658         38.601    23.238     0.823  1.44
OBS:  57653.55671      i_PS1    NULL      -47.315         38.942       nan     0.889  1.49
OBS:  57653.56835      i_PS1    NULL       57.753         37.358    23.096     0.699  1.41
OBS:  57673.44611      i_PS1    NULL     1672.399         65.627    19.442     0.042  1.84
OBS:  57673.45643      i_PS1    NULL     1434.936         64.259    19.608     0.048  1.86
OBS:  57673.46674      i_PS1    NULL     1436.693         65.478    19.607     0.049  2.03
OBS:  57673.47707      i_PS1    NULL     1515.576         66.546    19.549     0.047  2.07
OBS:  57681.44151      i_PS1    NULL     2988.776         85.263    18.811     0.031  2.05
OBS:  57681.45244      i_PS1    NULL     2824.899         80.429    18.872     0.031  1.85
OBS:  57681.46336      i_PS1    NULL     3002.189         81.457    18.806     0.029  1.79
OBS:  57681.47431      i_PS1    NULL     3159.739         84.405    18.751     0.029  1.94
OBS:  57709.39308      i_PS1    NULL     2230.741        115.647    19.129     0.056  3.53
OBS:  57709.40385      i_PS1    NULL     2177.924        115.622    19.155     0.057  3.48
OBS:  57709.41464      i_PS1    NULL     2129.532        124.440    19.179     0.063  3.81
OBS:  57709.42540      i_PS1    NULL     2115.671         94.606    19.186     0.048  2.76
OBS:  57690.40022      z_PS1    NULL     2429.029        176.506    19.036     0.078  2.12
OBS:  57695.45081      z_PS1    NULL     2212.879        207.105    19.138     0.101  2.42
OBS:  57700.43852      z_PS1    NULL     1844.753        260.011    19.335     0.152  2.36
OBS:  57706.40131      z_PS1    NULL     1595.174        264.473    19.493     0.179  2.70
OBS:  57735.27449      z_PS1    NULL      832.781        267.833    20.199     0.347  2.74
OBS:  57735.27747      z_PS1    NULL       12.102        299.242    24.793    26.705  3.04
END:
