SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16evk
RA: 338.3444321
DECL: -1.3570343
MWEBV: 0.0614 +- 0.0031
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.0544681
REDSHIFT_CMB: 0.05319946179579094
REDSHIFT_FINAL: 0.05247103314386915
SEARCH_PEAKMJD: 57697.23911
HOST_LOGMASS: 10.308
VPEC: -156.455
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 24
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57697.23872      g_PS1    NULL     7788.935        196.906    17.771     0.027  3.45
OBS:  57704.26949      g_PS1    NULL     5617.288        202.184    18.126     0.039  1.82
OBS:  57710.25446      g_PS1    NULL     4090.713        126.589    18.471     0.033  2.67
OBS:  57721.24242      g_PS1    NULL     1763.798         95.511    19.384     0.059  2.09
OBS:  57736.21042      g_PS1    NULL      232.466        159.262    21.584     0.740  1.98
OBS:  57744.21287      g_PS1    NULL      750.830        131.081    20.311     0.189  2.08
OBS:  57697.23911      r_PS1    NULL     7775.375        205.975    17.773     0.029  4.64
OBS:  57704.26989      r_PS1    NULL     6273.822        158.817    18.006     0.027  1.53
OBS:  57710.25486      r_PS1    NULL     4846.277        125.311    18.286     0.028  2.41
OBS:  57721.24283      r_PS1    NULL     3703.300        106.274    18.579     0.031  1.96
OBS:  57736.21083      r_PS1    NULL     1866.728        143.674    19.322     0.083  2.11
OBS:  57744.21328      r_PS1    NULL     1538.079        113.300    19.533     0.080  2.00
OBS:  57697.23947      i_PS1    NULL     4845.452        174.724    18.287     0.039  3.58
OBS:  57704.27026      i_PS1    NULL     3533.195        126.984    18.630     0.039  1.46
OBS:  57710.25522      i_PS1    NULL     2346.900        108.724    19.074     0.050  2.07
OBS:  57721.24319      i_PS1    NULL     2381.628        103.725    19.058     0.047  1.80
OBS:  57736.21118      i_PS1    NULL     1853.205        126.692    19.330     0.074  1.79
OBS:  57744.21363      i_PS1    NULL     1461.786        114.545    19.588     0.085  1.74
OBS:  57697.23984      z_PS1    NULL     5062.846        250.782    18.239     0.054  3.42
OBS:  57704.27062      z_PS1    NULL     3647.319        168.193    18.595     0.050  1.67
OBS:  57710.25558      z_PS1    NULL     2164.521        159.847    19.162     0.080  2.04
OBS:  57721.24354      z_PS1    NULL     2330.702        130.994    19.081     0.061  1.48
OBS:  57736.21154      z_PS1    NULL     1863.893        171.910    19.324     0.100  1.75
OBS:  57744.21399      z_PS1    NULL      930.313        152.391    20.078     0.177  1.58
END:
