SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS16ez
RA: 141.1102249
DECL: 5.1707769
MWEBV: 0.0466 +- 0.0023
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.0917293
SIGMA_Z: 0.0000076
REDSHIFT_CMB: 0.09290443540446014
REDSHIFT_FINAL: 0.09321662121333286
SEARCH_PEAKMJD: 57403.45854
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: 26.846
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 49
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57397.53047      g_PS1    NULL     3124.074        117.094    18.763     0.041  2.40
OBS:  57403.45815      g_PS1    NULL     3318.674        128.578    18.698     0.042  2.48
OBS:  57408.49050      g_PS1    NULL     2534.047        213.576    18.990     0.091  2.66
OBS:  57416.43354      g_PS1    NULL     1257.164        129.644    19.752     0.111  2.14
OBS:  57424.42156      g_PS1    NULL      742.254         76.332    20.324     0.111  1.75
OBS:  57432.37484      g_PS1    NULL      511.158         93.104    20.729     0.197  1.82
OBS:  57443.30721      g_PS1    NULL      182.490        148.325    21.847     0.878  2.11
OBS:  57397.53086      r_PS1    NULL     3201.145         95.551    18.737     0.032  1.85
OBS:  57403.45854      r_PS1    NULL     3763.718        111.368    18.561     0.032  2.08
OBS:  57408.49089      r_PS1    NULL     3642.012        178.794    18.597     0.053  2.88
OBS:  57416.43392      r_PS1    NULL     2207.612        103.624    19.140     0.051  1.89
OBS:  57424.42195      r_PS1    NULL     1939.262         78.632    19.281     0.044  1.82
OBS:  57432.37523      r_PS1    NULL     1359.909         85.606    19.666     0.068  1.50
OBS:  57443.30761      r_PS1    NULL      752.554        104.544    20.309     0.150  1.79
OBS:  57416.43707      r_PS1    NULL     2419.676         66.461    19.041     0.030  1.85
OBS:  57416.44032      r_PS1    NULL     2382.272         65.627    19.058     0.030  2.03
OBS:  57416.44905      r_PS1    NULL     2448.519         60.445    19.028     0.027  1.79
OBS:  57416.45249      r_PS1    NULL     2347.949         67.514    19.073     0.031  2.06
OBS:  57416.46133      r_PS1    NULL     2280.696         58.319    19.105     0.028  1.84
OBS:  57416.46470      r_PS1    NULL     2367.312         64.312    19.064     0.029  2.07
OBS:  57416.47339      r_PS1    NULL     2206.334         57.657    19.141     0.028  1.79
OBS:  57416.47663      r_PS1    NULL     2462.529         62.125    19.022     0.027  1.98
OBS:  57432.38062      r_PS1    NULL     1301.159         41.638    19.714     0.035  1.63
OBS:  57432.40679      r_PS1    NULL     1354.704         53.867    19.670     0.043  2.00
OBS:  57432.39360      r_PS1    NULL     1280.751         51.445    19.731     0.043  1.79
OBS:  57432.42026      r_PS1    NULL     1365.193         52.998    19.662     0.042  2.05
OBS:  57445.35451      r_PS1    NULL      695.474         38.069    20.394     0.059  1.46
OBS:  57445.36757      r_PS1    NULL      725.209         44.632    20.349     0.066  1.83
OBS:  57445.38077      r_PS1    NULL      705.086         59.092    20.379     0.091  2.43
OBS:  57445.39438      r_PS1    NULL      780.444         50.597    20.269     0.070  1.90
OBS:  57397.53123      i_PS1    NULL     2352.820         93.433    19.071     0.043  1.71
OBS:  57403.45891      i_PS1    NULL     2406.482        120.114    19.047     0.054  2.54
OBS:  57408.49126      i_PS1    NULL     2399.984        139.946    19.049     0.063  2.20
OBS:  57416.43428      i_PS1    NULL     2048.080        100.319    19.222     0.053  1.67
OBS:  57424.42231      i_PS1    NULL     1481.443         90.053    19.573     0.066  1.94
OBS:  57432.37560      i_PS1    NULL     1315.045         88.508    19.703     0.073  1.48
OBS:  57443.30797      i_PS1    NULL      849.905        106.525    20.177     0.135  1.93
OBS:  57379.49268      i_PS1    NULL       -2.120         53.522       nan    27.266  1.89
OBS:  57379.50416      i_PS1    NULL      -41.736         48.463       nan     1.254  1.72
OBS:  57379.51565      i_PS1    NULL      -89.063         52.928       nan     0.642  1.86
OBS:  57379.52712      i_PS1    NULL       65.495         54.133    22.959     0.893  1.93
OBS:  57397.53159      z_PS1    NULL     2454.305        131.596    19.025     0.058  1.62
OBS:  57403.45927      z_PS1    NULL     2006.125        160.230    19.244     0.086  2.26
OBS:  57408.49163      z_PS1    NULL     1858.417        179.626    19.327     0.104  2.02
OBS:  57416.43465      z_PS1    NULL     1380.918        125.947    19.650     0.099  1.66
OBS:  57424.42267      z_PS1    NULL     1420.545        107.931    19.619     0.082  1.44
OBS:  57432.37596      z_PS1    NULL      833.611        121.648    20.198     0.158  1.40
OBS:  57443.30833      z_PS1    NULL     1093.532        123.366    19.903     0.122  1.68
OBS:  57394.64642      z_PS1    NULL     2216.169         87.130    19.136     0.042  1.78
END:
