SURVEY: FOUNDATION
SNTYPE: 1
SNID: PS17bii
RA: 171.4093944
DECL: 7.3336027
MWEBV: 0.0662 +- 0.0033
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.073391
SIGMA_Z: 0.0000174
REDSHIFT_CMB: 0.07467216474697769
REDSHIFT_FINAL: 0.07232073196451126
SEARCH_PEAKMJD: 57808.43420
HOST_LOGMASS: 10.750100670018611
HOST_LOGMASS_ERR: 0.04893331831232167
HOST_LOGSFR: 0.7956776752229341
HOST_LOGSFR_ERR: 0.21114507313732098
VPEC: -104.325
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 34
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57808.43420      g_PS1    NULL     4067.898        136.125    18.477     0.036  2.36
OBS:  57816.43996      g_PS1    NULL     3470.367        124.733    18.649     0.039  2.34
OBS:  57828.45279      g_PS1    NULL      999.459        165.312    20.001     0.179  2.29
OBS:  57835.53488      g_PS1    NULL      893.426        115.210    20.122     0.139  1.95
OBS:  57848.37246      g_PS1    NULL      118.891        102.189    22.312     0.928  2.07
OBS:  57863.30812      g_PS1    NULL      149.921         68.710    22.060     0.495  1.95
OBS:  57883.30468      g_PS1    NULL      178.413        179.447    21.871     1.086  2.13
OBS:  57808.43460      r_PS1    NULL     3249.498        117.753    18.720     0.039  2.31
OBS:  57816.44034      r_PS1    NULL     3758.441        114.885    18.562     0.033  2.11
OBS:  57828.45318      r_PS1    NULL     2366.675        129.429    19.065     0.059  1.77
OBS:  57835.53531      r_PS1    NULL     1601.557        108.703    19.489     0.073  1.75
OBS:  57848.37284      r_PS1    NULL      816.623         85.272    20.220     0.113  1.81
OBS:  57863.30852      r_PS1    NULL      478.645         69.144    20.800     0.156  1.89
OBS:  57883.30507      r_PS1    NULL      441.994        129.658    20.886     0.317  2.07
OBS:  57808.43496      i_PS1    NULL     2869.607        116.868    18.855     0.044  1.92
OBS:  57816.44071      i_PS1    NULL     2639.151        112.279    18.946     0.046  1.96
OBS:  57828.45354      i_PS1    NULL     1817.623        141.160    19.351     0.084  1.67
OBS:  57835.53566      i_PS1    NULL     1778.583        173.864    19.375     0.106  1.68
OBS:  57848.37321      i_PS1    NULL      962.999         90.597    20.041     0.102  1.83
OBS:  57863.30888      i_PS1    NULL      490.588         88.704    20.773     0.195  1.76
OBS:  57883.30543      i_PS1    NULL      273.864        106.422    21.406     0.420  1.66
OBS:  57800.55446      i_PS1    NULL      984.310         66.097    20.017     0.073  2.11
OBS:  57800.56715      i_PS1    NULL     1011.669         62.185    19.987     0.066  2.06
OBS:  57800.57989      i_PS1    NULL     1128.529         64.588    19.869     0.062  1.98
OBS:  57800.54170      i_PS1    NULL     1156.174         59.999    19.842     0.056  2.04
OBS:  57882.31664      i_PS1    NULL      116.499        125.113    22.334     1.160  3.35
OBS:  57882.32818      i_PS1    NULL      311.857         90.632    21.265     0.314  2.47
OBS:  57882.33974      i_PS1    NULL      413.502         84.775    20.959     0.221  2.31
OBS:  57882.35132      i_PS1    NULL      184.257         87.629    21.836     0.514  2.30
OBS:  57828.45391      z_PS1    NULL     1362.084        197.643    19.664     0.157  1.67
OBS:  57835.53601      z_PS1    NULL     1718.111        229.702    19.412     0.144  1.58
OBS:  57848.37357      z_PS1    NULL      905.779        136.675    20.107     0.163  1.83
OBS:  57863.30925      z_PS1    NULL      340.075        139.899    21.171     0.444  1.67
OBS:  57883.30579      z_PS1    NULL      285.986        150.610    21.359     0.569  1.60
END:
