SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ0252467
RA: 43.1946106
DECL: 46.9464372
MWEBV: 0.1700 +- 0.0085
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.028086
SIGMA_Z: 0.0000280
REDSHIFT_CMB: 0.027485147343038197
REDSHIFT_FINAL: 0.026083744908619415
SEARCH_PEAKMJD: 57288.57246
HOST_LOGMASS: 8.830050079137099
HOST_LOGMASS_ERR: 0.14983490850060147
HOST_LOGSFR: -1.9371721577954795
HOST_LOGSFR_ERR: 1.00755687981452
VPEC: 155.023
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 28
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57288.57205      g_PS1    NULL    19898.403        331.465    16.753     0.018  1.61
OBS:  57298.46096      g_PS1    NULL    14655.068        287.865    17.085     0.021  2.06
OBS:  57305.47665      g_PS1    NULL     9192.832        195.319    17.591     0.023  2.12
OBS:  57308.50623      g_PS1    NULL     6026.746        174.573    18.050     0.031  2.67
OBS:  57314.42407      g_PS1    NULL     3780.908        111.470    18.556     0.032  2.15
OBS:  57320.35270      g_PS1    NULL     2320.574        184.945    19.086     0.086  1.66
OBS:  57328.48144      g_PS1    NULL     1712.877        103.945    19.416     0.066  1.51
OBS:  57288.57246      r_PS1    NULL    19866.148        318.538    16.755     0.017  1.47
OBS:  57298.46137      r_PS1    NULL    15444.579        271.167    17.028     0.019  1.82
OBS:  57305.47704      r_PS1    NULL    12081.604        215.859    17.295     0.019  1.73
OBS:  57308.50663      r_PS1    NULL     9651.976        192.084    17.538     0.022  2.23
OBS:  57314.42447      r_PS1    NULL     8295.564        161.247    17.703     0.021  2.00
OBS:  57320.35312      r_PS1    NULL     7942.124        189.215    17.750     0.026  1.55
OBS:  57328.48183      r_PS1    NULL     4286.312        134.104    18.420     0.034  1.71
OBS:  57288.57283      i_PS1    NULL    12350.667        221.617    17.271     0.019  1.33
OBS:  57298.46173      i_PS1    NULL     8716.187        182.592    17.649     0.023  1.71
OBS:  57305.47740      i_PS1    NULL     6615.845        145.976    17.949     0.024  1.80
OBS:  57308.50699      i_PS1    NULL     7043.335        165.115    17.881     0.025  2.21
OBS:  57314.42483      i_PS1    NULL     8185.288        167.496    17.717     0.022  1.75
OBS:  57320.35347      i_PS1    NULL     8080.062        196.958    17.731     0.026  1.28
OBS:  57328.48219      i_PS1    NULL     4182.085        118.405    18.447     0.031  1.31
OBS:  57288.57319      z_PS1    NULL    13023.717        258.037    17.213     0.021  1.24
OBS:  57298.46209      z_PS1    NULL     9692.739        221.633    17.534     0.025  1.63
OBS:  57305.47776      z_PS1    NULL     8741.354        206.401    17.646     0.026  1.77
OBS:  57308.50735      z_PS1    NULL     8937.332        233.321    17.622     0.028  2.17
OBS:  57314.42518      z_PS1    NULL     9115.092        212.300    17.601     0.025  1.59
OBS:  57320.35383      z_PS1    NULL     9575.526        255.134    17.547     0.029  1.14
OBS:  57328.48256      z_PS1    NULL     5574.202        166.530    18.135     0.032  1.38
END:
