SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ0309425
RA: 47.4272605
DECL: 40.9748741
MWEBV: 0.1436 +- 0.0072
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.020117
REDSHIFT_CMB: 0.019539695171707283
REDSHIFT_FINAL: 0.02143849796248043
SEARCH_PEAKMJD: 57361.40079
HOST_LOGMASS: 10.415
VPEC: -536.074
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 42
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57357.34256      g_PS1    NULL    49312.092        752.913    15.768     0.017  1.92
OBS:  57361.40039      g_PS1    NULL    58320.249        869.179    15.585     0.016  1.89
OBS:  57368.49511      g_PS1    NULL    47883.638        751.835    15.800     0.017  3.21
OBS:  57380.21758      g_PS1    NULL    21181.964        432.841    16.685     0.022  2.03
OBS:  57386.29089      g_PS1    NULL    13088.168        287.801    17.208     0.024  2.18
OBS:  57396.26467      g_PS1    NULL     6677.925        196.694    17.938     0.032  2.21
OBS:  57443.23287      g_PS1    NULL     3168.487        139.694    18.748     0.048  1.75
OBS:  57464.24228      g_PS1    NULL     2587.091        278.862    18.968     0.116  2.75
OBS:  57481.24184      g_PS1    NULL     1967.419        213.985    19.265     0.117  2.45
OBS:  57357.34295      r_PS1    NULL    53008.392        791.772    15.689     0.016  1.64
OBS:  57361.40079      r_PS1    NULL    63950.777        934.978    15.485     0.016  1.79
OBS:  57366.25774      r_PS1    NULL    60393.901        923.703    15.548     0.017  2.65
OBS:  57368.49553      r_PS1    NULL    55537.460        844.153    15.639     0.016  3.07
OBS:  57380.21798      r_PS1    NULL    32524.628        521.132    16.219     0.017  1.98
OBS:  57386.29128      r_PS1    NULL    31161.396        502.764    16.266     0.017  2.02
OBS:  57396.26506      r_PS1    NULL    18212.534        322.817    16.849     0.019  1.79
OBS:  57443.23327      r_PS1    NULL     4578.682        152.346    18.348     0.036  1.65
OBS:  57464.24270      r_PS1    NULL     2529.302        208.984    18.992     0.089  2.25
OBS:  57481.24151      r_PS1    NULL     1580.854        169.621    19.503     0.116  1.94
OBS:  57374.31231      r_PS1    NULL    39509.127        630.632    16.008     0.017  3.77
OBS:  57374.34030      r_PS1    NULL    40352.379        630.699    15.985     0.017  3.48
OBS:  57357.34332      i_PS1    NULL    35786.968        566.160    16.116     0.017  1.74
OBS:  57361.40116      i_PS1    NULL    37362.484        591.288    16.069     0.017  1.37
OBS:  57366.25809      i_PS1    NULL    33951.638        659.586    16.173     0.021  3.29
OBS:  57368.49588      i_PS1    NULL    30819.567        528.945    16.278     0.019  2.45
OBS:  57380.21833      i_PS1    NULL    20703.131        386.129    16.710     0.020  1.74
OBS:  57386.29165      i_PS1    NULL    24076.429        424.357    16.546     0.019  2.17
OBS:  57396.26542      i_PS1    NULL    18352.320        335.568    16.841     0.020  1.59
OBS:  57443.23363      i_PS1    NULL     3158.569        169.706    18.751     0.058  1.64
OBS:  57464.24305      i_PS1    NULL     2032.199        216.712    19.230     0.115  2.02
OBS:  57481.24109      i_PS1    NULL     1024.836        181.896    19.973     0.192  1.70
OBS:  57357.34368      z_PS1    NULL    35005.142        571.587    16.140     0.018  1.56
OBS:  57361.40152      z_PS1    NULL    37506.253        606.029    16.065     0.018  1.40
OBS:  57366.25845      z_PS1    NULL    33641.577        648.821    16.183     0.021  3.00
OBS:  57368.49623      z_PS1    NULL    31299.474        551.373    16.261     0.019  2.37
OBS:  57380.21869      z_PS1    NULL    27115.574        474.587    16.417     0.019  1.63
OBS:  57386.29202      z_PS1    NULL    27468.802        472.885    16.403     0.019  1.76
OBS:  57396.26579      z_PS1    NULL    19714.384        393.914    16.763     0.022  1.59
OBS:  57443.23398      z_PS1    NULL     1889.661        165.041    19.309     0.094  1.45
OBS:  57464.24340      z_PS1    NULL      571.664        239.242    20.607     0.452  1.77
OBS:  57481.24074      z_PS1    NULL      421.341        190.803    20.938     0.489  1.49
OBS:  57417.21821      z_PS1    NULL     6527.460        203.372    17.963     0.034  2.01
END:
