SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ1300323
RA: 195.1346513
DECL: 27.9780872
MWEBV: 0.0091 +- 0.0005
FILTERS: griz
SPEC_CLASS: SNIa-06gz-like
REDSHIFT_HELIO: 0.023156
SIGMA_Z: 0.0001670
REDSHIFT_CMB: 0.024067321200230696
REDSHIFT_FINAL: 0.024563760039620474
SEARCH_PEAKMJD: 57167.26389
HOST_LOGMASS: -9999.0
HOST_LOGMASS_ERR: -9999.0
HOST_LOGSFR: -9999.0
HOST_LOGSFR_ERR: -9999.0
VPEC: 370.859
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 46
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57163.25874      g_PS1    NULL    57192.775        842.463    15.607     0.016  2.22
OBS:  57167.26389      g_PS1    NULL    68017.810        987.524    15.418     0.016  2.22
OBS:  57176.38210      g_PS1    NULL    50301.280        764.351    15.746     0.016  1.67
OBS:  57180.32456      g_PS1    NULL    46187.220        688.371    15.839     0.016  1.79
OBS:  57189.29252      g_PS1    NULL    20021.741        333.153    16.746     0.018  1.75
OBS:  57189.28872      g_PS1    NULL    19225.231        325.982    16.790     0.018  2.06
OBS:  57195.26838      g_PS1    NULL    13354.069        239.736    17.186     0.019  1.81
OBS:  57200.27118      g_PS1    NULL     9305.505        206.500    17.578     0.024  1.93
OBS:  57427.62725      g_PS1    NULL      526.996        108.662    20.695     0.223  2.25
OBS:  57568.27527      g_PS1    NULL      115.491         69.852    22.344     0.653  1.88
OBS:  57578.27073      g_PS1    NULL       37.766         93.537    23.557     2.675  2.54
OBS:  57163.25915      r_PS1    NULL    48847.053        715.137    15.778     0.016  1.89
OBS:  57167.26430      r_PS1    NULL    58585.054        845.212    15.581     0.016  1.93
OBS:  57176.38253      r_PS1    NULL    51922.393        765.955    15.712     0.016  1.55
OBS:  57180.32497      r_PS1    NULL    47149.076        696.663    15.816     0.016  1.58
OBS:  57189.28911      r_PS1    NULL    33007.946        495.505    16.203     0.016  1.85
OBS:  57189.29292      r_PS1    NULL    31381.224        475.539    16.258     0.016  1.65
OBS:  57195.26876      r_PS1    NULL    28478.971        432.737    16.364     0.016  1.72
OBS:  57200.27157      r_PS1    NULL    23465.211        369.695    16.574     0.017  1.77
OBS:  57427.62765      r_PS1    NULL       78.147         72.730    22.768     1.005  1.96
OBS:  57568.27566      r_PS1    NULL      -97.021         57.148       nan     0.636  1.71
OBS:  57578.27113      r_PS1    NULL      118.735        105.894    22.314     0.963  2.91
OBS:  57163.25953      i_PS1    NULL    33015.814        505.571    16.203     0.017  1.93
OBS:  57167.26468      i_PS1    NULL    37991.697        578.592    16.051     0.017  1.79
OBS:  57176.38291      i_PS1    NULL    31631.421        489.976    16.250     0.017  1.47
OBS:  57180.32535      i_PS1    NULL    27731.378        427.395    16.393     0.017  1.43
OBS:  57189.28950      i_PS1    NULL    24289.156        380.016    16.536     0.017  1.79
OBS:  57189.29330      i_PS1    NULL    23132.537        367.049    16.589     0.017  1.57
OBS:  57195.26914      i_PS1    NULL    22993.088        360.518    16.596     0.017  1.63
OBS:  57200.27193      i_PS1    NULL    20492.126        328.249    16.721     0.017  1.47
OBS:  57427.62801      i_PS1    NULL       87.285         75.691    22.648     0.937  1.80
OBS:  57568.27602      i_PS1    NULL      -40.947         69.151       nan     1.824  1.52
OBS:  57578.27149      i_PS1    NULL     -123.373        114.974       nan     1.006  2.78
OBS:  57172.33215      i_PS1    NULL    33626.887        480.469    16.183     0.016  1.28
OBS:  57172.34425      i_PS1    NULL    34060.756        486.287    16.169     0.015  1.33
OBS:  57172.35636      i_PS1    NULL    34397.948        491.276    16.159     0.016  1.26
OBS:  57172.36841      i_PS1    NULL    33625.388        480.991    16.183     0.016  1.17
OBS:  57163.25990      z_PS1    NULL    28805.722        479.894    16.351     0.018  1.83
OBS:  57167.26507      z_PS1    NULL    35759.888        566.142    16.117     0.017  1.70
OBS:  57176.38328      z_PS1    NULL    30961.456        508.371    16.273     0.018  1.33
OBS:  57180.32574      z_PS1    NULL    28172.861        459.724    16.375     0.018  1.42
OBS:  57189.28987      z_PS1    NULL    24664.430        413.743    16.520     0.018  1.54
OBS:  57189.29374      z_PS1    NULL    23857.902        407.731    16.556     0.019  1.59
OBS:  57195.26950      z_PS1    NULL    22730.697        381.473    16.608     0.018  1.56
OBS:  57200.27229      z_PS1    NULL    18646.379        329.673    16.824     0.019  1.35
OBS:  57578.27185      z_PS1    NULL     -149.324        157.628       nan     1.140  2.37
END:
