SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ2043531
RA: 310.9716230
DECL: 12.5084909
MWEBV: 0.0857 +- 0.0043
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.015497
REDSHIFT_CMB: 0.014493060533220303
REDSHIFT_FINAL: 0.01506849114930036
SEARCH_PEAKMJD: 57227.42573
HOST_LOGMASS: 11.145
VPEC: 232.136
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 29
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57217.52122      g_PS1    NULL    12338.183        237.623    17.272     0.021  2.79
OBS:  57222.40869      g_PS1    NULL    28939.051        455.514    16.346     0.017  1.94
OBS:  57227.42535      g_PS1    NULL    33680.187        519.558    16.182     0.017  1.85
OBS:  57231.36950      g_PS1    NULL    27293.457        450.497    16.410     0.018  1.72
OBS:  57239.49893      g_PS1    NULL    10357.751        280.777    17.462     0.029  3.67
OBS:  57246.32141      g_PS1    NULL     5429.290        139.617    18.163     0.028  1.56
OBS:  57256.33531      g_PS1    NULL     2646.954        140.630    18.943     0.057  2.03
OBS:  57217.52166      r_PS1    NULL    14347.953        263.035    17.108     0.020  2.92
OBS:  57222.40904      r_PS1    NULL    32367.705        488.890    16.225     0.016  1.63
OBS:  57227.42573      r_PS1    NULL    39856.144        588.690    15.999     0.016  1.64
OBS:  57231.36985      r_PS1    NULL    35838.421        544.910    16.114     0.016  1.63
OBS:  57239.49928      r_PS1    NULL    23474.056        385.138    16.574     0.018  2.69
OBS:  57246.32182      r_PS1    NULL    16837.697        278.573    16.934     0.018  1.32
OBS:  57256.33571      r_PS1    NULL     7982.158        175.865    17.745     0.024  1.76
OBS:  57217.52203      i_PS1    NULL    12078.625        247.032    17.295     0.022  2.39
OBS:  57222.40946      i_PS1    NULL    27135.056        423.167    16.416     0.017  1.66
OBS:  57227.42605      i_PS1    NULL    29112.970        444.526    16.340     0.017  1.59
OBS:  57231.37025      i_PS1    NULL    25769.809        408.586    16.472     0.017  1.64
OBS:  57239.49969      i_PS1    NULL    19965.086        353.470    16.749     0.019  2.40
OBS:  57246.32218      i_PS1    NULL    19502.318        317.153    16.775     0.018  1.26
OBS:  57256.33608      i_PS1    NULL     8186.028        187.194    17.717     0.025  1.73
OBS:  57222.40977      z_PS1    NULL    22396.233        386.443    16.625     0.019  1.58
OBS:  57227.42642      z_PS1    NULL    25590.414        422.352    16.480     0.018  1.51
OBS:  57231.37056      z_PS1    NULL    25041.685        424.513    16.503     0.018  1.34
OBS:  57239.50005      z_PS1    NULL    22858.738        425.472    16.602     0.020  2.05
OBS:  57246.32255      z_PS1    NULL    19155.044        337.269    16.794     0.019  1.15
OBS:  57256.33645      z_PS1    NULL     9224.197        236.410    17.588     0.028  1.69
OBS:  57189.61586      z_PS1    NULL      207.990         99.873    21.705     0.519  1.35
OBS:  57192.60707      z_PS1    NULL       49.263         63.742    23.269     1.397  1.14
END:
