SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016ajf
RA: 49.9771269
DECL: 41.5650206
MWEBV: 0.1414 +- 0.0071
FILTERS: griz
SPEC_CLASS: SNIa-91bg-like
REDSHIFT_HELIO: 0.020314
SIGMA_Z: 0.0000280
REDSHIFT_CMB: 0.019776009640175563
REDSHIFT_FINAL: 0.021616387694449606
SEARCH_PEAKMJD: 57443.23327
HOST_LOGMASS: 11.548
VPEC: -561.698
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 31
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57438.22953      g_PS1    NULL    11339.905        242.184    17.363     0.023  1.61
OBS:  57443.23287      g_PS1    NULL    14263.902        257.261    17.114     0.020  1.89
OBS:  57448.23351      g_PS1    NULL     9687.062        237.916    17.535     0.027  2.70
OBS:  57464.24228      g_PS1    NULL     1501.640        192.983    19.559     0.139  2.54
OBS:  57472.23969      g_PS1    NULL     1342.732        121.890    19.680     0.098  2.03
OBS:  57481.24184      g_PS1    NULL      802.065        117.011    20.239     0.158  2.10
OBS:  57485.23985      g_PS1    NULL      839.345        277.963    20.190     0.358  4.76
OBS:  57607.61233      g_PS1    NULL       47.166         69.044    23.316     1.581  1.56
OBS:  57438.22993      r_PS1    NULL    14299.501        253.000    17.112     0.019  1.39
OBS:  57443.23327      r_PS1    NULL    19524.924        322.887    16.774     0.018  1.90
OBS:  57448.23391      r_PS1    NULL    18284.535        324.215    16.845     0.019  2.40
OBS:  57464.24270      r_PS1    NULL     5342.461        183.364    18.181     0.037  2.28
OBS:  57472.24012      r_PS1    NULL     3018.756        131.885    18.800     0.047  1.91
OBS:  57481.24151      r_PS1    NULL     1883.835        122.205    19.312     0.070  1.84
OBS:  57485.24028      r_PS1    NULL     2076.886        287.366    19.206     0.149  4.28
OBS:  57607.61273      r_PS1    NULL      -17.545         66.124       nan     4.070  1.38
OBS:  57438.23030      i_PS1    NULL    13361.952        246.531    17.185     0.020  1.32
OBS:  57443.23363      i_PS1    NULL    17207.441        294.391    16.911     0.019  1.74
OBS:  57448.23427      i_PS1    NULL    15689.568        308.095    17.011     0.021  2.42
OBS:  57464.24305      i_PS1    NULL     5192.742        183.420    18.212     0.038  1.96
OBS:  57472.24047      i_PS1    NULL     3024.262        139.431    18.798     0.050  1.62
OBS:  57481.24109      i_PS1    NULL     2009.238        115.449    19.242     0.062  1.42
OBS:  57485.24063      i_PS1    NULL     2628.809        335.984    18.951     0.138  3.81
OBS:  57607.61309      i_PS1    NULL      255.452         83.360    21.482     0.352  1.33
OBS:  57438.23066      z_PS1    NULL    11155.975        252.251    17.381     0.024  1.24
OBS:  57443.23398      z_PS1    NULL    16156.937        305.510    16.979     0.020  1.57
OBS:  57448.23462      z_PS1    NULL    16076.709        362.357    16.985     0.024  2.29
OBS:  57464.24340      z_PS1    NULL     7695.251        255.393    17.784     0.036  1.77
OBS:  57472.24082      z_PS1    NULL     4625.326        209.099    18.337     0.049  1.61
OBS:  57481.24074      z_PS1    NULL     2305.615        154.502    19.093     0.072  1.29
OBS:  57485.24097      z_PS1    NULL     2570.782        424.957    18.975     0.179  3.29
END:
