SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016aqa
RA: 170.9697419
DECL: -5.5518051
MWEBV: 0.0356 +- 0.0018
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.054589
REDSHIFT_CMB: 0.05588837239720568
REDSHIFT_FINAL: 0.05626195572938662
SEARCH_PEAKMJD: 57445.55805
HOST_LOGMASS: 10.306
VPEC: -174.371
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 40
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57445.55764      g_PS1    NULL     7581.188        200.755    17.801     0.029  1.81
OBS:  57450.38811      g_PS1    NULL     5764.836        153.208    18.098     0.029  1.75
OBS:  57457.40271      g_PS1    NULL     3322.337        141.127    18.696     0.046  2.03
OBS:  57463.49120      g_PS1    NULL     2344.979        126.220    19.075     0.058  2.13
OBS:  57475.37383      g_PS1    NULL      747.139        143.358    20.316     0.207  2.40
OBS:  57485.29794      g_PS1    NULL      368.447        144.338    21.084     0.423  2.50
OBS:  57492.33701      g_PS1    NULL      467.828         99.297    20.825     0.229  1.71
OBS:  57501.30503      g_PS1    NULL      712.493        211.406    20.368     0.320  2.36
OBS:  57445.55805      r_PS1    NULL     8545.694        193.140    17.671     0.024  1.66
OBS:  57450.38852      r_PS1    NULL     6958.076        159.157    17.894     0.025  1.72
OBS:  57457.40354      r_PS1    NULL     5122.447        147.894    18.226     0.031  1.99
OBS:  57463.49160      r_PS1    NULL     4475.345        133.978    18.373     0.032  1.75
OBS:  57475.37422      r_PS1    NULL     2804.488        153.252    18.880     0.059  2.57
OBS:  57485.29834      r_PS1    NULL     2342.781        171.021    19.076     0.079  2.47
OBS:  57492.33741      r_PS1    NULL     1574.199        105.177    19.507     0.072  1.59
OBS:  57501.30542      r_PS1    NULL      883.798        159.197    20.134     0.195  2.07
OBS:  57437.45849      r_PS1    NULL     6698.297        128.121    17.935     0.021  2.06
OBS:  57437.46965      r_PS1    NULL     6924.021        129.619    17.899     0.020  1.92
OBS:  57437.49220      r_PS1    NULL     6195.927        127.856    18.020     0.022  2.19
OBS:  57447.42162      r_PS1    NULL     7587.748        134.400    17.800     0.019  1.83
OBS:  57447.43337      r_PS1    NULL     7914.788        136.031    17.754     0.019  1.89
OBS:  57447.40968      r_PS1    NULL     7920.882        135.549    17.753     0.019  1.65
OBS:  57447.44512      r_PS1    NULL     8170.434        136.850    17.719     0.018  1.89
OBS:  57445.55840      i_PS1    NULL     5984.201        176.746    18.057     0.032  1.83
OBS:  57450.38888      i_PS1    NULL     4351.901        138.053    18.403     0.034  1.47
OBS:  57457.40389      i_PS1    NULL     2939.437        121.414    18.829     0.045  1.72
OBS:  57463.49195      i_PS1    NULL     3819.997        140.441    18.545     0.040  1.69
OBS:  57475.37458      i_PS1    NULL     2942.087        168.851    18.828     0.062  2.31
OBS:  57485.29869      i_PS1    NULL     2097.815        193.171    19.196     0.099  2.34
OBS:  57492.33777      i_PS1    NULL     1803.003        120.914    19.360     0.072  1.49
OBS:  57501.30578      i_PS1    NULL     2288.462        161.920    19.101     0.076  1.83
OBS:  57445.55875      z_PS1    NULL     4372.868        213.091    18.398     0.053  1.48
OBS:  57450.38924      z_PS1    NULL     3550.765        190.645    18.624     0.058  1.50
OBS:  57457.40425      z_PS1    NULL     3410.148        178.992    18.668     0.057  1.63
OBS:  57463.49231      z_PS1    NULL     3258.426        189.568    18.717     0.063  1.48
OBS:  57475.37494      z_PS1    NULL     2761.483        222.653    18.897     0.087  1.84
OBS:  57485.29904      z_PS1    NULL     2290.805        274.782    19.100     0.130  2.23
OBS:  57492.33813      z_PS1    NULL     1470.185        192.775    19.582     0.142  1.73
OBS:  57501.30613      z_PS1    NULL      897.801        234.744    20.117     0.282  2.15
OBS:  57427.66846      z_PS1    NULL      976.326        145.454    20.026     0.161  1.80
END:
