SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016aqt
RA: 206.4613551
DECL: 26.7963166
MWEBV: 0.0145 +- 0.0007
FILTERS: griz
SPEC_CLASS: SNIa-91T-like
REDSHIFT_HELIO: 0.0504121
REDSHIFT_CMB: 0.05123799156060005
REDSHIFT_FINAL: 0.05102143029895702
SEARCH_PEAKMJD: 57452.45243
HOST_LOGMASS: 8.854
VPEC: 90.453
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 47
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57452.45243      g_PS1    NULL    14694.890        263.811    17.082     0.019  1.98
OBS:  57460.63615      g_PS1    NULL    12612.578        235.934    17.248     0.020  2.05
OBS:  57465.45612      g_PS1    NULL     9518.228        200.795    17.554     0.023  1.58
OBS:  57476.39793      g_PS1    NULL     3943.483        133.079    18.510     0.036  2.48
OBS:  57487.37523      g_PS1    NULL     1913.212         98.335    19.296     0.056  2.32
OBS:  57494.35613      g_PS1    NULL     1389.826        117.767    19.643     0.092  1.97
OBS:  57452.45284      r_PS1    NULL    13631.296        233.050    17.164     0.019  1.79
OBS:  57460.63655      r_PS1    NULL    13261.967        230.323    17.193     0.019  1.71
OBS:  57465.45652      r_PS1    NULL    11343.681        208.349    17.363     0.020  1.50
OBS:  57476.39833      r_PS1    NULL     8129.933        164.704    17.725     0.022  2.01
OBS:  57487.37563      r_PS1    NULL     5633.332        128.973    18.123     0.025  1.96
OBS:  57494.35654      r_PS1    NULL     3669.128        131.187    18.589     0.039  2.13
OBS:  57446.61602      r_PS1    NULL     9905.126        156.073    17.510     0.017  1.87
OBS:  57446.61538      r_PS1    NULL    10639.938        165.128    17.433     0.017  1.96
OBS:  57446.62578      r_PS1    NULL    10148.431        159.697    17.484     0.017  1.82
OBS:  57446.62514      r_PS1    NULL    10432.508        162.031    17.454     0.017  1.80
OBS:  57446.63585      r_PS1    NULL    10735.928        168.088    17.423     0.017  1.78
OBS:  57446.63520      r_PS1    NULL    10304.547        161.699    17.467     0.017  1.99
OBS:  57446.64616      r_PS1    NULL    10399.901        162.841    17.457     0.017  1.68
OBS:  57446.64551      r_PS1    NULL    10238.552        159.794    17.474     0.017  1.75
OBS:  57465.41679      r_PS1    NULL    11749.820        183.271    17.325     0.017  1.80
OBS:  57465.42827      r_PS1    NULL    11787.740        182.182    17.321     0.017  1.58
OBS:  57465.43968      r_PS1    NULL    11733.685        180.237    17.326     0.017  1.69
OBS:  57465.45108      r_PS1    NULL    11562.108        177.507    17.342     0.017  1.65
OBS:  57475.39833      r_PS1    NULL     8363.333        150.837    17.694     0.020  2.68
OBS:  57475.38402      r_PS1    NULL     8177.150        144.521    17.718     0.019  2.39
OBS:  57475.41085      r_PS1    NULL     8064.578        144.623    17.734     0.019  2.50
OBS:  57492.34905      r_PS1    NULL     4586.276         86.694    18.346     0.020  1.69
OBS:  57492.36063      r_PS1    NULL     4502.897         88.930    18.366     0.021  1.89
OBS:  57492.37218      r_PS1    NULL     4603.422         91.319    18.342     0.021  1.98
OBS:  57492.38386      r_PS1    NULL     4500.206         87.856    18.367     0.021  1.94
OBS:  57452.45319      i_PS1    NULL     8309.167        165.353    17.701     0.022  1.66
OBS:  57460.63691      i_PS1    NULL     6957.817        155.288    17.894     0.024  1.51
OBS:  57465.45688      i_PS1    NULL     5758.966        136.610    18.099     0.026  1.43
OBS:  57476.39869      i_PS1    NULL     5509.606        138.865    18.147     0.027  1.89
OBS:  57487.37598      i_PS1    NULL     4793.835        136.687    18.298     0.031  1.91
OBS:  57494.35689      i_PS1    NULL     3191.697        118.173    18.740     0.040  1.85
OBS:  57532.39433      i_PS1    NULL      790.281         53.112    20.256     0.073  1.83
OBS:  57532.40703      i_PS1    NULL      773.380         53.699    20.279     0.075  1.92
OBS:  57532.41972      i_PS1    NULL      757.839         59.865    20.301     0.085  2.21
OBS:  57532.43244      i_PS1    NULL      866.353         57.480    20.156     0.072  1.82
OBS:  57452.45354      z_PS1    NULL     8406.180        193.323    17.689     0.025  1.60
OBS:  57460.63726      z_PS1    NULL     6125.167        186.807    18.032     0.033  1.50
OBS:  57465.45724      z_PS1    NULL     4885.299        151.031    18.278     0.033  1.41
OBS:  57476.39904      z_PS1    NULL     5059.710        172.623    18.240     0.037  1.91
OBS:  57487.37634      z_PS1    NULL     3775.021        165.882    18.558     0.047  1.74
OBS:  57494.35725      z_PS1    NULL     3097.026        157.746    18.773     0.055  1.81
END:
