SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016blm
RA: 237.1614062
DECL: -3.3176336
MWEBV: 0.2537 +- 0.0127
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.0306419
REDSHIFT_CMB: 0.031095349347112444
REDSHIFT_FINAL: 0.031175333970543045
SEARCH_PEAKMJD: 57483.57345
HOST_LOGMASS: 9.056
VPEC: -32.584
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 36
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57483.57305      g_PS1    NULL    10528.317        193.549    17.444     0.020  2.09
OBS:  57488.52826      g_PS1    NULL     8629.851        175.816    17.660     0.022  1.76
OBS:  57492.49621      g_PS1    NULL     7186.027        192.159    17.859     0.029  2.58
OBS:  57498.57689      g_PS1    NULL     3278.002        210.446    18.711     0.069  2.14
OBS:  57505.48071      g_PS1    NULL     1930.177        136.181    19.286     0.076  2.09
OBS:  57513.45350      g_PS1    NULL     1198.008         72.107    19.804     0.065  1.49
OBS:  57523.41007      g_PS1    NULL      628.663        121.013    20.504     0.208  2.28
OBS:  57483.57345      r_PS1    NULL    12012.315        208.300    17.301     0.019  1.71
OBS:  57488.52867      r_PS1    NULL    10834.646        191.590    17.413     0.019  1.72
OBS:  57492.49660      r_PS1    NULL     8977.770        177.863    17.617     0.021  2.06
OBS:  57498.57729      r_PS1    NULL     7021.458        195.821    17.884     0.030  1.99
OBS:  57505.48176      r_PS1    NULL     6140.263        164.715    18.030     0.029  2.07
OBS:  57513.45389      r_PS1    NULL     4067.912         94.833    18.477     0.025  1.37
OBS:  57523.41047      r_PS1    NULL     2623.309        106.654    18.953     0.044  1.87
OBS:  57478.55679      r_PS1    NULL    10992.102        169.176    17.397     0.017  1.79
OBS:  57478.56950      r_PS1    NULL    11068.175        169.469    17.390     0.017  1.63
OBS:  57478.58222      r_PS1    NULL    10919.357        167.481    17.405     0.017  1.67
OBS:  57478.59496      r_PS1    NULL    11161.012        170.793    17.381     0.017  1.75
OBS:  57494.49781      r_PS1    NULL     7780.337        131.790    17.773     0.018  2.51
OBS:  57494.51080      r_PS1    NULL     7870.943        132.138    17.760     0.018  2.31
OBS:  57494.52378      r_PS1    NULL     7831.375        128.605    17.765     0.018  2.07
OBS:  57494.53673      r_PS1    NULL     7674.846        122.604    17.787     0.017  1.84
OBS:  57483.57381      i_PS1    NULL     7914.121        158.678    17.754     0.022  1.41
OBS:  57488.52902      i_PS1    NULL     6661.024        140.740    17.941     0.023  1.57
OBS:  57492.49696      i_PS1    NULL     4559.999        127.149    18.353     0.030  1.64
OBS:  57498.57764      i_PS1    NULL     4513.131        189.095    18.364     0.045  2.12
OBS:  57505.48213      i_PS1    NULL     5444.568        159.244    18.160     0.032  1.99
OBS:  57513.45426      i_PS1    NULL     4415.987        113.331    18.387     0.028  1.29
OBS:  57523.41083      i_PS1    NULL     2480.818        106.898    19.014     0.047  1.74
OBS:  57483.57418      z_PS1    NULL     7881.458        193.817    17.758     0.027  1.55
OBS:  57488.52938      z_PS1    NULL     6572.480        161.941    17.956     0.027  1.36
OBS:  57492.49732      z_PS1    NULL     5538.598        171.619    18.142     0.034  1.49
OBS:  57498.57800      z_PS1    NULL     5088.534        244.458    18.234     0.052  2.03
OBS:  57505.48250      z_PS1    NULL     5041.861        199.512    18.244     0.043  1.95
OBS:  57513.45462      z_PS1    NULL     4796.929        137.119    18.298     0.031  1.16
OBS:  57523.41119      z_PS1    NULL     2267.870        158.577    19.111     0.076  1.74
END:
