SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016coj
RA: 182.0281538
DECL: 65.1772349
MWEBV: 0.0163 +- 0.0008
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.004523
SIGMA_Z: 0.0000630
REDSHIFT_CMB: 0.0048867556419871505
REDSHIFT_FINAL: 0.005768257185442604
SEARCH_PEAKMJD: 57551.26941
HOST_LOGMASS: 10.623
VPEC: 159.945
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 36
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57538.35875      g_PS1    NULL   185663.827       2610.269    14.328     0.015  1.75
OBS:  57543.26514      g_PS1    NULL   481436.683       6701.292    13.294     0.015  3.00
OBS:  57543.26841      g_PS1    NULL   428989.924       5967.644    13.419     0.015  3.84
OBS:  57545.30488      g_PS1    NULL   486800.032       6778.568    13.282     0.015  1.66
OBS:  57551.26941      g_PS1    NULL   544487.602       7568.988    13.160     0.015  2.50
OBS:  57559.26771      g_PS1    NULL   339789.664       4750.790    13.672     0.015  1.82
OBS:  57577.27267      g_PS1    NULL    66482.664        984.828    15.443     0.016  2.59
OBS:  57585.26701      g_PS1    NULL    52468.928        814.835    15.700     0.017  2.58
OBS:  57538.35914      r_PS1    NULL   186944.077       2619.486    14.321     0.015  1.66
OBS:  57543.26556      r_PS1    NULL   457289.763       6357.501    13.350     0.015  2.18
OBS:  57545.30529      r_PS1    NULL   504981.104       7030.187    13.242     0.015  1.44
OBS:  57551.26983      r_PS1    NULL   531596.502       7379.630    13.186     0.015  2.03
OBS:  57559.26813      r_PS1    NULL   317098.864       4424.398    13.747     0.015  1.64
OBS:  57577.27309      r_PS1    NULL   143436.408       2029.082    14.608     0.015  2.57
OBS:  57585.26743      r_PS1    NULL    98428.861       1413.314    15.017     0.016  2.07
OBS:  57538.35951      i_PS1    NULL   145702.760       2053.636    14.591     0.015  1.44
OBS:  57543.26590      i_PS1    NULL   331900.072       4629.127    13.697     0.015  1.97
OBS:  57545.30564      i_PS1    NULL   332165.432       4627.974    13.697     0.015  1.37
OBS:  57551.27018      i_PS1    NULL   290975.035       4067.317    13.840     0.015  1.91
OBS:  57559.26847      i_PS1    NULL   156211.930       2205.637    14.516     0.015  1.50
OBS:  57577.27344      i_PS1    NULL   128099.839       1825.646    14.731     0.015  2.42
OBS:  57585.26777      i_PS1    NULL    86199.101       1248.249    15.161     0.016  1.85
OBS:  57527.26180      i_PS1    NULL      355.445        170.941    21.123     0.519  2.55
OBS:  57527.27580      i_PS1    NULL      464.275        180.926    20.833     0.421  2.44
OBS:  57527.28979      i_PS1    NULL      203.365        197.279    21.729     1.048  2.81
OBS:  57527.30379      i_PS1    NULL      176.441        221.049    21.884     1.353  2.97
OBS:  57538.35987      z_PS1    NULL   124121.751       1781.330    14.765     0.016  1.48
OBS:  57543.26626      z_PS1    NULL   282862.175       3975.947    13.871     0.015  2.42
OBS:  57543.26876      z_PS1    NULL   279568.850       3927.994    13.884     0.015  2.30
OBS:  57545.30600      z_PS1    NULL   310608.567       4357.136    13.769     0.015  1.22
OBS:  57551.27054      z_PS1    NULL   288673.858       4046.791    13.849     0.015  1.93
OBS:  57559.26883      z_PS1    NULL   221678.241       3126.705    14.136     0.015  1.50
OBS:  57577.27379      z_PS1    NULL   145407.552       2087.356    14.594     0.016  2.17
OBS:  57585.26812      z_PS1    NULL    84586.731       1258.132    15.182     0.016  1.86
OBS:  57585.25893      z_PS1    NULL    82815.114       1198.100    15.205     0.016  2.31
OBS:  57586.25616      z_PS1    NULL    74716.361       1076.440    15.316     0.016  1.60
END:
