SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2016glp
RA: 354.0583171
DECL: 23.6959698
MWEBV: 0.0456 +- 0.0023
FILTERS: griz
SPEC_CLASS: SNIa-norm
REDSHIFT_HELIO: 0.08493
REDSHIFT_CMB: 0.083656095050612
REDSHIFT_FINAL: 0.08405775171302007
SEARCH_PEAKMJD: 57661.47095
HOST_LOGMASS: 10.905
VPEC: -29.646
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 40
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57661.47056      g_PS1    NULL     2064.930        139.926    19.213     0.073  2.55
OBS:  57668.30391      g_PS1    NULL     1693.163         89.327    19.428     0.057  1.68
OBS:  57677.40708      g_PS1    NULL      311.397        202.390    21.267     0.702  1.83
OBS:  57686.39684      g_PS1    NULL      457.280         79.686    20.850     0.188  1.95
OBS:  57696.21370      g_PS1    NULL      236.316         98.554    21.566     0.450  2.41
OBS:  57705.42823      g_PS1    NULL      649.059        250.774    20.469     0.417  2.15
OBS:  57661.47095      r_PS1    NULL     2756.308        133.021    18.899     0.052  2.40
OBS:  57668.30431      r_PS1    NULL     2222.541         92.862    19.133     0.045  1.61
OBS:  57677.40747      r_PS1    NULL     1317.387        143.076    19.701     0.117  1.70
OBS:  57686.39723      r_PS1    NULL     1034.331         75.227    19.963     0.079  1.69
OBS:  57696.21409      r_PS1    NULL      473.068         94.909    20.813     0.217  2.35
OBS:  57705.42864      r_PS1    NULL      458.341        163.715    20.847     0.386  1.87
OBS:  57652.46914      r_PS1    NULL     2115.119         63.606    19.187     0.033  1.89
OBS:  57652.48204      r_PS1    NULL     2027.552         63.994    19.233     0.034  2.05
OBS:  57652.49492      r_PS1    NULL     2105.951         64.584    19.191     0.033  1.97
OBS:  57652.50792      r_PS1    NULL     2118.945         70.294    19.185     0.036  2.19
OBS:  57661.47131      i_PS1    NULL     2330.420        129.109    19.081     0.060  1.97
OBS:  57668.30467      i_PS1    NULL     1376.970         95.062    19.653     0.075  1.51
OBS:  57677.40783      i_PS1    NULL     1037.153        129.487    19.960     0.135  1.65
OBS:  57686.39759      i_PS1    NULL     1422.367         87.104    19.617     0.066  1.62
OBS:  57696.21446      i_PS1    NULL     1050.573        106.499    19.946     0.109  2.08
OBS:  57705.42898      i_PS1    NULL      663.655        146.730    20.445     0.239  1.80
OBS:  57650.50180      i_PS1    NULL     1605.775         63.196    19.486     0.043  1.66
OBS:  57650.51389      i_PS1    NULL     1691.065         63.871    19.430     0.041  1.57
OBS:  57650.52598      i_PS1    NULL     1710.056         72.603    19.417     0.046  1.67
OBS:  57650.53809      i_PS1    NULL     1659.421         66.701    19.450     0.043  1.64
OBS:  57668.26559      i_PS1    NULL     1394.211         60.825    19.639     0.047  1.63
OBS:  57668.27679      i_PS1    NULL     1452.273         51.966    19.595     0.039  1.39
OBS:  57668.28804      i_PS1    NULL     1441.419         54.174    19.603     0.041  1.49
OBS:  57668.29924      i_PS1    NULL     1467.864         56.240    19.583     0.041  1.50
OBS:  57678.42563      i_PS1    NULL      952.502         87.704    20.053     0.099  2.07
OBS:  57678.43725      i_PS1    NULL      792.246         78.580    20.253     0.107  1.85
OBS:  57678.44900      i_PS1    NULL      885.629         81.140    20.132     0.099  1.93
OBS:  57678.46059      i_PS1    NULL      908.317         77.894    20.104     0.093  1.86
OBS:  57661.47167      z_PS1    NULL      917.827        173.109    20.093     0.204  1.87
OBS:  57668.30504      z_PS1    NULL      645.590        138.029    20.475     0.231  1.44
OBS:  57677.40820      z_PS1    NULL      392.384        149.241    21.016     0.411  1.45
OBS:  57686.39795      z_PS1    NULL      977.402        119.828    20.025     0.132  1.61
OBS:  57696.21482      z_PS1    NULL      291.964        151.365    21.337     0.560  1.90
OBS:  57705.42934      z_PS1    NULL      404.050        166.602    20.984     0.445  1.63
END:
