SURVEY: FOUNDATION
SNTYPE: 1
SNID: SN2017jl
RA: 14.3828796
DECL: 30.1852335
MWEBV: 0.0632 +- 0.0032
FILTERS: griz
SPEC_CLASS: SNIa-91T-like?
REDSHIFT_HELIO: 0.016331
REDSHIFT_CMB: 0.015292715445175409
REDSHIFT_FINAL: 0.015327670451269326
SEARCH_PEAKMJD: 57783.22590
HOST_LOGMASS: 9.155
VPEC: 181.752
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 22
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57773.24721      g_PS1    NULL    37084.211        563.073    16.077     0.016  1.68
OBS:  57777.23327      g_PS1    NULL    76576.147       1111.741    15.290     0.016  2.67
OBS:  57783.22590      g_PS1    NULL   106238.423       1520.961    14.934     0.016  2.72
OBS:  57789.22546      g_PS1    NULL   101115.400       1451.577    14.988     0.016  1.92
OBS:  57800.23297      g_PS1    NULL    55357.201        820.762    15.642     0.016  2.76
OBS:  57811.23506      g_PS1    NULL    23540.400        574.223    16.570     0.026  4.19
OBS:  57773.24762      r_PS1    NULL    38583.265        571.816    16.034     0.016  1.58
OBS:  57777.23367      r_PS1    NULL    73167.658       1051.263    15.339     0.016  2.34
OBS:  57783.22631      r_PS1    NULL   102456.392       1454.062    14.974     0.015  2.23
OBS:  57789.22587      r_PS1    NULL   104771.851       1486.082    14.949     0.015  1.76
OBS:  57800.23339      r_PS1    NULL    57260.754        832.695    15.605     0.016  2.30
OBS:  57811.23549      r_PS1    NULL    48436.636        969.655    15.787     0.022  3.52
OBS:  57773.24798      i_PS1    NULL    29479.183        448.347    16.326     0.017  1.44
OBS:  57777.23402      i_PS1    NULL    56873.868        832.182    15.613     0.016  1.91
OBS:  57783.22666      i_PS1    NULL    62858.224        913.673    15.504     0.016  2.06
OBS:  57789.22622      i_PS1    NULL    55479.855        809.178    15.640     0.016  1.58
OBS:  57800.23373      i_PS1    NULL    31379.160        487.505    16.258     0.017  2.28
OBS:  57811.23583      i_PS1    NULL    38484.202        927.311    16.037     0.026  3.83
OBS:  57777.23437      z_PS1    NULL    50680.031        779.280    15.738     0.017  2.08
OBS:  57783.22701      z_PS1    NULL    62725.806        942.403    15.506     0.016  2.38
OBS:  57789.22658      z_PS1    NULL    57094.815        855.271    15.609     0.016  1.56
OBS:  57800.23408      z_PS1    NULL    41034.979        655.623    15.967     0.017  2.46
END:
